#       ptHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.38369572   0.0024490215     0.36328657   0.0021556827      0.4053857   0.0031297633
             10       1.134128   0.0040136245      1.0748518   0.0043926995      1.1890655   0.0047939346
             20       1.793471   0.0048504984      1.6956801   0.0046946659      1.8847866   0.0060103945
             30      2.3528124   0.0056312222      2.2241786   0.0054614978      2.4718715   0.0069388635
             40      2.7430641   0.0059916826      2.5922473   0.0059035499      2.8862414   0.0074705787
             50       2.977118   0.0062560489      2.8109477    0.006016199      3.1289874   0.0076598625
             60      3.0764971   0.0064542306      2.9076029   0.0071186286      3.2312523   0.0078824192
             70      3.0769622   0.0063602647      2.9077197   0.0063244355      3.2315337   0.0078741539
             80      2.9792545   0.0065444835      2.8133227   0.0063589716      3.1339831   0.0079408872
             90      2.8334118   0.0061163457      2.6722753   0.0061392243      2.9811849   0.0074181314
            100      2.6169776   0.0059026826      2.4669401   0.0057555064      2.7604451   0.0071815935
            110      2.3984908   0.0057891121      2.2580002   0.0054155933      2.5291524   0.0068163849
            120      2.1816559   0.0055196867      2.0520339   0.0060407746      2.2986221   0.0065405303
            130      1.9508405   0.0056923869      1.8330984   0.0056834979       2.050912   0.0061845208
            140      1.7393756   0.0047665872      1.6406851   0.0077681863      1.8328717   0.0057723584
            150      1.5379192   0.0048980245      1.4493687   0.0051380405      1.6153991   0.0058130986
            160      1.3620085   0.0042402658      1.2781649   0.0040929016      1.4409662   0.0051423138
            170      1.2043311   0.0044271609      1.1317092   0.0047817162      1.2693933    0.004861257
            180      1.0482361   0.0039822356     0.98241939   0.0043434624      1.1059137    0.004494433
            190     0.92256854   0.0035538161     0.86633096   0.0037536157     0.97494484   0.0041958967
            200     0.81856393   0.0034446889     0.76443433   0.0037866064     0.86908613   0.0047740617
            210     0.71291614   0.0032455172     0.66892585   0.0034340533     0.75255747   0.0037113496
            220      0.6241164   0.0029018437     0.58422194   0.0028790785     0.65873125   0.0034607418
            230     0.54719579   0.0027245672     0.51325694   0.0028234387      0.5799007    0.003224058
            240     0.48383545   0.0025454194     0.45156615   0.0024625542     0.51369984   0.0030293468
            250     0.42725718   0.0024970584     0.39942948   0.0024261389     0.45188588   0.0032904707
            260     0.37508085   0.0022252154     0.34964883   0.0022039915     0.39858035   0.0027113805
            270     0.33035632   0.0021796971     0.30888596   0.0022376734     0.34909027   0.0025093707
            280     0.29569612   0.0020582675     0.27634363   0.0021189245     0.31241969   0.0023733985
            290     0.25851233     0.00186498     0.24116626    0.001841344     0.27367287   0.0022017173
            300     0.22825156   0.0017349659     0.21274489    0.001707423     0.24197619   0.0020793997
            310     0.20416297   0.0017021316     0.19031023   0.0016443518     0.21803498   0.0019593009
            320     0.17808086    0.001556923     0.16484195   0.0016245992     0.18903086   0.0018300036
            330     0.16064226   0.0014776902     0.14944385    0.001504342     0.17108788   0.0017237706
            340     0.14340884    0.001434085     0.13315133   0.0013505131     0.15348487   0.0016680832
            350     0.12583207   0.0012628117      0.1160621   0.0012543453     0.13460088   0.0015342927
            360     0.11716235   0.0021398068     0.10683623   0.0013796918     0.12374966   0.0015200011
            370     0.10325217   0.0013959801    0.095972567   0.0016297724     0.11006195   0.0013768607
            380    0.089550448   0.0010656076    0.083217341   0.0010338704    0.095582608    0.001281986
            390    0.078752137   0.0010319105    0.072564422   0.0010139087    0.084868502   0.0012153955
            400    0.071985098  0.00093612851    0.066698966  0.00086002848    0.076860453   0.0011518115
            410    0.063879151  0.00089782231    0.058816888  0.00082901846    0.068576102   0.0010982848
            420    0.057897269  0.00089645651    0.053229473  0.00081156632    0.062029781   0.0010507035
            430    0.051925261   0.0008145995    0.048109524  0.00077528239    0.055436701  0.00098094878
            440    0.047759477  0.00099775903    0.044659338   0.0011113974    0.050216596   0.0010135772
            450    0.043861516    0.001124828    0.040780613   0.0014739044    0.045656887  0.00090683016
            460    0.038090647  0.00067900071     0.03501658  0.00062153868    0.041085539   0.0008354968
            470    0.034890625  0.00068587976    0.032194186  0.00069142786      0.0376947  0.00079946184
            480    0.031411008  0.00062307917    0.028906354  0.00058011014    0.033750726  0.00075690511
            490    0.027245624  0.00076155016    0.023805387   0.0021629451    0.029258717  0.00073524505
            500    0.024509997  0.00055430482    0.022722997  0.00051535933    0.025984465  0.00067950089
            510    0.022644765  0.00052919544    0.021013102  0.00048900794    0.023982617  0.00065129692
            520    0.021540977  0.00051249908     0.01972339  0.00046807665    0.023272928  0.00062782032
            530     0.01918084  0.00058603909    0.018164178  0.00074760302    0.020075517  0.00059886644
            540    0.017008462  0.00046334643    0.015925088  0.00044131632    0.017951991  0.00056354347
            550    0.015401989  0.00044952155    0.014200648  0.00042026884     0.01648969  0.00053779252
            560    0.014451961  0.00052986597    0.013674016  0.00064439399    0.014817543  0.00048655223
            570    0.012964067  0.00040273605    0.012087934  0.00038317525    0.013555943  0.00048534184
            580    0.012295744  0.00040566939    0.011285295  0.00043335112    0.013019481  0.00047782243
            590    0.011609315   0.0004493557    0.010902208  0.00051281172    0.012118813  0.00046146532
            600   0.0098234003  0.00036507066   0.0091845055  0.00032859991    0.010673007  0.00042400835
            610   0.0086110293  0.00033867776   0.0079432236  0.00032839694   0.0092634125  0.00040311034
            620   0.0082910993  0.00031472394   0.0076452273  0.00028019344    0.008824237  0.00039165656
            630   0.0077398842  0.00036454364   0.0071113006  0.00035128055   0.0081391862  0.00037991509
            640   0.0071045874  0.00031810208   0.0065765918  0.00029513804   0.0075393099  0.00038174653
            650   0.0059919028  0.00028831837   0.0053741491  0.00033266884   0.0064810662  0.00034052196
            660   0.0053908387  0.00025711233   0.0050498039  0.00023709796   0.0056057758  0.00031777235
            670   0.0049579308  0.00024596324   0.0046322478  0.00022247772    0.005273832  0.00030573237
            680   0.0046953535  0.00024767894   0.0043141384  0.00022499029   0.0050365951  0.00030367769
            690   0.0043566254  0.00023486879   0.0040595277  0.00021728324   0.0045546841  0.00028511581
            700   0.0040622882  0.00022074457   0.0037059092  0.00019605968   0.0044066389  0.00027591919
            710   0.0035560876  0.00021445011   0.0033387965  0.00021001894   0.0037234705  0.00026047338
            720   0.0035673383  0.00020674682   0.0032764016  0.00018627033   0.0038246879  0.00025659587
            730    0.003167966  0.00018932649   0.0028242916  0.00016773501   0.0035900434  0.00023680785
            740   0.0028753516  0.00020308359   0.0025430827  0.00016496575   0.0030851059  0.00022624472
            750   0.0029489495  0.00018906663   0.0027544868  0.00018224511   0.0030913804  0.00023320379
            760   0.0021953129  0.00016135492   0.0020265925  0.00014252478   0.0023716754  0.00020857073
            770   0.0025413238  0.00017381382   0.0022977189  0.00015493326   0.0028271444  0.00021457799
            780   0.0018973928  0.00016317308   0.0017725698  0.00014697953    0.001952819   0.0001888477
            790    0.002048868  0.00015782985     0.00192459  0.00014215234   0.0021475381  0.00019510335
            800    0.002048868  0.00015782985     0.00192459  0.00014215234   0.0021475381  0.00019510335
