#       ptHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.38858672   0.0024319081     0.36614566   0.0016809082       0.410385   0.0034854546
             10      1.1433373   0.0038165756      1.0808276   0.0032359286      1.2045715   0.0055848032
             20      1.8001905    0.003369606      1.6994345   0.0032107729      1.8961628   0.0041992153
             30      2.3535313   0.0041950785      2.2225131   0.0038652898      2.4779368   0.0054480413
             40      2.7465072   0.0044413045      2.5923601   0.0041809479      2.8955899   0.0058557342
             50       2.984902   0.0044503702      2.8182089    0.004348321      3.1437559   0.0056108537
             60      3.0859981   0.0045991706       2.914272   0.0049170377       3.241402   0.0056780902
             70      3.0907033   0.0044675002       2.918455   0.0049474846      3.2528755   0.0055468409
             80      2.9934458   0.0059559384      2.8237933   0.0050879213      3.1546178   0.0082444357
             90      2.8301988   0.0045921625      2.6669253   0.0042513953      2.9795231   0.0054918913
            100      2.6242832   0.0040515142      2.4728996   0.0048000875      2.7629975   0.0049878728
            110      2.3919711   0.0039997916      2.2560362   0.0039929977       2.517973   0.0047361103
            120      2.1770855   0.0040825565      2.0470922   0.0039262589      2.2966211   0.0053799075
            130      1.9506413   0.0036389473      1.8352891   0.0036121681      2.0530903   0.0042252506
            140      1.7351148   0.0033782993      1.6357565   0.0043572331      1.8262661   0.0041295338
            150      1.5393992   0.0032471831       1.450052   0.0034618382      1.6228619   0.0043503159
            160      1.3567362   0.0029769775      1.2743997   0.0030516696       1.433086   0.0035417547
            170      1.1994803   0.0029917738      1.1273092   0.0030244001      1.2657369   0.0036441476
            180      1.0458085   0.0026211283      0.9803492   0.0027617242      1.1048761    0.003159488
            190     0.92202019   0.0025722153     0.86574117   0.0024885256     0.97443799   0.0030441458
            200     0.81336421   0.0022873972     0.76180018   0.0025166783     0.86300863   0.0030934131
            210     0.70946513    0.002121235     0.66482052   0.0021311932     0.75001962   0.0025203337
            220     0.62560453   0.0020249641     0.58634533   0.0020873179     0.65969172   0.0023764492
            230     0.54607973    0.001863989     0.51138432   0.0018385736     0.57806149   0.0022292737
            240     0.48259335   0.0020731461     0.45132127    0.002247154     0.51094369   0.0021932599
            250     0.42563641   0.0016665151     0.39825948   0.0016512997     0.44977668    0.002150772
            260     0.37386709   0.0015678738      0.3484236   0.0014857749     0.39714566   0.0018426966
            270     0.33042029   0.0014453835     0.30871635   0.0014356699     0.35000538   0.0017129784
            280     0.29469017   0.0013850877      0.2751498   0.0014218556     0.31228738   0.0016148843
            290     0.25793889   0.0012550024     0.24076354      0.0012267     0.27297069   0.0015079872
            300     0.22823579   0.0011949885      0.2131381   0.0011657042     0.24195088    0.001436292
            310     0.20485811    0.001232677      0.1912028   0.0012745852     0.21737105   0.0013571317
            320     0.17785093   0.0010435948     0.16581688   0.0012661797     0.18895203   0.0012472495
            330     0.15870011  0.00098846976     0.14767074  0.00099415849     0.16854622   0.0011778198
            340     0.14216811  0.00097671863     0.13245317  0.00094367569     0.15117207   0.0011711944
            350     0.12688341  0.00087814794     0.11767611  0.00085544867     0.13501266   0.0010511969
            360     0.11500926   0.0011779285     0.10630026  0.00089978395     0.12118859   0.0010217758
            370     0.10180484  0.00090198553    0.095363237   0.0010313344     0.10726255  0.00096406725
            380    0.088504486  0.00072214022    0.082192784  0.00069647274    0.094468729   0.0008766343
            390    0.079590859  0.00073097441    0.073747451  0.00073732387    0.084897685  0.00083745795
            400    0.072201937  0.00081334149    0.068429765   0.0014137186    0.076230651  0.00080225688
            410    0.066244044  0.00070971072    0.061532294  0.00069706012    0.070066468  0.00080073666
            420     0.05812444  0.00060045274    0.053630004  0.00055315179    0.061965029  0.00071488292
            430    0.052281772  0.00056038061    0.048483266  0.00053171953    0.055698265  0.00067298312
            440    0.046914069  0.00061702191    0.043831084  0.00065769982    0.049101453  0.00067521249
            450    0.043220872  0.00065148727    0.040259896  0.00079031384    0.045338009  0.00062580917
            460    0.038510362  0.00051542616    0.035719947  0.00056902586    0.041157386  0.00058682302
            470    0.034637673  0.00049024355    0.032290143  0.00057982312    0.036618643  0.00054397716
            480    0.030456595  0.00043153434    0.028171203  0.00043188437    0.032284108  0.00051322448
            490    0.027610901  0.00047663192    0.025064141   0.0010783285    0.029218527  0.00050220955
            500    0.024665413  0.00037550289    0.022896337  0.00034677643    0.026134459  0.00046669718
            510    0.022601585  0.00036774306    0.020974874  0.00034234604    0.023925891  0.00044938262
