#         pttop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.20365498   0.0017488296     0.18874769   0.0014208322     0.22267225   0.0033124895
             10     0.59410687   0.0031400549     0.54940611   0.0025083303     0.64520992   0.0044495737
             20     0.95813407   0.0030283259     0.89025479   0.0032108868      1.0372662   0.0039514946
             30      1.2840791   0.0036159412      1.1961304   0.0034530766      1.3819013   0.0046745825
             40      1.5723667   0.0041915372      1.4634034   0.0036863943      1.6933377   0.0058926445
             50      1.8161924   0.0048622303      1.6946707   0.0041205565      1.9465255   0.0069774041
             60      1.9938636    0.003732985      1.8658885   0.0036021456      2.1310441    0.004565759
             70      2.1360691   0.0037074454      2.0017908   0.0038493387      2.2765027   0.0045959596
             80      2.2282982   0.0038937962      2.0927974   0.0040017937      2.3731024   0.0048233102
             90      2.2768694   0.0045943032      2.1365762   0.0040378168      2.4182909   0.0061545248
            100      2.2694621   0.0037182009      2.1325689   0.0036152642      2.4037392   0.0045675334
            110       2.243039   0.0037526234      2.1102803   0.0038166027      2.3744206   0.0046694082
            120      2.1816031   0.0037436882      2.0500531   0.0043264529      2.3038427   0.0044655687
            130      2.1037108   0.0036538579      1.9793195   0.0036230542      2.2211862   0.0044057023
            140      2.0040858   0.0034680292      1.8845024   0.0033329973      2.1154627   0.0042604737
            150      1.8930204   0.0034262964      1.7838531   0.0034673761      1.9936115   0.0041375581
            160      1.7750716   0.0035170819      1.6749013   0.0037493759      1.8631913   0.0040168455
            170      1.6489735   0.0033393712      1.5549953   0.0032776137      1.7318934   0.0038619093
            180      1.5316373   0.0031844968      1.4439225    0.003296374      1.6065602    0.003830628
            190      1.4064953   0.0036978858       1.326834   0.0030617606      1.4705795   0.0045392913
            200      1.2879283   0.0027878832      1.2159944   0.0027241111      1.3478901   0.0034173669
            210       1.172957   0.0029521346      1.1068635   0.0028980837      1.2261043   0.0032544998
            220      1.0682298   0.0025890055      1.0103941   0.0026205213      1.1153358   0.0031141325
            230      0.9667374    0.002423662     0.91598445   0.0026726013      1.0085073   0.0029422969
            240     0.87565236    0.002399002     0.82930371   0.0024544162     0.91112306    0.002792982
            250     0.79216282   0.0021894841     0.74971254   0.0022231016     0.82406875   0.0026636051
            260     0.71380215   0.0021633384     0.67620785   0.0021873731     0.74049902   0.0025848865
            270     0.64314282   0.0020327694     0.60985469   0.0024782784     0.66858251   0.0024226471
            280     0.57672283   0.0019220999     0.54773573   0.0019151777     0.59623545   0.0021636199
            290     0.52016856   0.0017883174     0.49529858   0.0026666234     0.54094786   0.0023560736
            300     0.46198578   0.0016953795     0.43824365   0.0016330592     0.47859852   0.0019316296
            310     0.41808542   0.0016328036       0.397051   0.0016328233      0.4327528   0.0020384057
            320     0.37748617   0.0015819696      0.3593865   0.0018194859     0.38968955   0.0018517701
            330     0.33830757   0.0014264792     0.32140053     0.00137683     0.34916774   0.0016354723
            340     0.30437133   0.0014056369     0.28978062   0.0015197513     0.31393871   0.0015713369
            350     0.27168584   0.0012907977     0.25829744   0.0013594207     0.28022965   0.0015643918
            360     0.24361548   0.0012017787     0.23135039   0.0011613665     0.25111816    0.001383287
            370     0.21988095   0.0011788898     0.20947255   0.0011806613     0.22642389   0.0013099878
            380     0.19884783   0.0011813249      0.1895344   0.0014664646     0.20346758   0.0012423489
            390     0.17749245    0.001070404     0.16838677   0.0010153563     0.18284869   0.0012335772
            400      0.1577094   0.0010031846     0.15149949  0.00098623762     0.16323059    0.001180795
            410     0.14213394  0.00096544398     0.13575574  0.00099211173     0.14516099   0.0010867267
            420     0.12740523  0.00086992599     0.12150253  0.00085850474      0.1307344  0.00099930495
            430     0.11379556  0.00088764185     0.10857259  0.00087571247      0.1165521  0.00098666492
            440     0.10525923  0.00088615872      0.1000623  0.00076462104     0.10761356  0.00090800415
            450    0.092427612  0.00075435736    0.088294239  0.00074284761    0.094461791  0.00086303456
            460    0.084371719  0.00074192741    0.080682114  0.00071237814     0.08671718  0.00096119021
            470    0.076414387  0.00067902786    0.073298366  0.00066658322    0.077569872   0.0008534533
            480    0.069672253  0.00064047247    0.066473084  0.00061317643    0.071383794  0.00073332565
            490    0.062167561  0.00064561235    0.059904259   0.0006772785    0.062861657  0.00070002322
            500    0.055539063  0.00058471885    0.053923557  0.00057611879    0.056370522  0.00066048065
            510    0.050221771  0.00054464075    0.047545283  0.00055536462    0.051406376  0.00062142764
            520    0.045414637  0.00052955656    0.043560639  0.00054665361    0.046393333  0.00059198018
            530    0.041092008  0.00049886885    0.039315129  0.00047659254    0.041944211  0.00057282007
            540    0.039357901  0.00061072796    0.037683947  0.00071311315    0.040096062  0.00057442419
            550    0.034305191  0.00045536707    0.033060814  0.00045893985    0.034767306  0.00051246979
            560    0.031479901  0.00042648297    0.030059984  0.00040315017    0.032255118  0.00049194098
            570     0.02797155  0.00040683731    0.026831309   0.0003866374    0.028440241  0.00046522704
            580    0.025348432  0.00039478884    0.024442713  0.00039409245    0.025699924  0.00044341421
            590    0.023050863   0.0003929857     0.02237426  0.00045228375    0.023050863   0.0003929857
            600    0.021019494  0.00035037754     0.02003361  0.00032718577    0.021548993  0.00040272597
            610    0.019301053  0.00036955893    0.018621424  0.00039801404    0.019535846  0.00038802618
            620    0.017442674  0.00033552906    0.016738528   0.0002991467    0.018009266  0.00037005812
            630    0.016175251  0.00034505287    0.015803059  0.00039518647    0.016245519  0.00036455826
            640    0.014584851  0.00030626018    0.014101176  0.00030604708    0.014689164  0.00035038232
            650    0.012842456  0.00028149356    0.012278453  0.00027659798    0.013022515  0.00032535892
            660    0.012099471  0.00027941998    0.011487555  0.00025794898    0.012379182  0.00031338714
            670    0.010915527  0.00025665022    0.010638843  0.00031840952    0.010946252  0.00025385178
            680   0.0099695677  0.00025402829   0.0097228078  0.00026630034   0.0099891896  0.00025769398
            690    0.008962709  0.00023099354   0.0087251011  0.00022898405   0.0089647459  0.00027285267
            700    0.008592418  0.00023030104   0.0083478126  0.00022426247   0.0086156762  0.00025925927
            710   0.0073898889  0.00021005774   0.0071887611  0.00020140372   0.0073913345  0.00020656845
            720   0.0069873736  0.00020065559   0.0066560951  0.00018496919   0.0071890109  0.00023343485
            730   0.0066441422  0.00020371762   0.0063544611  0.00020205603   0.0068160686  0.00022504795
            740   0.0058439742   0.0001873911   0.0056593687   0.0001785867   0.0058796689  0.00021378876
            750   0.0054534779  0.00018633275   0.0053208348  0.00018187517   0.0055070259  0.00020865486
            760   0.0050209262  0.00017168786   0.0048331077  0.00015809967   0.0051033556   0.0001985119
            770   0.0047681638  0.00016638271   0.0046110405  0.00015611343   0.0047972997  0.00019331551
            780   0.0045892633  0.00017298891    0.004448607  0.00018741293   0.0046567235    0.000189608
            790   0.0038773072  0.00015224938   0.0037416288  0.00013996154   0.0039106076  0.00017774567
            800   0.0038773072  0.00015224938   0.0037416288  0.00013996154   0.0039106076  0.00017774567
