#         ytbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4  0.00060178258  0.00073772792  0.00034236542  0.00059488756   0.0010026133   0.0010364383
           -3.8    0.010567525   0.0048141305   -0.040689578    0.053095597     0.01367602   0.0054280069
           -3.6    0.070025518   0.0082916094    0.063051581    0.009271566    0.079435569    0.011794432
           -3.4     0.34563414    0.025536919     0.31389756    0.036283618     0.45666219    0.076952766
           -3.2      1.2132652    0.039393772      1.1170565    0.048316201      1.2585274    0.029001743
             -3      3.0587761    0.038934043      2.8141495    0.045081303      3.2946338    0.042131435
           -2.8      6.2368236    0.054610316       5.843016    0.069136254      6.6420388    0.058151238
           -2.6      11.711636    0.065422496       11.05855     0.12316027      12.567098    0.078756158
           -2.4       19.53527     0.10481552      18.217638    0.099327972      20.787249     0.14495377
           -2.2      29.914631     0.12101052      27.984519     0.10038968      31.735553     0.12190666
             -2      42.751783     0.12374789      40.244543     0.12932105      45.175265     0.14976914
           -1.8      57.921378     0.15687189      54.505654     0.15954846       61.15903     0.17049016
           -1.6      74.185649     0.15735012      69.884901     0.15528294      78.352954     0.19640485
           -1.4        91.6906     0.17353618      86.281743     0.16720384      96.781269     0.20777831
           -1.2      108.74824      0.2214639      102.33542     0.19156713       114.7745     0.30974078
             -1      124.92793     0.20223507      117.65399     0.20077671      131.56492     0.24773072
           -0.8      139.38028     0.22265226      131.34217     0.21446234      146.59503     0.28255043
           -0.6      151.17882     0.21623354       142.4468      0.2113872      158.92628     0.26798264
           -0.4      158.68427     0.21744496      149.45826     0.21704959      166.81955     0.26719803
           -0.2      163.32544     0.22332356      153.81292     0.21685725      171.70607     0.27429584
              0      163.14478     0.23211738      153.74776     0.22850549      171.43597     0.28553823
            0.2       159.1651     0.23269269      149.89953     0.21766421      167.44614     0.30139394
            0.4      150.93282     0.28128223      142.09377     0.24876116      158.82199     0.38625083
            0.6      139.49623     0.25763744      131.27446     0.22491497      147.05217     0.36141467
            0.8      125.00757     0.20014482      117.63483     0.19398605      131.85172      0.2508905
              1      109.22893      0.1949481      102.91008     0.20134187      115.08914     0.23720952
            1.2       91.82188     0.17633439      86.401721     0.17534338      96.999771     0.21322608
            1.4      74.057408      0.1616063      69.697795     0.15275996      78.179549     0.21051731
            1.6      57.890708     0.13751546      54.483057     0.13436388      61.259058     0.17025387
            1.8      42.836514     0.12117524      40.367847     0.13617705      45.318684     0.15381469
              2      29.879048     0.11359616      28.045397     0.11739907      31.682337     0.12499381
            2.2      19.350388    0.091017559      18.158622     0.10589385      20.589957     0.10705024
            2.4      11.597507    0.071757766      11.019024    0.077926037      12.410723    0.083690658
            2.6      6.3306033    0.061856975      5.8788236    0.072528876      6.8346009    0.066743233
            2.8      2.9838872    0.070456074      2.8179167    0.094407564      3.2361879    0.043736736
              3      1.1860506    0.029093752      1.0753314    0.025967615      1.3333703    0.039385139
            3.2     0.40131751    0.027581612     0.22032196     0.12410887     0.47972814    0.050103609
            3.4    0.097283774    0.010496172    0.090079697    0.014071575     0.10560003    0.010457692
            3.6   0.0058402679   0.0036402035   -0.011344581    0.013692327   0.0065996363   0.0032913603
            3.8   -0.001032547  0.00085105579  -0.0020946967   0.0014220477  -0.0004084502   0.0011737497
              4   -0.001032547  0.00085105579  -0.0020946967   0.0014220477  -0.0004084502   0.0011737497
