#       etatbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      4.0679636     0.22110092      3.9302161     0.21015754      4.1117879      0.2357695
           -3.8      5.4639333     0.21364631      5.2868927     0.20795609      5.4839072     0.21492657
           -3.6      8.2413936     0.25688631      8.0051739     0.25363172      8.2722978     0.25811503
           -3.4      11.875969     0.32349684      11.535955      0.3129468       20.12623      8.6837869
           -3.2      17.518328     0.52990801      15.431716      1.0780015      17.540087     0.50623449
             -3      21.181025     0.71493015      20.334775     0.68782792      21.265364     0.71594292
           -2.8       29.96603     0.47989693      26.371033      2.4355778      30.070786     0.48157749
           -2.6      39.271317     0.58471804      37.682836     0.56783364      39.441221     0.58792356
           -2.4      49.803384     0.63827692      47.453559     0.64115079       50.07555     0.65037658
           -2.2       58.02113     0.75506436      55.021174      1.7930534      58.319286     0.76862551
             -2      68.959765     0.79218546      65.559366     0.84649823      69.290431     0.79674362
           -1.8      79.555164     0.78251831      75.848627     0.78168583      79.924669     0.78580204
           -1.6      87.117199     0.83525272      83.242199     0.84532772      87.568452     0.84224174
           -1.4      94.770613      0.8424408      89.752871      1.3160557      95.239447     0.84633937
           -1.2      100.02791     0.98017194      95.906886     0.96087493      100.53214     0.98739379
             -1      99.220979      4.0425859      97.955244      5.7976574      100.66522     0.88245124
           -0.8      100.49929     0.86447363      95.952131     0.86131752      101.00002     0.86853191
           -0.6      102.08484     0.87133485      97.860362      0.8847224      102.59937     0.87536801
           -0.4       101.1061     0.87570783      97.038811     0.86145081       101.6325     0.88037323
           -0.2      102.83081     0.90130312      99.060268     0.99790928      103.36825      0.9061942
              0      103.48673     0.91086704       97.99591       1.516954      104.01317     0.91535434
            0.2      103.87625     0.90493936       99.59669     0.90476025      104.41496     0.90945793
            0.4      103.07836     0.87690755      99.704736      1.0052979      103.60409     0.88101945
            0.6      102.88998     0.93823357      98.507061     0.88332805       103.4146     0.94382923
            0.8      101.64838     0.98538128      97.181529     0.92483037      101.79927      1.0092882
              1      98.874738     0.88711795      94.883052     0.87057024       99.35762     0.89166276
            1.2      94.050233     0.84427818      90.177139     0.82608096      94.513646     0.84814686
            1.4      87.913709      0.8207295      84.958728     0.80743466      88.365101     0.82725815
            1.6      80.480609      0.8049819      77.227437     0.78266121      80.888141     0.81375975
            1.8      69.328486     0.72387674      66.787569     0.72206686      69.640528     0.72663719
              2      59.786875     0.73000101      57.353012     0.70628984      60.069158     0.73496474
            2.2      49.241608     0.64022904      47.317798     0.62199104      49.460703     0.64356643
            2.4      38.214489     0.55298696      36.620499     0.54084611      38.369869     0.55490101
            2.6      30.946401     0.55384972      24.839088      4.8264094      31.512723      1.5589531
            2.8      22.930977     0.44078582      22.091048     0.46822783      23.031916     0.44394803
              3      17.203472     0.37248076       15.76113     0.89702773      19.403659      2.6929033
            3.2      11.855195     0.31171482      8.5217039      2.8223031      11.899284      0.3129413
            3.4      8.9356448     0.27202903      8.5516753      0.2609545      8.9731083     0.27365562
            3.6      5.6352404     0.21464841      5.4129591     0.21041516       5.652052     0.21512629
            3.8      3.5055182     0.61172392       3.385549     0.57445596      3.5148812     0.53458553
              4      3.5055182     0.61172392       3.385549     0.57445596      3.5148812     0.53458553
