#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.821765     0.31419835      12.661859     0.28418608       15.06546      0.3929063
            0.2      39.131312      0.5315214      36.117944     0.48871715       41.81092     0.62918935
            0.4      59.325364     0.65637964      54.803686     0.60004021       63.85666     0.81533284
            0.6      76.008668     0.75749774      70.947822     0.71481416      80.404493     0.92734319
            0.8      89.104048     0.81254062       82.84337     0.75064624      94.930764      1.0139103
              1      99.761929     0.85832018      92.905008     0.80005019      106.13132       1.058559
            1.2       108.1871      0.8959842      101.07719     0.85168447      115.18078      1.1105778
            1.4      116.46275      1.1572088      109.51141      1.3233442      123.63213      1.3801701
            1.6      128.03576      1.0857058      120.13857      1.1781519      135.50255      1.2247258
            1.8      135.79872     0.99872494      126.78987     0.94414907      144.09417      1.2561289
              2      150.52996      1.1524013      141.73042      1.2167653      158.41342      1.3337851
            2.2       166.3134      1.2608519      156.70334      1.0635193      176.74472      1.4037204
            2.4       189.4873      1.2738318      178.42458      1.3196807      200.20849      1.4948219
            2.6      211.17277      1.2828097      199.33596      1.2178597      222.45624      1.5920258
            2.8      244.32697      1.4548273      230.93827      1.4667617      257.31896      1.7334513
              3      243.94233      4.1939339      231.29075      2.9358382      256.59219      6.8360153
            3.2      120.40006     0.98935916      113.48316     0.91330835      127.18124      1.2453896
            3.4      68.577962     0.76070762      64.348069     0.73600093      72.807763     0.91891991
            3.6      43.140803     0.57199148      39.918697     0.51995561       46.67581     0.71405589
            3.8      28.888107     0.48974451       26.73222      0.4546765      31.132866     0.60534478
              4      18.661203     0.37139439      17.272797     0.34078915      20.198885     0.46787382
            4.2      12.662532     0.30398368      11.638893     0.27612022      13.807798      0.3821054
            4.4      8.6439739     0.30640778      7.9188362     0.28975237      9.3909648     0.34067926
            4.6      6.2042624     0.22565202      5.6908478     0.20722749      6.7390596     0.27030619
            4.8      4.2669659     0.18105795      3.9539762     0.18510948      4.6237259      0.2220936
              5      4.2669659     0.18105795      3.9539762     0.18510948      4.6237259      0.2220936
