#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      6.4554229     0.24551542      5.9373612     0.24225723      7.0412483     0.28041824
           -3.8      8.3855776     0.24707273      7.5538356     0.22001594      9.3590213     0.31073614
           -3.6      10.547611     0.27849218       9.585071      0.2518002      11.590523     0.34170393
           -3.4      13.406012     0.37489666      12.333843     0.38621039      14.414664     0.40511931
           -3.2      15.960187     0.35091992      14.607778     0.32182679      17.410274     0.42546044
             -3      19.575658     0.38125869      18.048709     0.34767668      21.130725     0.47327556
           -2.8      23.540888     0.41246649      21.636074     0.37471047      25.542335     0.51939635
           -2.6      29.329307     0.46386989      26.869836      0.4317357      32.001903      0.5830332
           -2.4      36.038241     0.52360083      33.464355     0.48808185       38.61834     0.64782972
           -2.2      43.339844     0.57901955      40.222248     0.54322177      46.419189     0.70815874
             -2      51.376477     0.62603239      47.948612     0.56664666      54.891592     0.78666191
           -1.8      61.093945     0.66748445      56.660629     0.60081092      65.824828     0.84186248
           -1.6      72.278861      0.7444235      67.769176     0.69626067       76.53834     0.92038232
           -1.4      83.280377     0.97844022      77.949011     0.80902211      88.636217      1.2341347
           -1.2      94.698539     0.87786146      89.454686     0.83546442      99.035677      1.0668599
             -1      105.32643     0.89552083      99.148662     0.83684551      111.51668      1.1251147
           -0.8      115.17232     0.99553105      108.83308      1.0265971      121.71385      1.1843071
           -0.6      123.87966      1.1251726      118.01567      1.2930672      128.42898      1.1672083
           -0.4      129.13502      1.0123337      122.22713     0.95593482      135.19129      1.2040674
           -0.2      131.78156      1.0341809      124.54938     0.97453145      138.47227      1.3046649
              0      130.33164      1.0181492        122.593     0.97981458      137.53352      1.2845441
            0.2       126.0557      4.0735469      120.70886      2.7265766       130.2371      5.7900532
            0.4        124.501      1.1537931       117.9523     0.93093094       132.0744      1.2606024
            0.6      115.60512     0.96932354      109.18773     0.95505538       121.8005      1.1749719
            0.8      104.83135     0.89729386      99.151964     0.84858577      109.83694      1.1218628
              1      95.322592     0.85809482      90.057017     0.82255306      100.27584      1.0686278
            1.2      83.504865      1.0043183      79.640206      1.4087555      86.664341     0.99837362
            1.4      71.242539     0.73598951      66.340276     0.84847732       75.45888     0.92307757
            1.6      60.904718     0.69297954      56.915847     0.65369144      64.651673     0.84190851
            1.8      51.846891     0.64925058      48.579674     0.62967526       54.87518     0.77792486
              2      43.660405     0.57586458      40.743938     0.53708589      46.384209     0.71020369
            2.2      35.292929     0.50939584      32.667386     0.46347414      37.913588     0.63887607
            2.4      30.822979     0.47153115      28.154491      0.4379661      33.809462     0.58512492
            2.6      24.219445     0.53460176      22.498577     0.63277599      25.865533     0.52904511
            2.8      19.746778     0.38003928      18.027774     0.34076322      21.586346     0.47566895
              3      15.811258     0.35285699       14.54083     0.32605755      17.144053     0.42630007
            3.2      11.889994     0.31816685      10.792678     0.28690788      14.793776      1.6023025
            3.4      10.182677     0.29152866      9.1920697     0.28028185      11.291749     0.33898352
            3.6      8.5635015     0.24919174       7.691423      0.2239927       9.543424     0.30302822
            3.8      7.0950793     0.23465541      6.4801946     0.21789138      7.6903465     0.28281212
              4      7.0950793     0.23465541      6.4801946     0.21789138      7.6903465     0.28281212
