# ptHiggs+top+t        central        num_err    min (scale)        num_err    max (scale)        num_err
# bar
              0      5.3887437    0.037829961       5.317548    0.036719447      5.9521536    0.053227989
             10      6.2559505    0.034019433      6.0888864    0.032914034      6.4512936    0.044386706
             20       5.219658    0.031354335      5.0301737    0.026744078      5.3651099    0.035061572
             30      4.2427654    0.026390841      4.0666959    0.026603531      4.3349371    0.029118561
             40      3.5970011    0.025412647        3.42863    0.027868598       3.689589    0.025772994
             50      2.8688774     0.08162636      2.7300233    0.054769656       2.934273     0.11562162
             60      2.4662348    0.019765626       2.323528    0.020360062      2.5770192    0.037608412
             70       2.092346    0.017294161      1.9696761    0.016872747      2.1656128    0.018592464
             80      1.8060245    0.015916668      1.6842543    0.015091386      1.8915357    0.017373945
             90      1.5454455    0.014497346      1.4389898    0.013957818      1.6184023    0.015599226
            100      1.3162514    0.013480102       1.217768    0.012897168      1.3897618    0.014415097
            110      1.1544388    0.012525173      1.0617304    0.011948577      1.2251194    0.013769053
            120      1.0177897    0.011366325     0.92683474    0.010553583      1.0926556    0.012587259
            130     0.87401973    0.010493167     0.78864993   0.0097464714     0.95078384    0.011649708
            140     0.75634601   0.0097686803     0.67584496    0.009203566     0.82941749    0.010904116
            150     0.68341208   0.0091634589     0.60782753   0.0084608854     0.75375757    0.010263374
            160     0.58996168   0.0083501539     0.51708508   0.0074483622      0.6630589   0.0095525693
            170     0.51917805    0.007892456     0.45406292   0.0071114862     0.58436043   0.0089775316
            180     0.46369836   0.0073001536     0.40222726    0.006533509     0.52512843   0.0086019548
            190     0.41200651   0.0068364354     0.35449723   0.0060647123     0.47036925   0.0079870382
            200     0.36865599   0.0064190001     0.31461597   0.0055532516     0.42445185   0.0075398238
            210     0.33146604   0.0060353128     0.28114497   0.0052093129     0.38441318   0.0070973155
            220      0.3099654   0.0058686802     0.26356184   0.0051170159     0.35748223   0.0068947992
            230     0.27766823   0.0055127227     0.23496015   0.0048360906     0.32203983   0.0065375539
            240     0.25404462   0.0052364604     0.21296454   0.0044406691     0.29774565   0.0062555831
            250     0.23965027   0.0050777927     0.20032865   0.0043150077     0.28131781   0.0060632292
            260     0.20927218   0.0047452654     0.17482958   0.0040501042     0.24586551   0.0056220884
            270       0.194317   0.0046177805     0.16254128   0.0039758722     0.22728845   0.0054740615
            280      0.1838367   0.0044275183     0.15271811   0.0037134898     0.21707399   0.0052859923
            290     0.15380585   0.0040582489     0.12804451    0.003422083     0.18140098   0.0048269711
            300     0.14678973   0.0039308502     0.12154844   0.0032640139     0.17358991   0.0047712018
            310     0.14308666   0.0039218261     0.11897727   0.0032771811     0.16799622   0.0047759014
            320     0.12349005   0.0036266101     0.10215144   0.0030428607      0.1462236   0.0043452044
            330     0.11465216   0.0034947874    0.094554223   0.0029095451     0.13599007   0.0041942554
            340     0.10892854   0.0033826176    0.089965599   0.0028035926     0.12900443   0.0041047033
            350     0.10409303   0.0033703747    0.085378535   0.0028287644     0.12437992    0.004006636
            360    0.096248914   0.0031834525     0.07957597   0.0026558249      0.1135437   0.0037979269
            370    0.083119104   0.0029617039     0.06851945   0.0024490848    0.098624775   0.0035473621
            380    0.078210837   0.0028858343    0.064921444   0.0023950149    0.091712421   0.0035103309
            390    0.076404457   0.0028305066     0.06315863   0.0023486246    0.090018599   0.0033841394
            400    0.066062906   0.0026321453    0.054808191   0.0021990488    0.077119774   0.0033496002
            410    0.062197495   0.0025521895    0.051043141   0.0020954077    0.073996393   0.0030886163
            420    0.057172015   0.0024560519    0.046693197   0.0020195119    0.068636551   0.0029776265
            430    0.057812987   0.0024822601     0.04787332    0.002065943    0.067912914   0.0030161856
            440    0.045779936   0.0021907338    0.037522302   0.0017969435    0.054489545   0.0026432964
            450    0.049203229   0.0022732181    0.040271667   0.0018737077    0.058616498   0.0027454883
            460    0.045298476   0.0021861009    0.037420337   0.0018096205    0.053252515   0.0026148389
            470    0.040516611   0.0020649267    0.033192667   0.0016997803    0.048212595   0.0024654965
            480    0.037472005   0.0019929254     0.03106542   0.0016414689    0.043651653   0.0024445462
            490    0.034440323   0.0026242338    0.027529675   0.0025056286    0.041968454   0.0027282648
            500    0.030695969   0.0018040365    0.025132867   0.0014774769     0.03643425   0.0021742895
            510    0.030454162   0.0018202327    0.024993207   0.0015048434    0.035931058   0.0021737875
            520    0.028562825   0.0017555965    0.023711716   0.0014767764    0.033083965   0.0021646521
            530    0.025713423   0.0016737413    0.021279819   0.0013743405    0.030016479   0.0020705165
            540    0.022467084   0.0015300375     0.01841157    0.001259509    0.026702275   0.0018316996
            550    0.024051828   0.0016010299    0.019872537   0.0013190961    0.028065234   0.0019101645
