#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4  -0.0025695614   0.0077987215  -0.0029886844    0.007727629  7.5175088e-05    0.011801473
           -3.8    0.019713158    0.013418467    -0.12176369     0.14163853    0.030505877    0.020791711
           -3.6     0.13103281    0.035745653     0.11161886    0.039461354     0.13894133    0.036950863
           -3.4     0.50963406     0.11391305     0.46614955     0.13648737     0.51196583     0.12595864
           -3.2      1.4404557     0.17568576      1.0278048     0.31947171      1.4570468     0.14401393
             -3       2.898057      0.1587867      2.6194619     0.17134885      3.0804941     0.19846473
           -2.8      5.4784685     0.61902084        5.01673       1.141833      5.9889041      0.4784254
           -2.6      11.147662     0.34307659      10.670781     0.36142522       11.72725     0.39904821
           -2.4       18.05343     0.38457698      17.049196      1.2555987      18.848693     0.46968684
           -2.2      28.529327     0.48568866      26.632479     0.47885347      30.598407     0.59212361
             -2      40.506366     0.68890751      38.752891      1.1127735      42.342422     0.72018933
           -1.8      55.481048     0.66153172      52.223026     0.61630008      58.838737     0.83064878
           -1.6      71.512126     0.89652525      67.596412      1.0350571      74.817014     0.94202241
           -1.4      91.354968     0.83307529      85.300039     0.77037023      97.362901       1.090799
           -1.2      110.11426     0.96074047      103.30515     0.98301004       116.6771      1.1320612
             -1      127.44902      1.0323769      119.96716      1.0553247      134.30958      1.2151989
           -0.8      138.14152      4.0855645      131.02553      2.7341895      143.84209      5.8014305
           -0.6      155.48603       1.121993      146.24042      1.1262816      163.93303      1.3351253
           -0.4      164.82801      1.1079552      153.97985      1.0278436      175.54455      1.3786427
           -0.2      169.63627      1.1281566      158.57956      1.0364385      180.36775      1.4103364
              0      169.55088      1.1115492      158.21556      1.0243383      180.74034      1.3827645
            0.2      164.12489      1.1118196       154.0097      1.0266927       173.5388      1.3914638
            0.4      155.18377      1.0746515      145.46901     0.99423046      164.37177      1.3401333
            0.6      141.89563      1.0334562      133.17636     0.96989253      150.06978      1.2838106
            0.8      126.33498     0.99425207      118.29641     0.93822101       134.1999      1.2353051
              1      110.25203      1.0611387      103.55061      1.1560913      116.65863      1.1619869
            1.2      93.442706     0.83840961      87.174754     0.77178165      100.24934      1.0605187
            1.4      73.001591     0.76406911      68.616778     0.70532797      77.442588      0.9645231
            1.6      56.262855     0.70260723      53.099676     0.71324862      59.731498     0.85174091
            1.8      41.252267     0.57360127      38.676012     0.54261496      44.184623     0.72343314
              2      28.235532     0.51542946      26.531159     0.60263862      29.690216     0.61368891
            2.2       18.66196     0.41777875      17.699805     0.40500387      21.397562      1.6385136
            2.4      11.152375     0.32331009      10.388076     0.34940229       11.56359     0.39393347
            2.6      6.0049828     0.24106413      5.6094861     0.21043926       6.332452     0.33712691
            2.8      3.3599604      0.1669263      3.1283429     0.17379231       3.640417     0.22138873
              3     0.46047453     0.59519634     0.19531493     0.83160393      1.1163001     0.15166346
            3.2     0.26405557    0.078214185     0.20705764    0.086245394     0.36007316    0.083089785
            3.4     0.13350658    0.053352849     0.13350658    0.053352849      0.2019396    0.084598224
            3.6    0.027356404    0.013353858    0.024462982    0.013753924    0.034135088    0.015260248
            3.8   0.0093851756   0.0089740338   0.0067078074    0.012615056   0.0093851756   0.0089740338
              4   0.0093851756   0.0089740338   0.0067078074    0.012615056   0.0093851756   0.0089740338
