#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.359956    0.069080866      12.462724    0.075394314      14.121988    0.076282847
            0.2      38.291038      0.1063061      35.702553    0.099664357       40.51618       0.129358
            0.4      58.683514     0.13288316      54.839029     0.19408477      62.078446     0.16598581
            0.6      75.199369     0.15173298      70.379578     0.15799254      79.493132     0.18301702
            0.8      88.031897     0.15806008      82.452366     0.17050788      93.032301     0.19582207
              1      98.226069     0.17266361      91.932567     0.17321861      103.82585     0.20854445
            1.2      107.28666     0.18104118      100.66341     0.19306186      113.11309     0.22060914
            1.4      116.34263      0.1976728      109.14176     0.19255265      122.76142     0.22987513
            1.6      125.73918      0.2030935      118.19448     0.25519474      132.55318     0.25234495
            1.8      136.19523     0.23958608      128.10746     0.21608404       143.5531      0.3322982
              2      149.08943     0.22762139      140.40793     0.22026401      156.66528     0.26110355
            2.2      165.78143     0.23600112      156.39464     0.22898209      174.12925     0.28847484
            2.4      185.72558     0.26016573      175.55761     0.25390194       195.0343     0.32988847
            2.6      210.47572     0.26825021      199.34241     0.26501258      220.93767      0.3309603
            2.8      238.89926     0.34467253      226.47341     0.31491443      250.56906     0.46811912
              3      242.05774     0.29294275      229.64126     0.29792925       253.7532     0.36926176
            3.2      119.51733     0.22955409      112.69818     0.22368613      126.21008       0.302134
            3.4      68.417458     0.17296922      64.143839     0.17148097      72.690805     0.21718206
            3.6      42.872081     0.12169167      39.888244     0.12568558      45.886547     0.14829489
            3.8      28.358919     0.12982485      26.231471    0.092137043      30.562357      0.1822091
              4      19.218977    0.080655341      17.783177    0.079924928      20.772507    0.095976088
            4.2      13.104352    0.067101051      12.074997    0.066806717      14.241573    0.078834985
            4.4      8.9371642    0.056234459      8.2207841    0.054460287      9.7535701    0.068361832
            4.6      6.2304856    0.044810877      5.7151006    0.042552568      6.8012277    0.053707938
            4.8      4.2731096    0.037211254      3.8903987    0.035804042      4.6816702    0.044553289
              5      4.2731096    0.037211254      3.8903987    0.035804042      4.6816702    0.044553289
