#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      5.6618566     0.28919601      4.4998308      0.1893127      7.4383451     0.46524564
            0.2      10.590354     0.15384101      9.2133668     0.10999681      12.375722     0.22783814
            0.4      16.106447    0.088097885      14.336485    0.073658417      17.988144    0.099715596
            0.6      22.044351    0.088153112      19.763759    0.080357737      24.463002     0.10416821
            0.8      28.133195    0.089534518      25.409074    0.085189117      31.036964     0.11465789
              1      35.015331     0.11488982      31.710447     0.10455445      38.292027     0.12250916
            1.2       42.75756     0.11723726       38.94301     0.12453484      46.671218     0.13585364
            1.4      52.534948      0.1338365      48.259276        0.15607      56.926193     0.15008669
            1.6      64.945159      0.1430642      59.769598     0.13648258      70.144611     0.17187795
            1.8      81.423873     0.15450789      75.430152     0.16035179      87.236776     0.18576019
              2       104.9168     0.18115821      97.765166     0.18556274      111.89439     0.21269013
            2.2      138.59278     0.20903918      129.89103     0.19805083      146.51957      0.2491765
            2.4      186.62424     0.24081059      176.10472     0.27369221      195.78867     0.28680125
            2.6      254.93654     0.28365644      242.87998     0.29758002      264.71962     0.34014381
            2.8      342.89256     0.32885684      328.74545      0.3699953      353.85479     0.39579554
              3      393.64451     0.35248694       378.0437     0.35114861      405.12588     0.44944299
            3.2      204.66002     0.25431269      194.70394     0.28138965       213.1912     0.32965935
            3.4      121.24158     0.20308854      113.98647     0.20232926      127.79766     0.23980589
            3.6      78.953094     0.15661605      73.642431      0.1569786      84.270872     0.19436205
            3.8      53.349512     0.12825701      49.394499     0.12456611      57.510029     0.16717456
              4      36.918117     0.10799503      33.966138     0.10356546       40.13987     0.12980065
            4.2      26.114042    0.093085861       23.87031    0.093051027      28.575545     0.10863357
            4.4      18.676404     0.08165243      16.961684    0.078670369      20.602835    0.094138678
            4.6      13.466499    0.067840307      12.130423    0.063606172      15.022314    0.079985594
            4.8      9.8194542    0.054969927      8.7981612     0.05081842      11.046597    0.066413968
              5      9.8194542    0.054969927      8.7981612     0.05081842      11.046597    0.066413968
