#      ptt+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.29948625   0.0014090188      0.2876954   0.0013595843     0.31105303   0.0017816207
             10     0.89239668   0.0033947215     0.85245173   0.0028011098     0.93510957    0.004766955
             20        1.41982   0.0031492377      1.3611366   0.0032177063      1.4768945   0.0038874739
             30      1.8798363   0.0042542327      1.7966349   0.0038719235      1.9655586   0.0056401804
             40      2.2375358   0.0039193609      2.1388953   0.0038098909      2.3369937   0.0049955443
             50      2.4931518   0.0041756282      2.3795008   0.0044991435      2.6076573   0.0052431601
             60      2.6418671   0.0044859258      2.5207599   0.0042105718       2.754357   0.0053625019
             70      2.7133006     0.00445445      2.5878105   0.0048336132      2.8324994   0.0058332388
             80      2.7102391   0.0046649288       2.577787   0.0045485269      2.8352775   0.0061169492
             90      2.6252395    0.004326085      2.4909048   0.0048901708      2.7470563   0.0055481471
            100      2.5195402   0.0050241564       2.389755   0.0044357367      2.6409203   0.0068792082
            110      2.3714831    0.004468267      2.2457489   0.0042261081      2.4841619   0.0057025028
            120      2.2065191   0.0037695821      2.0846946   0.0038747397        2.31507   0.0046434358
            130      2.0355695   0.0035617771      1.9179863   0.0034876544       2.139114   0.0043801829
            140      1.8585994   0.0034731038      1.7512753   0.0036029111      1.9548455   0.0042648748
            150      1.6866358   0.0034239264      1.5815561   0.0032540927      1.7824538   0.0044525227
            160      1.5256915   0.0033179281      1.4316306    0.004354103      1.6145483   0.0039660294
            170      1.3739507     0.00304833      1.2838477    0.003068467      1.4513872   0.0034576052
            180      1.2359044   0.0036477995      1.1514968   0.0031011173      1.3148675   0.0052462218
            190      1.1090575    0.002669015      1.0331496   0.0027475821      1.1779497   0.0031089377
            200     0.99182824    0.002454058     0.91888128   0.0024831468      1.0581153    0.002908327
            210     0.88224873    0.002257472     0.81693194   0.0022023958     0.94314061   0.0027781652
            220     0.78816166   0.0022807021     0.72951711   0.0023619797     0.84108302   0.0025813216
            230     0.70381998   0.0020566098     0.64948638   0.0020477743     0.75319228   0.0024458148
            240     0.62866402   0.0021083203     0.57829354   0.0018143433     0.67366151   0.0022624227
            250     0.56052957   0.0019055602     0.51645415   0.0019944232     0.60079786   0.0021427943
            260     0.50408268   0.0017412035     0.46334407   0.0020185974     0.54170036    0.002038506
            270      0.4500649    0.001623473     0.41378019    0.001713238     0.48443626   0.0021465684
            280     0.40119128   0.0015381373     0.36795456   0.0015437745     0.43119931   0.0017978543
            290     0.36020598   0.0015131795      0.3284745   0.0015342282      0.3894887   0.0016889243
            300     0.32243521     0.00139642     0.29405241   0.0014339585     0.34913631   0.0017373329
            310     0.28563991   0.0012796834     0.25984725   0.0011999498     0.30870298    0.001542402
            320     0.25836267   0.0012558672      0.2353318   0.0014339868     0.28015028   0.0014374115
            330     0.23298608   0.0014088096     0.21071933    0.001157596     0.25232089   0.0013875756
            340     0.20752111   0.0010725763     0.18903072   0.0014897618     0.22523227   0.0013295654
            350     0.18861817   0.0010304383     0.17083363   0.0010126505     0.20475807   0.0012073247
            360     0.16670833  0.00095323259     0.15095171  0.00090024221     0.18121013   0.0011372885
            370     0.15076408  0.00093889863     0.13617765  0.00092475808      0.1644407    0.001079832
            380     0.13541002  0.00084579342     0.12217411  0.00078672519     0.14752756   0.0010236827
            390     0.12213374  0.00089163076     0.10987979  0.00088063215     0.13329397   0.0010056841
            400     0.11038933  0.00076753875    0.099383886   0.0007139326     0.12050781  0.00091851491
            410     0.10102793   0.0008621558    0.091077696  0.00085730846     0.10991433  0.00092898028
            420    0.089591368  0.00070705908    0.080603407  0.00065459627    0.097701964  0.00085687238
            430    0.082699188  0.00066428332    0.074227989  0.00061190958     0.09008223  0.00079320863
            440    0.074808081  0.00066142567    0.067486304  0.00066051934    0.081079602  0.00078576471
            450    0.068024415  0.00077484362    0.061333822  0.00089425397    0.073749163  0.00071905686
            460    0.061106507  0.00059527113    0.055063667  0.00062990782    0.066550914  0.00068394136
            470    0.055573787  0.00058337324    0.050006245  0.00065517551     0.06063252  0.00064916143
            480    0.049796155   0.0006258742     0.04498581  0.00071588731    0.053798432  0.00062052095
            490    0.044187059  0.00049866915    0.039725901  0.00046955879    0.047969167  0.00058758568
            500    0.041412384  0.00047741058    0.036967229  0.00049691339     0.04497465  0.00056169278
            510    0.037605461  0.00046954558    0.033653741  0.00046730795    0.040988348  0.00054758906
