#        pttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.20933831   0.0019248751      0.1934944   0.0016966888     0.22836732   0.0027300199
             10     0.59708615    0.003131498     0.55205563   0.0025932474     0.64909199   0.0044091217
             20     0.95734254   0.0028453589     0.88890365   0.0026297198      1.0353804   0.0037077026
             30      1.2817101   0.0033798229      1.1953398   0.0032127402       1.378499   0.0044517029
             40      1.5654954   0.0042213508      1.4590341   0.0036518672      1.6815723   0.0058822555
             50      1.7966215    0.004859905      1.6783303   0.0039486871      1.9278476   0.0069921474
             60      1.9876473   0.0037953936      1.8590233   0.0036137933       2.123954   0.0048237611
             70      2.1273438   0.0038799067      1.9933372   0.0039100744      2.2619872   0.0045363181
             80      2.2199649    0.003861448      2.0818812   0.0037462013      2.3617357   0.0048481038
             90      2.2695068   0.0045681131       2.127151   0.0050156899      2.4099502    0.006118527
            100      2.2764578   0.0039003734      2.1400245    0.004099514      2.4110109   0.0045861757
            110      2.2411271    0.003745068      2.1081347   0.0037351549      2.3713489   0.0045486469
            120      2.1870362    0.003735446       2.058545   0.0037302877       2.315132   0.0045781387
            130      2.1026265   0.0037316236      1.9799763   0.0036356177      2.2176163   0.0044762831
            140      2.0046165    0.003942805       1.884699   0.0035923534      2.1131654   0.0042989773
            150      1.9016124   0.0036089848      1.7921204   0.0039737104      2.0032869   0.0046775332
            160      1.7742043   0.0033512777      1.6761437    0.003518816      1.8636167   0.0040120245
            170      1.6480869    0.003181008      1.5531422   0.0031194879      1.7340604   0.0038620897
            180      1.5237584   0.0030813885      1.4397905   0.0033178246      1.5995379   0.0037433368
            190      1.4080562   0.0034168821       1.327423   0.0030882758      1.4788893   0.0045473212
            200      1.2815374   0.0027546019      1.2089969    0.002666863      1.3415263    0.003427807
            210      1.1763507   0.0026480952      1.1112052   0.0029111276      1.2320371   0.0034378055
            220      1.0715063   0.0025938822      1.0132345   0.0027129669      1.1165514   0.0031041708
            230     0.97366439   0.0025316536      0.9201249   0.0023692431       1.015156   0.0029534559
            240     0.88275061    0.002473696     0.83849324   0.0041835447     0.92064942   0.0029121745
            250     0.79830699   0.0023190415     0.75666064   0.0028492844     0.83076372   0.0026830111
            260     0.71302713   0.0021257448     0.67604046   0.0021017651      0.7416027   0.0025302213
            270      0.6410494   0.0019945667     0.60693861   0.0019464755     0.66466649   0.0024624437
            280      0.5797252   0.0018865587      0.5503751   0.0018784257     0.59957182   0.0022678491
            290     0.52315037   0.0018077111     0.49551224   0.0018722121     0.54290978   0.0021677326
            300     0.46627026   0.0016775655     0.44232058   0.0016550372     0.48234351   0.0020465205
            310      0.4216722   0.0015775103     0.39844351   0.0015169111     0.43861999   0.0019268876
            320     0.37896118   0.0015038747     0.35946029   0.0014692192     0.39184886   0.0018304363
            330     0.33706099   0.0014173425     0.31988593   0.0013933055     0.34916143   0.0017403033
            340     0.30292939   0.0013937989     0.28750652   0.0013743615     0.31253915   0.0015565737
            350     0.27205649   0.0012993912     0.25946508   0.0014214898     0.28011053   0.0014637807
            360     0.24479589   0.0012764373     0.23274004   0.0013062381     0.25104244   0.0013853652
            370     0.22153253    0.001167546     0.21060588   0.0011307266     0.22814467   0.0013470957
            380      0.1958748   0.0011069459     0.18656749   0.0011396879     0.20112664   0.0012428571
            390     0.17922158   0.0010763224     0.17057086   0.0010852318      0.1843748   0.0012038588
            400     0.15955426  0.00098966774      0.1517727  0.00093535918     0.16444472   0.0011935441
            410     0.14277025    0.000954092     0.13646863   0.0010078106     0.14592077   0.0010551283
            420      0.1296857   0.0010217289     0.12394712   0.0011287842      0.1327296   0.0010333743
            430     0.11519551  0.00086740653     0.10968776  0.00088304091      0.1179315  0.00096849027
            440     0.10558834  0.00082914817     0.10121625  0.00087535901     0.10757032  0.00090732471
            450    0.093197511  0.00077729779    0.089720953  0.00081124237    0.094508027  0.00085466083
            460    0.084545319   0.0007092103    0.080822807  0.00067866942    0.087076542    0.001293528
            470    0.076323102  0.00076108592    0.073380889  0.00089368052     0.07732653  0.00077020873
            480    0.068854508  0.00066368414    0.065695682  0.00070645432    0.070849417  0.00072697763
            490    0.063513901  0.00071665887    0.060660409  0.00065119974    0.064892847  0.00081539057
            500    0.056623332  0.00069546854    0.053914627  0.00060388694    0.057325925  0.00067077035
            510    0.051069157  0.00055485145     0.04902381  0.00054971922    0.051939644    0.000631132
            520    0.045558775  0.00053606343    0.043889716  0.00056588152    0.045988812  0.00060044176
            530    0.041482254   0.0005081573    0.039585148  0.00047974355    0.042084967  0.00060123054
            540    0.036871067  0.00047784584    0.035484286  0.00050659671    0.037359356  0.00053675594
            550    0.033553943  0.00046167999    0.031971164  0.00045176245    0.034134321  0.00051180506
            560    0.031318894  0.00043400647    0.029855635  0.00040141301    0.031955655  0.00049807469
            570    0.028212445  0.00040969008    0.027395847  0.00042991653    0.028493799  0.00047450633
            580    0.025278304  0.00038843797    0.024216457  0.00036836476    0.025686205  0.00044298853
            590      0.0239109   0.0003726641     0.02280058  0.00035074669    0.024475849  0.00042669515
            600    0.021303223  0.00035956278    0.020471353  0.00035917647    0.021630723  0.00040871948
            610    0.019141767  0.00035245248     0.01864661  0.00034377698     0.01950437  0.00050088331
