#      ptt+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      0.3101749   0.0014840019     0.29483528   0.0014172924     0.32794341   0.0018645069
             10     0.92120166   0.0032583488      0.8728468   0.0030121648     0.98071186     0.00439111
             20      1.4688041   0.0033157288      1.3940077   0.0033400397      1.5540215   0.0040701029
             30        1.94401   0.0046666588      1.8394996   0.0041230146      2.0670124    0.006266704
             40      2.3162737   0.0041567697      2.1914424    0.003965712      2.4612811   0.0053136416
             50      2.5776196   0.0051581632      2.4360003   0.0050533844      2.7412895   0.0067067273
             60      2.7355242   0.0049365655      2.5832361   0.0044799257      2.9013814   0.0059584782
             70       2.813612   0.0048348615      2.6553688   0.0052099675      2.9907313    0.006467793
             80      2.8093323   0.0051265912      2.6442571   0.0048374011      2.9909607   0.0067713972
             90      2.7263694   0.0046748119      2.5585861   0.0051544117      2.9054496   0.0060419623
            100      2.6170605   0.0066808417      2.4551604    0.005333396      2.7943763   0.0097988454
            110      2.4656622   0.0056549337      2.3084022   0.0050671954      2.6334138   0.0069308947
            120      2.2983758   0.0047707523      2.1462546   0.0044135726      2.4589219   0.0064581939
            130      2.1232088   0.0046624863      1.9772164   0.0040680264      2.2756687   0.0065066922
            140      1.9457223   0.0038082203       1.809735   0.0038443445      2.0911119   0.0047131857
            150      1.7706988   0.0037600174       1.638029   0.0035276243      1.9125446   0.0045557342
            160      1.6006563   0.0041992944      1.4821943   0.0047810297      1.7315158   0.0055700101
            170      1.4466715   0.0035886127      1.3326049   0.0034370815      1.5649034   0.0041985741
            180      1.2997008   0.0058409818      1.1944133   0.0044849156      1.4168326   0.0089189214
            190      1.1722323   0.0031860543      1.0756151   0.0030838432       1.276871   0.0038689939
            200       1.054763   0.0044694687     0.95410121   0.0053369364      1.1542891   0.0047384166
            210     0.93812973   0.0026666506     0.85450699   0.0024845453      1.0298196   0.0033601552
            220     0.83715147   0.0036579279     0.76244819   0.0031851243     0.91787998   0.0048831617
            230     0.75178035   0.0023497001     0.68172001   0.0022537323     0.82662583   0.0031318713
            240     0.67418938   0.0025640859      0.6087045   0.0020229958      0.7439714   0.0026874988
            250     0.60247098   0.0022437367     0.54471458   0.0022206891     0.66592409    0.002637892
            260     0.54198129   0.0022240782      0.4885778   0.0022969864     0.60077756   0.0026560978
            270     0.48445232   0.0029912851     0.43710308   0.0024797651      0.5371689    0.004341777
            280     0.43276038   0.0027168522     0.38926952   0.0022183078     0.47964509   0.0040621216
            290     0.38993786   0.0019051497     0.34842895   0.0017944888     0.43580568   0.0022250499
            300     0.34984841   0.0016755835     0.31283004   0.0015987132     0.39140506   0.0020013433
            310     0.31090935   0.0018593329     0.27677239   0.0015280601     0.34759935    0.002517296
            320      0.2806437   0.0018328014     0.25016572   0.0018368446     0.31415911   0.0022253586
            330     0.25422599   0.0022453365     0.22482062   0.0017244522     0.28548389   0.0028489372
            340      0.2272978   0.0014221903     0.20246726   0.0017187365     0.25574114   0.0018729167
            350     0.20643631   0.0018757023     0.18262611   0.0015309245      0.2324761   0.0024723412
            360     0.18009044   0.0040312376     0.15979999   0.0029336649     0.20253221   0.0055768044
            370     0.16399931   0.0027101635     0.14500193   0.0020276655     0.18520797   0.0039355111
            380     0.15046095   0.0010337279     0.13234434  0.00092884669     0.17068967   0.0012752923
            390     0.13570199   0.0011320567     0.11898441    0.001047803     0.15434906   0.0013992727
            400      0.1195429   0.0021821724     0.10535203   0.0016411593     0.13524569   0.0029778222
            410     0.11305059   0.0010581852     0.09902634  0.00098692944     0.12814788   0.0012368085
            420     0.10016359  0.00090762733    0.087686372  0.00077688241     0.11338033   0.0011334408
            430    0.092839162  0.00088232773    0.081007564  0.00074788915     0.10548462    0.001129508
            440    0.083788817  0.00077649284    0.073591149  0.00071829752    0.094911802  0.00099696974
            450    0.077457197   0.0012909958     0.06764739   0.0012525564    0.088141905    0.001379416
            460    0.068943395  0.00093195054    0.060407295  0.00088996087    0.078555989     0.00119194
            470    0.063184625  0.00076638771     0.05514641  0.00075754686    0.072383856  0.00094704266
            480    0.056315862   0.0012043326    0.049431378   0.0011009475    0.063883549   0.0014133594
            490    0.050516381  0.00073535823    0.044086103  0.00062546322    0.057840358  0.00099327629
            500     0.04717693  0.00064424284    0.041458651  0.00071330368    0.053954506  0.00080460073
            510    0.044212072   0.0014605628    0.038070837   0.0010935252    0.051430962   0.0022026584
            520    0.039945249  0.00064525834    0.034639957  0.00058504647    0.045544643   0.0007444187
            530    0.036697039  0.00092586131    0.032018581   0.0008554035    0.042012617   0.0010879854
            540    0.030432233    0.002451405    0.026809107   0.0017916699    0.034299164   0.0033226254
            550    0.031078669  0.00095108094    0.025439179    0.001092038     0.03462792   0.0012916125
            560    0.027188856  0.00066005335    0.023536025  0.00054741047     0.03137511  0.00090391849
            570    0.024739391   0.0004678762    0.021382114  0.00038388549    0.028699435  0.00059843167
            580    0.022643497   0.0005186094    0.019706908   0.0004944863    0.025732499  0.00057251602
            590    0.021088011  0.00063970515    0.018247688  0.00052916684    0.024423893  0.00092088087
            600    0.020183062  0.00055240822     0.01734312  0.00047047444     0.02331136  0.00072214376
            610    0.017724447  0.00046870519    0.015196615  0.00038667204    0.020577355   0.0006154941
            620    0.016085213  0.00034632662    0.013947163  0.00031358501    0.018362172   0.0004240288
            630    0.014847915  0.00033839506     0.01268913  0.00027679589    0.017050196  0.00039798896
            640    0.013407552  0.00032629373    0.011511736  0.00026715122    0.014856082  0.00037440378
            650    0.012544823  0.00030499083    0.010765398  0.00025773611    0.014406303  0.00039066494
            660    0.011572075  0.00029522226   0.0099610966  0.00024806949    0.013317034  0.00038566567
            670    0.011893528   0.0010497021    0.010282647  0.00099790947    0.013692992   0.0011172403
            680   0.0091207849  0.00025381952   0.0078837371  0.00021502021    0.010478486  0.00032686294
            690   0.0090762644  0.00027930694   0.0078319114  0.00023358065    0.010404486  0.00036298535
            700   0.0080238046  0.00024050107   0.0069775546  0.00021466653   0.0090965588  0.00033831446
            710   0.0076319927  0.00026192812   0.0066240626  0.00025572371   0.0085902818  0.00039007309
            720   0.0069726552  0.00027351018   0.0059663837  0.00023154865   0.0081638696  0.00037313457
            730   0.0063730573  0.00026697355   0.0053647156  0.00019308532   0.0071173032  0.00031186483
            740   0.0058969943  0.00021321206   0.0050640283  0.00018063489   0.0067834369   0.0002741849
            750   0.0052644973    0.000258562   0.0046327892  0.00022279366   0.0061279456  0.00030665764
            760   0.0055558316  0.00036727373   0.0046259063  0.00031068834   0.0067105227   0.0005744717
            770   0.0045198439  0.00019928483   0.0038887594  0.00016440179   0.0051514389  0.00026718465
            780   0.0046238774  0.00022048381   0.0037194899  0.00025559691   0.0053148953  0.00028602123
            790   0.0038880589  0.00018401926   0.0034227038  0.00015562182    0.006137125   0.0016933813
            800   0.0038880589  0.00018401926   0.0034227038  0.00015562182    0.006137125   0.0016933813
