#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.9999317    0.038996548      3.6652636    0.035174769      4.3604901    0.052766805
           -3.8      5.2467212    0.045480203      4.8105206    0.041359569       5.715195    0.061054233
           -3.6      6.8460425    0.056278797       6.283289    0.048487144      7.4289197    0.083357926
           -3.4      8.8972821    0.064818167       8.184197      0.0587249       9.620309    0.086806835
           -3.2      11.289226     0.14234788      10.431892     0.11044194      12.194326     0.19461675
             -3      14.502712     0.14059883      13.410565     0.09953453      15.836703     0.35159086
           -2.8      18.849703     0.09151974      17.436483    0.083115473      20.280269     0.13959429
           -2.6      23.802782     0.10290551      22.058407    0.088645542      25.653635     0.13474601
           -2.4      29.996755     0.10943274      27.848031     0.10002063      32.132552      0.1518834
           -2.2      37.209253     0.14042469      34.588486     0.13024686      39.672536     0.22276193
             -2      46.360823     0.16944541      43.176978     0.14464798      49.461168     0.24194752
           -1.8      57.066154      0.1708565      53.171179     0.14444246      60.992507     0.24786899
           -1.6      69.932709     0.17538201      65.367032     0.16434355      74.289296     0.23338771
           -1.4      83.631045     0.23028861      78.233442       0.204908      89.043038      0.2980106
           -1.2      99.502691     0.30369943      92.999441     0.27459472      105.49274     0.43515012
             -1      115.29187     0.30331364      107.95852     0.24076881      122.45247     0.46913745
           -0.8      131.41889     0.28529936      123.13596     0.24245204      139.41819     0.35203493
           -0.6      145.19223     0.40381599      136.26218     0.32175442      153.80755     0.57068541
           -0.4      156.79361     0.28653833      147.17382     0.24194871        166.199     0.38446354
           -0.2      162.83446     0.27088522      152.83549     0.26003666      172.61885      0.3822484
              0      163.09335     0.28695379      153.30955     0.29399532      172.44915     0.38725957
            0.2       156.7015     0.33854276      147.21631     0.27044304      166.43535     0.47873403
            0.4      145.52897     0.34162562      136.75369     0.36673369      154.43913     0.38776634
            0.6      131.75203     0.25287719      123.45954     0.28162611      139.86189      0.3659958
            0.8      115.54363     0.29751966      108.29877     0.24646143      122.52936     0.44261948
              1      99.320175     0.26967224       92.53097     0.39170253      105.52434     0.39902387
            1.2      83.743265     0.29453312      78.399325     0.22881953       88.97115     0.45865276
            1.4      69.413753     0.18361403      64.820825     0.16346276      73.983589     0.25314825
            1.6      57.218364     0.19909439      53.305602     0.16431243      60.813416     0.24993913
            1.8      46.364422     0.27083704      43.119937      0.2107464      49.470932     0.38691223
              2      37.340254     0.15748024      34.878682     0.21269632      40.051305     0.22677956
            2.2      29.859254     0.14528549      27.658737     0.11967148      32.089162     0.21237667
            2.4      23.697949     0.11629076      21.890715    0.097001331       25.64669     0.17868396
            2.6      18.726781    0.091164264      17.310526     0.08342857      20.163191     0.13035986
            2.8      14.833178     0.08509017      13.658018    0.077183042      16.060105     0.11610351
              3      11.486226     0.07834257      10.542878    0.067233441      12.520959        0.11595
            3.2      8.8706003    0.065749435      8.1618103    0.056770414      9.5897958    0.089578277
            3.4      6.7208245    0.050870452      6.1759884    0.045208725      7.2599498    0.070241958
            3.6      5.1873894     0.05204583      4.7671694    0.049385397      5.6761774    0.083440592
            3.8      3.9382168    0.063287041      3.6141271    0.047232434      4.2990648     0.10467214
              4      3.9382168    0.063287041      3.6141271    0.047232434      4.2990648     0.10467214
