#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      4.1804589    0.094375963      3.9376261    0.082621386      4.5088473     0.13348916
           -3.8      5.9686767    0.055895965      5.5123027      0.1571728      6.4078385     0.07466788
           -3.6      8.6647272    0.071421659      8.2343431    0.076638903      9.2794027      0.0928098
           -3.4      12.154664     0.12301999      11.393224    0.069652237      12.876641      0.1015366
           -3.2      16.994409     0.16635862       16.01627     0.09428613      18.011847     0.13924411
             -3      22.978767     0.14263455      21.686834     0.11761199      24.334735     0.21910249
           -2.8      29.898676     0.24782951      28.383631     0.19347632      31.429942     0.40027641
           -2.6      38.802089      0.1314321      36.623458     0.12568309      41.139379     0.18967845
           -2.4      48.668178     0.13950646      45.695586     0.16564996      51.557322      0.1984509
           -2.2      59.431853     0.16167009      55.928884     0.15637362      62.946702     0.22429833
             -2      69.864422     0.17467105       65.61563     0.16083394      74.074498     0.25172353
           -1.8      80.301077     0.17919476      75.180256     0.16097261      85.336177     0.25129598
           -1.6      89.334262     0.20778859      83.658176     0.18584183      94.757168     0.29741041
           -1.4      97.276107     0.22884841      90.887426     0.19276265      103.42646      0.3151569
           -1.2      103.10905     0.27554956      96.300577       0.219488      109.74712     0.40331464
             -1      107.31315     0.22314284      100.03211     0.19918688      114.54725     0.31286055
           -0.8      109.01666      0.3291464      101.57614     0.25907701      116.37428     0.47251096
           -0.6       109.1468     0.25660131      101.55967     0.21044146      116.53876     0.38175952
           -0.4      109.30242     0.30512827      101.79533     0.24240522      116.60891     0.45514592
           -0.2      109.68589     0.21051734      101.97079     0.19329845      117.32022     0.28688952
              0      109.73186     0.29692115      101.96599     0.23457913      117.44705     0.46138622
            0.2      109.31338     0.32611858      101.87949     0.32743308      116.56072     0.35505644
            0.4      109.77315     0.21347424      102.14032     0.19004049       117.2378     0.29498882
            0.6      108.99721     0.21080148      101.41244     0.18643732      116.52776     0.29676704
            0.8      106.77369     0.26474468      99.543902     0.22611348      113.83582     0.36893763
              1      102.78422     0.27798426      96.046976     0.22497501      109.18256     0.42469233
            1.2      97.111049     0.21969028      90.850023     0.20147688      103.18761     0.30241293
            1.4      89.833539      0.2185049      84.128908     0.18874688      95.180012     0.30652961
            1.6      79.563836     0.36122775      74.706955     0.27061264      84.260536     0.53017566
            1.8      69.834645     0.20902816      65.242319     0.36563611      74.095633     0.32536454
              2      59.193115     0.15905866      55.892748     0.27905248      62.842178       0.229306
            2.2      48.963657     0.15307153      46.047255     0.14707868      51.902397     0.21854495
            2.4      38.916277      0.1607552      36.555303      0.1409198      41.051979     0.21845077
            2.6      29.928299     0.11446748      28.244537    0.099469518      31.597286      0.1616122
            2.8      22.934908    0.099154135      21.593918     0.10875917      24.303376      0.1457238
              3      16.910447     0.11127719      15.948414      0.1001661       17.93765     0.17465354
            3.2      11.995095     0.15952081      11.242746     0.14236278      12.711401     0.18593521
            3.4      8.6670335     0.06258335      8.1284399    0.065202587       9.188549    0.092530418
            3.6      6.1090642    0.093211593      5.6978377    0.079559373      6.3982072     0.15156946
            3.8      4.2757642    0.072584335       4.086244    0.063039404      4.6708541     0.31171401
              4      4.2757642    0.072584335       4.086244    0.063039404      4.6708541     0.31171401
