#    masst+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             20              0              0              0              0              0              0
             40              0              0              0              0              0              0
             60              0              0              0              0              0              0
             80              0              0              0              0              0              0
            100              0              0              0              0              0              0
            120              0              0              0              0              0              0
            140              0              0              0              0              0              0
            160              0              0              0              0              0              0
            180              0              0              0              0              0              0
            200              0              0              0              0              0              0
            220              0              0              0              0              0              0
            240              0              0              0              0              0              0
            260              0              0              0              0              0              0
            280              0              0              0              0              0              0
            300              0              0              0              0              0              0
            320              0              0              0              0              0              0
            340     0.85748328   0.0034123922     0.76719626   0.0025770341     0.97481371   0.0050736718
            360       1.826517   0.0028914172      1.6942778   0.0025004642      1.9854185   0.0040473839
            380      2.0261807   0.0037226721      1.8857208    0.002952114      2.1820672    0.005424045
            400      1.9887147   0.0036487992      1.8603801    0.003732282      2.1295623   0.0050887564
            420       1.873603   0.0029191319      1.7553314   0.0026646075      1.9973079   0.0043039762
            440      1.7156847   0.0027863469      1.6097903   0.0024703306       1.820273    0.003859435
            460      1.5545207   0.0027758254       1.460947   0.0027585068      1.6455468   0.0038594511
            480      1.3860457   0.0027294989       1.300203   0.0039531867      1.4624275   0.0039579021
            500      1.2361812    0.003046238      1.1619272   0.0032920791      1.3038163   0.0040848144
            520      1.0913961   0.0032165221      1.0302855    0.002599265      1.1435367   0.0045322395
            540     0.96933187   0.0029893956       0.913604   0.0023933874       1.020826   0.0050004292
            560     0.85961818   0.0025618429     0.81104065   0.0020561712     0.89870275   0.0040213658
            580     0.76376157   0.0021497795     0.72089263   0.0020160465     0.79786266   0.0029075131
            600     0.67890459   0.0023423024     0.63939678   0.0018923714     0.71104793   0.0035573931
            620     0.60178033   0.0016306531     0.56696401    0.001654066     0.63175945   0.0023217472
            640     0.52759868   0.0024340764      0.4983425   0.0018325659     0.55015485   0.0037656374
            660     0.47239299   0.0019573266      0.4463154   0.0013439581     0.49618916   0.0022113314
            680     0.42166304   0.0024019464     0.39571791   0.0025687711      0.4456764   0.0019652003
            700     0.37520255   0.0018072747     0.35354276    0.001508958     0.39202888   0.0028302797
            720     0.33519708   0.0011762264      0.3149598   0.0010649942     0.35097128   0.0016527339
            740     0.29859684   0.0012123478     0.28056103   0.0010359679     0.31252942   0.0017391016
            760     0.26699421   0.0010698284     0.25022291   0.0009281885     0.28130167   0.0015255505
            780      0.2381986   0.0017623704      0.2238559   0.0013872434      0.2489102   0.0026304719
            800      0.2177813   0.0011524129     0.20488395     0.00195834     0.22826799   0.0015129741
            820     0.19330003   0.0010636888     0.18064252  0.00092305969     0.20400686   0.0013886427
            840     0.17615861  0.00091453918     0.16453596  0.00079580058     0.18579134    0.001283572
            860     0.15804942   0.0015611539     0.14805547   0.0012680476     0.16695633   0.0021015155
            880     0.14437179  0.00093459968       0.134726  0.00077521672     0.15191499   0.0014146291
            900     0.12877845   0.0010490377     0.11980827  0.00078811871     0.13682279   0.0016210853
            920     0.11806974  0.00073044394     0.10975452  0.00068322654     0.12518044  0.00097232931
            940     0.10726582   0.0008563834    0.099801357   0.0007515877     0.11369894   0.0011209915
            960    0.097260614  0.00069486211    0.090208352  0.00061352991     0.10328908  0.00096795075
            980    0.088582174  0.00074582622     0.08175152  0.00071078231     0.09471902  0.00095574628
           1000    0.088582174  0.00074582622     0.08175152  0.00071078231     0.09471902  0.00095574628
