#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4 -0.00071387885   0.0011013171   -0.002153498   0.0020199701 -0.00028237096   0.0008687055
           -3.8    0.011312504   0.0038606065   0.0079974349   0.0071305374    0.011622981   0.0031401977
           -3.6    0.077552753    0.036850394    0.060604619    0.048797999     0.11660184    0.018903299
           -3.4     0.51370498    0.034485561     0.47525529     0.05352412     0.51759668    0.036322184
           -3.2      1.5352708    0.034233173      1.4242378    0.038091202      1.6329751    0.048146572
             -3      3.6872947     0.11613193      3.5135748     0.16785463      3.9964902     0.14544444
           -2.8      7.1943012     0.14123764      6.5725887     0.32405295      7.9605853     0.10294812
           -2.6      13.025578     0.14877851      12.218106     0.13502235      13.812965     0.23582922
           -2.4      21.660579     0.11312902      20.129668       0.109887      23.441637     0.17049791
           -2.2      32.040812     0.18858596       29.97924      0.1524856      34.328168     0.24801049
             -2      45.944442     0.17468232      42.872823     0.14562664      49.132719     0.24622672
           -1.8      61.247392     0.15797509      57.196822     0.17550863      65.325388     0.23028544
           -1.6      77.959456     0.21865415      72.935875     0.18667358      83.016416     0.31772682
           -1.4      95.924094      0.2462658      89.831664     0.21262862      101.98572     0.35599707
           -1.2       113.2255     0.24497721      106.05866     0.20865754      120.12765     0.35325527
             -1      130.04748     0.33473453      121.61039     0.25908291      138.33621     0.52191351
           -0.8      145.22356      0.2870892      135.84484     0.24774485      154.30632      0.3952578
           -0.6      157.21245     0.26541612      147.09599     0.23369168      166.89138     0.36976498
           -0.4      165.36351     0.26257552      154.70416     0.23459124      175.54764     0.36962217
           -0.2      169.28063     0.32647818      158.34521     0.26624016      179.76263     0.49775224
              0       169.7685     0.29091305      158.77985     0.25287676      180.41657     0.40604248
            0.2      165.17439     0.30214793       154.3242     0.25274082      175.73837      0.4486883
            0.4      156.64121     0.34665318      146.42725     0.27411183      166.64735      0.5208562
            0.6      144.92901     0.33769664      135.49462     0.33119179      154.24736     0.38477585
            0.8      130.10522     0.35075606      121.80492     0.28234966      138.46837     0.55363288
              1      113.66855     0.24136828      106.28343     0.20633639      120.84913      0.3713979
            1.2        95.4423     0.30009392       89.38981     0.24559254       101.3976     0.42389007
            1.4      78.249266     0.25078898        73.2298     0.20278789      83.256054      0.3819866
            1.6      61.076324     0.22026788      57.167872     0.20189241      65.043916     0.29142443
            1.8      45.582978     0.15264117      42.601582     0.22610086      48.692047      0.2279194
              2      32.140495     0.13262047      30.010794     0.12174725      34.320375     0.18309331
            2.2      21.193407     0.11067575      19.718861     0.11182364      22.603588     0.16264938
            2.4      13.054273     0.19283543      12.310985     0.19160651      14.186033     0.23636836
            2.6      7.1197901     0.13349151      6.6934124     0.19168532      7.6839659     0.11926571
            2.8      3.5634814     0.05171002      2.9619533     0.31096618      3.8928031    0.073212394
              3       1.610739    0.085971504      1.1860059     0.16677129      1.7368186     0.14366033
            3.2     0.61912244     0.11611911      0.3755641     0.04267453      0.6665078     0.18811576
            3.4     0.17508971    0.063663846     0.12417691    0.014899237     0.25246103     0.16607809
            3.6    0.011968067    0.003870876    0.011405445   0.0047969615    0.023368806    0.012178909
            3.8   0.0029131054   0.0024206352  -0.0012126603   0.0029650168   0.0029131054   0.0024206352
              4   0.0029131054   0.0024206352  -0.0012126603   0.0029650168   0.0029131054   0.0024206352
