# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.7850223    0.035671425      3.4617611    0.034571415      4.1539283    0.042209626
           -3.8      5.0695384    0.042034184      4.6296705      0.0400993      5.5812993    0.049875322
           -3.6      6.6504953    0.051155106      6.1214884    0.052712975      7.2211612    0.058093463
           -3.4       8.617541    0.054999625      7.9264835     0.05480741      9.4141403    0.064548464
           -3.2       11.08872    0.062321892      10.187496    0.059856632      12.045539    0.074092818
             -3      14.306816     0.07530577      13.172936    0.072385364      15.542342    0.089028474
           -2.8      18.436494    0.084457418      17.024555    0.087693621      19.968216    0.096143781
           -2.6      23.178375    0.086831688       21.39137    0.081946979      25.133136     0.10575534
           -2.4      29.355273    0.098825269      27.115025     0.10761863       31.73225     0.11950911
           -2.2      36.847957     0.12033211      34.147796     0.11383813      39.724828     0.14745777
             -2       45.71753     0.14345895      42.492957     0.12886565      49.206516     0.18697795
           -1.8      56.196736     0.14462094      52.350975      0.1400242      60.355107     0.18721602
           -1.6      68.888872      0.1726065      64.203308     0.16688898      73.933377     0.21643212
           -1.4      82.587948     0.17674561      77.052018     0.18391563      88.268439     0.21151169
           -1.2      97.960111     0.21898769      91.425244     0.20704726      104.78171     0.29259687
             -1      113.90756     0.21052262      106.64303     0.21422673      121.46229     0.25336472
           -0.8       129.9246      0.2527118      121.54705     0.23289106      138.61845     0.34303103
           -0.6       143.9648     0.23537247       134.7823     0.22347047      153.25614     0.29017555
           -0.4      155.09331     0.23664957      145.36785     0.24184352      165.21955     0.32484009
           -0.2      161.05942      0.2484832      150.71704     0.23084856      171.55583     0.31928834
              0      161.36073     0.24110396      151.13638     0.27800408      171.92011     0.30443694
            0.2      155.00774     0.24599707      145.21498     0.23201677      164.93819     0.31043688
            0.4      144.06058     0.23179053      135.08862      0.2529322      153.30153     0.28514858
            0.6      129.94365     0.21987441      121.37429     0.24145544      138.55401     0.27437047
            0.8      114.06341     0.23545878      106.45904     0.21196273      121.87159     0.30753367
              1      97.604267     0.22897781       91.08692     0.20038132      104.31908     0.30715618
            1.2      83.085152     0.22233231      77.458999     0.19490707      88.711273     0.27480974
            1.4       68.22295     0.15052921      63.672019     0.18488398      73.085574     0.18763757
            1.6       56.58498     0.14994473      52.771266     0.14709684      60.706545     0.18121747
            1.8       45.93388     0.21458072      42.605024     0.16125165      49.542794     0.33048219
              2      36.953874     0.12603066      34.255809     0.12471068      39.882759     0.15128618
            2.2      29.339653     0.10243042       27.17543      0.1030483      31.648777      0.1255452
            2.4      23.266629    0.089459914       21.49764     0.08383582      25.199974     0.11390917
            2.6      18.441445    0.093110925      16.991717    0.098844335      20.115438     0.12097781
            2.8      14.436224    0.074540748      13.266647    0.068976552      15.780301    0.092128979
              3      11.248661    0.070874628      10.323655    0.069331358      12.308733    0.084488171
            3.2      8.6166516    0.052431418      7.9002795    0.051172126       9.426892    0.063428192
            3.4      6.6949366    0.046844658      6.1194035    0.043766447      7.3559413    0.056644689
            3.6      5.0259086    0.040037132      4.5815181    0.036942684      5.5309765    0.051988653
            3.8      3.8867237    0.037877025      3.5169586    0.034601398      4.2956705     0.04840098
              4      3.8867237    0.037877025      3.5169586    0.034601398      4.2956705     0.04840098
