#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      6.8653338    0.049159885      6.1731275    0.046642243      7.6896174    0.057275443
           -3.8      8.6607863    0.054480024       7.780911    0.056102081      9.6699358    0.063895473
           -3.6      10.539809     0.05989309      9.5576833    0.058089499      11.709378    0.085875063
           -3.4      13.194141     0.06431297      11.973837    0.059861188      14.568836    0.077336392
           -3.2      16.313102    0.074097668      14.878532    0.070591114      17.866418    0.088245984
             -3      19.984256    0.078856155      18.261346    0.073113993      21.890215    0.095843059
           -2.8      24.722534    0.087323315      22.648289    0.083392112      26.951986     0.10554286
           -2.6      30.119003    0.097314401       27.72659    0.094152708      32.643086     0.11772931
           -2.4      37.015121     0.11620879      34.155075     0.11529053      40.049985     0.14238385
           -2.2      44.467947     0.12465805      41.133402     0.11686034      47.940955     0.15627728
             -2      53.075949     0.13176262      49.259169     0.13092317      57.006922      0.1587747
           -1.8      62.744225     0.14814832      58.471388      0.1536179      67.116019       0.178493
           -1.6      73.620133     0.16066413      68.585567     0.14712118        78.7252     0.20379085
           -1.4      84.559491     0.17147244      79.045439     0.21165647       90.01685     0.20367851
           -1.2      96.682082      0.1964926      90.576398     0.19211877      102.78678     0.22880212
             -1      107.02023     0.19642727      100.47003     0.19268031      113.66472     0.24519087
           -0.8      117.68896     0.20853935      110.57515     0.21169172      125.06473     0.24783147
           -0.6      125.47749     0.22673633      117.88123       0.212009      132.89042     0.26538686
           -0.4      131.85256     0.25919188      124.28426     0.28505759       139.9383     0.34184846
           -0.2      136.50533     0.36300837      127.90184     0.29433407      145.62148     0.53638819
              0      136.12562     0.29551086       127.6422      0.2513674      145.18576     0.41453487
            0.2      131.35554      0.2188657      123.52768     0.21275347      139.50283     0.27965147
            0.4       125.4261     0.21927775      118.09433     0.21852029       132.9297     0.27335866
            0.6      117.35567     0.21111634      110.21249     0.21557892      124.51304     0.25968194
            0.8       106.6077     0.19061124      100.12532     0.18647884      113.19538     0.24449211
              1       96.29675     0.18231502      90.358896     0.18419528      102.42267     0.22567596
            1.2      84.923793     0.18396936      79.521696     0.18138843      90.294036     0.21433951
            1.4      73.511106     0.17467372      68.707589     0.20594961      78.646811     0.21052243
            1.6      62.762995     0.14932769      58.532397     0.16653573      66.999873     0.17501587
            1.8       52.93156     0.13455175      49.084894      0.1377727      56.964758      0.2222736
              2      44.184892      0.1207449      40.888338     0.11181957      47.566489     0.14907799
            2.2      36.785308     0.11214622      33.962354     0.11088719      39.846376     0.13399066
            2.4      30.276054     0.10707608      27.853361     0.10903758      32.851301     0.12124652
            2.6      24.770723    0.091254376      22.760071    0.094435571      26.965413     0.11173337
            2.8      20.097904    0.079699869      18.412921    0.077683718       21.97172    0.097737248
              3       16.30752    0.074445601      14.810109    0.086821845      17.933612     0.08628273
            3.2       13.18307     0.07120978      11.967262    0.059820023      14.461107    0.079453684
            3.4      10.454299    0.056965249      9.4682394    0.053055639      11.627374    0.087368639
            3.6      8.5017671    0.050953191      7.6664918    0.046226814      9.4753744    0.061749658
            3.8       6.744889    0.047798605       6.066424    0.044365274      7.5075941    0.056133553
              4       6.744889    0.047798605       6.066424    0.044365274      7.5075941    0.056133553
