#       ptHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.39512637   0.0017507408     0.37170894   0.0017184102     0.42038542   0.0021079511
             10      1.1687355   0.0044928766      1.0978878   0.0035719104      1.2443761   0.0068219832
             20       1.838218    0.003471641      1.7251088   0.0032874712      1.9554119   0.0043259598
             30      2.4047937   0.0045573162      2.2570708   0.0040739309      2.5579362   0.0060406026
             40      2.8061795   0.0047258565      2.6325998   0.0043377623      2.9890199   0.0063932884
             50      3.0527587   0.0048202479      2.8638117   0.0045598031      3.2492408   0.0061911676
             60       3.155345   0.0048164881      2.9612459   0.0050719323      3.3495546   0.0059303793
             70      3.1626624   0.0046400031      2.9674058   0.0052212387      3.3650427    0.005793545
             80      3.0643227   0.0063050344      2.8715602   0.0053201007      3.2650019    0.008748932
             90      2.8990489   0.0048564348      2.7133288   0.0044001105      3.0862943   0.0058725379
            100      2.6915156   0.0042304598      2.5182316   0.0049681106      2.8676097   0.0051716751
            110       2.455921   0.0042508612      2.2990926   0.0041619833       2.617017   0.0049751049
            120      2.2373235   0.0041889605      2.0878051   0.0040175631      2.3904014   0.0053848943
            130      2.0074658   0.0036980073      1.8743781   0.0037492666      2.1429681   0.0045333717
            140      1.7902813   0.0035987251      1.6730316   0.0045045285      1.9117308   0.0044104755
            150      1.5923457   0.0034772709      1.4859315   0.0036138806       1.702611   0.0042294048
            160      1.4043982   0.0031207562      1.3066371   0.0031412327      1.5070568   0.0037328312
            170      1.2474256   0.0034432421      1.1596627   0.0033030207      1.3400362   0.0043356266
            180      1.0897704   0.0029772641       1.009925   0.0030254667      1.1730547   0.0036681868
            190     0.96202279    0.002771093     0.89297298   0.0026408373      1.0366994   0.0032800431
            200     0.85038771   0.0025649023     0.78673642   0.0027144758     0.92258451   0.0045969039
            210     0.74530245   0.0025253676     0.68902854   0.0023903044     0.80552345   0.0031663709
            220     0.65869799   0.0024235885     0.60867422   0.0023644458     0.71095288   0.0028689903
            230     0.57438855    0.002092964     0.53068509   0.0019551883     0.62207291   0.0026194366
            240     0.50977186   0.0023302718     0.46960158    0.002366264     0.55168375   0.0025674544
            250     0.45187816   0.0019084407     0.41592122   0.0018138401     0.49008739   0.0023982733
            260     0.39739256   0.0018479008     0.36433912   0.0016540688      0.4335337   0.0022610287
            270     0.35233546   0.0017074829     0.32359287   0.0016140588     0.38393226   0.0021288182
            280     0.31518781   0.0016456012     0.28897463   0.0016032864     0.34418639   0.0019936052
            290     0.27746067   0.0015921503     0.25394497   0.0014316333     0.30328572   0.0020316061
            300     0.24503049   0.0013669355     0.22446861   0.0012569797     0.26771792   0.0017795902
            310     0.22191627   0.0016002967     0.20253147   0.0014631346     0.24370583   0.0019958909
            320     0.19205909   0.0011994124     0.17554353   0.0015111383     0.21092625   0.0014602193
            330     0.17275404   0.0012684194     0.15719833   0.0011987927      0.1900187   0.0015607331
            340     0.15442339   0.0012561963     0.14083021   0.0011388666     0.16995583   0.0015044951
            350     0.13830035   0.0010849199     0.12500166  0.00094392326     0.15198383   0.0011995578
            360     0.12576237   0.0012597247     0.11362584   0.0010034264      0.1378992   0.0012265991
            370     0.11202474   0.0011566655     0.10198012   0.0011922039     0.12256756   0.0012192819
            380    0.096978572  0.00082375851    0.087761773  0.00076732366     0.10762537   0.0010019122
            390    0.087851851  0.00097753167    0.079339664  0.00090249063    0.097646447   0.0011958807
            400    0.079797862   0.0010076942    0.073605006   0.0015426292     0.08794642  0.00097892218
            410    0.073024274  0.00080257256    0.066057466  0.00074472384    0.080167476  0.00092370637
            420    0.064244178  0.00069516635     0.05776596  0.00062072029    0.071274831  0.00083858313
            430    0.058115415  0.00066487677     0.05237743  0.00060856284    0.064752321  0.00081521767
            440    0.052393929  0.00074683366    0.047473843  0.00069121733    0.057413744  0.00098129639
            450    0.049179281   0.0010871252    0.044988894   0.0011263435    0.054460387   0.0013477911
            460    0.043409918   0.0007734806    0.039037275   0.0007839272    0.048785689  0.00095094527
            470     0.03913889  0.00061137931    0.035245849   0.0005975955    0.043431916  0.00083527587
            480    0.034527699  0.00057941098    0.030808037  0.00052908102    0.038342463   0.0006548386
            490    0.031349946  0.00060932667    0.027673279   0.0011107929     0.03524441   0.0006786875
            500    0.028041946  0.00045571364    0.025119704  0.00039890115    0.031164455  0.00055243967
            510     0.02576182  0.00045417674    0.023128796  0.00040425639    0.028740857  0.00057168519
            520    0.024201731  0.00045639134    0.021662948  0.00042588934    0.026904029  0.00055330026
            530    0.023209378  0.00096063629    0.020863632  0.00086211386    0.026278281   0.0012643642
            540    0.020215906  0.00043003532    0.018146746   0.0004091153    0.022530829  0.00050357685
            550    0.017757646  0.00036268272    0.015874555  0.00033198856    0.019984746  0.00043290379
            560    0.016685902   0.0006207173     0.01504542   0.0005651208    0.018444775  0.00073814904
