#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0036808028   0.0014127362  0.00076266489   0.0026499346    0.063368396    0.059930588
           -3.8     0.03373061   0.0086844428    0.029264287    0.016967215    0.035929923    0.005275927
           -3.6     0.11557877    0.021070428     0.10277412    0.023994707     0.23315342     0.11974667
           -3.4       0.573142    0.078160286     0.42919471    0.032511305      0.5806798     0.10399272
           -3.2      1.3259611     0.03419611      1.2209512    0.047684985      1.3855456    0.034976464
             -3      3.0815682    0.057088557      2.8302765    0.045526108      3.2412664    0.068614229
           -2.8      6.3042399     0.10379555      5.9783759    0.096767489      6.7602048     0.14955616
           -2.6      11.357538    0.068803548      10.645988    0.096624689      12.102968    0.081794069
           -2.4      18.796822     0.08503823      17.704448      0.1105646      20.085889     0.10923246
           -2.2       28.92646     0.11016513      27.161991     0.12390758      30.806532     0.12445986
             -2      41.879134     0.21707381      39.127365     0.16385245      44.864277     0.32192868
           -1.8      56.785494     0.15678735      53.151086     0.14943578       60.72184     0.20267183
           -1.6       74.17143     0.16472602      69.462463     0.16535412      79.114119     0.19618121
           -1.4      92.264276     0.18073935      86.105369     0.16774544      98.741968      0.2340843
           -1.2      111.99682     0.20421637      104.54005     0.19247247      119.72626     0.25849457
             -1      129.70968      0.2181116      120.87433     0.20384807      138.88956     0.27487617
           -0.8      146.18038     0.22495603      136.13089     0.21290497      156.67308     0.27714561
           -0.6      159.22623     0.24039869      148.32347     0.22836315      170.41174      0.3008531
           -0.4      168.37164     0.23616631       156.6928     0.22306899      180.35182     0.28914812
           -0.2      173.56337     0.25180162      161.62467     0.23576378      185.77478     0.32080186
              0      173.68304     0.25413776      161.76126     0.24822659      185.92419     0.30944968
            0.2      168.45972     0.24787241       156.9229      0.2389302      180.23896      0.3018381
            0.4      159.53752     0.26699075      148.50722     0.23797326      171.06351      0.3511614
            0.6      145.94757      0.2478556      135.97967     0.22764441      156.29394     0.32190747
            0.8      129.65839     0.25885169      121.02093     0.24614816      138.62369     0.33258757
              1       111.1917     0.19955071      103.81512     0.19494435      118.83287     0.25825362
            1.2      92.823162     0.22915467       86.61132     0.19728348      99.475248     0.32305272
            1.4      74.207013     0.16754224      69.397135     0.16388721      79.323699     0.26061425
            1.6       56.84013     0.16162162      53.201722     0.15887078      60.802275     0.20089208
            1.8      41.676109     0.12875695      39.038961     0.13434403      44.495883     0.15126194
              2      28.946482     0.12204729      27.135157      0.1229858      30.972995     0.16705754
            2.2      18.732388    0.092197199      17.761886      0.1618089      20.102367     0.12214586
            2.4        11.2037    0.074601468      10.603408     0.11552325       11.87787    0.080400015
            2.6       6.181893    0.070084328      5.7738134    0.076265413      6.7831594    0.091675945
            2.8      3.1042088    0.057684382      2.8362975     0.14587619      3.2694599    0.074115016
              3      1.2344828    0.042675616       1.152296    0.055741454      1.3658537    0.033368758
            3.2       0.485242    0.031245156     0.45449276    0.031723675     0.53577022    0.040669806
            3.4     0.11283253    0.022346523     0.04586143    0.083577337     0.11500228    0.012993531
            3.6    0.028880273    0.003699849    0.027022933   0.0033868382    0.039709785    0.011728396
            3.8    0.030581783    0.028313286    0.015955094    0.013661858    0.069701854    0.060775665
              4    0.030581783    0.028313286    0.015955094    0.013661858    0.069701854    0.060775665
