#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.835565    0.081440301      19.482372    0.073963969      21.974836      0.1104327
            0.2      58.078184     0.13480962      54.282367      0.1226519      61.360778     0.18507307
            0.4      86.220138      0.1710214      80.647299     0.16235666      90.707102      0.2367632
            0.6      104.78748     0.19558046      98.051403     0.18727641      110.46377     0.27040669
            0.8      115.73951      0.2075614      108.61342     0.24067736      121.78519     0.28994426
              1      122.62804     0.21981236      114.82836      0.2011698      129.25711     0.30597737
            1.2      127.20509       0.225762      119.33467      0.2027804       133.6836     0.30259421
            1.4      132.57298     0.21919842      124.10612     0.24937677      139.86383     0.31586578
            1.6      138.24723     0.23251565      129.70444     0.21369864      145.77494     0.32876153
            1.8      146.89099     0.26968571      138.00624     0.21997272      155.04429     0.32111917
              2      158.79683     0.24414678       149.5021     0.28961295      167.65662     0.33815238
            2.2      175.20057     0.27990612      164.52889     0.24675223      184.81974     0.35897698
            2.4      196.16468     0.31090569      184.64627     0.26335016      207.37603     0.41476258
            2.6      221.88333     0.33415951      208.79007     0.35329281      234.91156     0.56875629
            2.8      249.87944     0.35866663      235.95497     0.35080173      264.33993     0.47347735
              3      245.08701     0.33819903      231.20518     0.31693462      258.57654      0.4723514
            3.2      83.251326     0.19799097        78.1949     0.20661951      88.253012     0.27563402
            3.4      32.604011     0.11123017      30.325367     0.10188101      34.854925     0.15795084
            3.6      14.722689    0.076007645      13.516879    0.071292973      16.021927     0.10377673
            3.8      6.8485956    0.054084641       6.245989    0.050849559      7.5299817    0.072301121
              4      3.3321517    0.048302938       3.031063    0.041354438      3.6407107    0.078665672
            4.2      1.5302502    0.023741142      1.3772289    0.021054532      1.7013618     0.03497104
            4.4     0.73751898     0.01629922     0.66294127    0.015295887     0.82719599    0.023680801
            4.6     0.34159119    0.011412295     0.29960206    0.010116087     0.39455386    0.015892988
            4.8     0.14768241   0.0074292103     0.12796432   0.0064524475     0.17387085    0.010643919
              5     0.14768241   0.0074292103     0.12796432   0.0064524475     0.17387085    0.010643919
