#    masst+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             20              0              0              0              0              0              0
             40              0              0              0              0              0              0
             60              0              0              0              0              0              0
             80              0              0              0              0              0              0
            100              0              0              0              0              0              0
            120              0              0              0              0              0              0
            140              0              0              0              0              0              0
            160              0              0              0              0              0              0
            180              0              0              0              0              0              0
            200              0              0              0              0              0              0
            220              0              0              0              0              0              0
            240              0              0              0              0              0              0
            260              0              0              0              0              0              0
            280              0              0              0              0              0              0
            300              0              0              0              0              0              0
            320              0              0              0              0              0              0
            340     0.84658318    0.003117522     0.75992851   0.0024105591      0.9579264   0.0045523605
            360       1.797092   0.0027018482      1.6745936    0.002392414       1.938907   0.0035646958
            380      1.9972162   0.0028913197      1.8664019   0.0025222768      2.1374794   0.0038282192
            400      1.9586714   0.0030185001      1.8397713   0.0032889102      2.0825952   0.0038983511
            420      1.8421718   0.0025444262      1.7342961    0.002442476      1.9485405   0.0036492041
            440      1.6905301   0.0025698686      1.5928674   0.0023367304      1.7811321   0.0034949862
            460      1.5292381   0.0025426705      1.4442778   0.0026185877       1.605309   0.0035322453
            480      1.3654349   0.0022663941      1.2891699   0.0023779242      1.4301871   0.0031719909
            500       1.216243   0.0022878018      1.1488267   0.0029180482      1.2716631   0.0029150799
            520      1.0758222   0.0020169935       1.019873   0.0019101617      1.1189771   0.0028457076
            540     0.95626451   0.0018349762      0.9049541    0.001729606     0.99964381   0.0037760409
            560     0.84810816    0.001786185      0.8030923   0.0016823524     0.88103461   0.0025123303
            580     0.75347215   0.0018739697     0.71414804   0.0018482833     0.78141851    0.002539568
            600     0.66836675   0.0016539633     0.63258162    0.001546015     0.69388831   0.0022575492
            620     0.59129152   0.0014588819     0.55993403   0.0015517497     0.61538153   0.0020393083
            640     0.52176983   0.0014042894     0.49441893   0.0012928823      0.5408735   0.0019281714
            660     0.46436339   0.0019054749     0.44118784   0.0012043904     0.48358501   0.0017858834
            680     0.41583781     0.00122082      0.3927789   0.0011465089      0.4332724   0.0016926758
            700        0.36969    0.001222644     0.34991333   0.0012170284      0.3835352   0.0016339666
            720     0.32921352   0.0010920802     0.31098015   0.0010135996     0.34161201   0.0015234811
            740     0.29471363   0.0010144571     0.27790066  0.00093732915      0.3065925   0.0013830604
            760     0.26239478  0.00098739545     0.24714554  0.00088055768     0.27402636   0.0013782714
            780     0.23571455  0.00092700746     0.22218299  0.00093929938     0.24503938   0.0012479529
            800     0.21359886  0.00094297545     0.20231188   0.0020637012     0.22195826   0.0012170532
            820     0.19090985  0.00083737969     0.17914178  0.00076880175     0.20241133   0.0025629029
            840     0.17277348  0.00077972956     0.16228847  0.00072185222     0.18043936   0.0010669414
            860     0.15655309  0.00078490818     0.14717049  0.00081114028     0.16411128   0.0010691135
            880     0.14223918  0.00070976875     0.13330184  0.00066611639     0.14863033  0.00098259906
            900      0.1260545  0.00066578476     0.11801068  0.00059763683     0.13246603  0.00090553557
            920     0.11578168  0.00069266582     0.10821987  0.00065688401     0.12155872  0.00091985433
            940     0.10610717   0.0006752265     0.09904757  0.00063570186     0.11176121  0.00089034572
            960     0.09593396  0.00059418779    0.089346233  0.00055593463     0.10112198  0.00081283822
            980    0.086766458  0.00060907996    0.080561522  0.00061775856    0.092171737  0.00078740339
           1000    0.086766458  0.00060907996    0.080561522  0.00061775856    0.092171737  0.00078740339
