#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      6.4409076    0.042385341      5.6711894    0.036372926      7.3854266    0.053886469
           -3.8      8.2071918    0.047889813      7.2545816    0.041305232      9.3726519    0.060660964
           -3.6      10.149669    0.053655423      9.0353516    0.046570673      11.457734    0.067765456
           -3.4      12.899469    0.060375761      11.545997    0.052792064      14.459848    0.075876327
           -3.2      16.007964    0.067778379      14.400015    0.059443018      17.819652    0.085031283
             -3      19.795996    0.075427258      17.863181    0.066395844      21.969315    0.094520548
           -2.8      24.551498    0.084344277      22.227142    0.074652135      27.157379     0.10532841
           -2.6       30.02496    0.093856962      27.321195    0.083388729      32.991232     0.11727394
           -2.4      36.896514     0.10465535      33.644788    0.093428701      40.442602     0.13011513
           -2.2      44.439845     0.11546818      40.674826     0.10354882      48.495109     0.14343112
             -2      53.311496     0.12666788      48.950008      0.1138699      57.970026     0.15731285
           -1.8      63.104246     0.13862781      58.183471     0.12530593      68.297439      0.1721488
           -1.6      74.154961      0.1507551      68.479218     0.13631583       80.18531     0.18746276
           -1.4      85.342263     0.16248744      78.998251     0.14777241      92.023166     0.20197456
           -1.2      97.583655     0.17466472      90.559026     0.15949032        105.018     0.21712182
             -1      108.19914     0.18355514      100.62029     0.16777139         116.18     0.22915551
           -0.8      119.09151     0.19346712      110.71767     0.17699858      128.10244     0.24112285
           -0.6      127.02626     0.20143207      118.32486     0.18497698      136.30169     0.25081235
           -0.4      133.44648     0.20720154      124.36477     0.19006886      143.20644     0.25905092
           -0.2      136.91249     0.21508646      127.49222      0.1958092      147.07242     0.27053021
              0      136.86782     0.21380164      127.54964     0.19531951      146.96919     0.26861162
            0.2      133.08814     0.20698834      124.05494     0.18954749      142.81562     0.25927352
            0.4      127.00275     0.20124685      118.39638      0.1847762       136.0516     0.25071748
            0.6      118.68095     0.19386219      110.48206     0.17773611      127.46524     0.24143811
            0.8      107.96154      0.1840415      100.39001      0.1685297      115.89506     0.22979901
              1      97.263914     0.17411007      90.283552     0.15874595      104.61236     0.21678953
            1.2      85.631202     0.16269733      79.343945     0.14758132      92.198366     0.20226891
            1.4      73.969085     0.15075769      68.296351     0.13627081      80.044484     0.18755318
            1.6      63.057714     0.13917208      58.107389     0.12588218      68.230215     0.17233117
            1.8      53.172962     0.12665356      48.845544     0.11392685      57.784238     0.15756998
              2       44.27645     0.11491709      40.543594     0.10283045      48.244507     0.14327024
            2.2        36.6787     0.10449677      33.431448     0.09312048      40.245191     0.13026454
            2.4      30.189734    0.094144552       27.47236    0.083717037      33.177641     0.11735026
            2.6       24.58591     0.08461514      22.297439    0.074918828      27.121066      0.1058029
            2.8      19.834141     0.07570506      17.910603    0.066832556      22.000377    0.094654138
              3      15.979247    0.067495114      14.334297    0.059103943      17.877396    0.084788481
            3.2      12.833523    0.060553334      11.483057    0.052908341      14.361038    0.075944363
            3.4      10.119255    0.053395372      9.0086896    0.046312299      11.421266    0.067434512
            3.6      8.1659779    0.047691483       7.227611    0.041056777      9.2974758    0.060596252
            3.8      6.3294958    0.042007333      5.5682226    0.036000226      7.2392742    0.053410237
              4      6.3294958    0.042007333      5.5682226    0.036000226      7.2392742    0.053410237
