# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      116.01731     0.18259801      106.81557     0.16630814      125.27577     0.22625533
            0.2      114.97452     0.18202488      105.90515     0.16581135       124.0163     0.22547334
            0.4      114.27562     0.18251452      105.19349     0.16656696      123.37466     0.22547396
            0.6      113.42205     0.18250704      104.49053     0.16679917      122.45322     0.22563868
            0.8      114.38641     0.18323505      105.43037     0.16754835      123.53966     0.22689975
              1      116.66819     0.18572741       107.6098      0.1695107      126.03397     0.23001643
            1.2      120.57813     0.19023214      111.18072     0.17347961      130.39696     0.23526812
            1.4      126.82684     0.19552156      117.09645     0.17852954      137.08774     0.24237537
            1.6      135.30635     0.20323088      124.96651     0.18520688      146.44562     0.25203062
            1.8      147.64347     0.21363904      136.41379     0.19556183      159.71424      0.2643828
              2      162.91579     0.22603905      150.72765     0.20621711      176.18414     0.28038574
            2.2      182.84974     0.24168849      169.45045      0.2212292      197.71984     0.30073268
            2.4       208.0104      0.2610792      192.88737     0.23939742      224.98755     0.32424517
            2.6       236.5427     0.27818015      219.71231     0.25517539      255.76839     0.34748023
            2.8      265.42189     0.29890738      246.77202     0.27516353      286.71831     0.37357968
              3      198.85717     0.26220735      185.00214     0.24072269      214.84877     0.32814966
            3.2      198.85717     0.26220735      185.00214     0.24072269      214.84877     0.32814966
