#      ptt+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      0.3011997   0.0013806172     0.28267933   0.0012274921      0.3219193   0.0017826571
             10     0.90706911   0.0024054792     0.85311348   0.0021641014     0.96911239     0.00307983
             20      1.4547778   0.0030597311      1.3725189   0.0027804204       1.545948   0.0039055394
             30       1.928934   0.0034983455      1.8179399   0.0031857265      2.0558284   0.0044683491
             40      2.3015988   0.0038356832      2.1674101    0.003514821       2.450742   0.0048640746
             50      2.5666639   0.0040355423      2.4156742   0.0036932903      2.7357372   0.0051206617
             60      2.7204509   0.0041600251      2.5589219   0.0038077222      2.8956462   0.0052460748
             70       2.799065   0.0041907554       2.630169   0.0038495515      2.9792158   0.0052806456
             80      2.7960048   0.0041806033      2.6208704   0.0038404848      2.9839942    0.005241281
             90      2.7124333   0.0041071477      2.5387161   0.0037761102      2.8967155   0.0051293856
            100      2.6029766   0.0040308851      2.4312407   0.0037054321      2.7852593   0.0050134727
            110      2.4528895   0.0038943608      2.2858992   0.0035673062      2.6290599   0.0048291704
            120      2.2882802   0.0037413351      2.1265043   0.0034289421      2.4577729   0.0046413419
            130      2.1135779   0.0035915458      1.9594016    0.003286373       2.274366   0.0044354794
            140      1.9305565   0.0034482362      1.7847876   0.0031580669      2.0830503   0.0042355763
            150       1.753915   0.0032717762      1.6141137   0.0029788962      1.9021698   0.0040248763
            160      1.5902984   0.0031044643       1.460791   0.0028263808       1.727677   0.0038146516
            170       1.431129   0.0029533373       1.310222   0.0026743387      1.5595311   0.0036178808
            180      1.2897751   0.0027880969      1.1784239   0.0025251789      1.4083378   0.0034273384
            190      1.1607478   0.0026530668      1.0575211   0.0023991881      1.2700865   0.0032467174
            200      1.0389732   0.0024985584     0.94258179   0.0022462503      1.1426065   0.0030636266
            210     0.92711318   0.0023539688     0.83917425   0.0021128942      1.0215191   0.0028895017
            220     0.82638126    0.002225361     0.74590189   0.0019940325     0.91265433   0.0027268044
            230     0.73904712   0.0021070468     0.66528434   0.0018824554      0.8179084   0.0025827506
            240     0.66056373   0.0019885506     0.59298555   0.0017710276     0.73336218   0.0024339385
            250     0.58860452   0.0018791921     0.52669907   0.0016664291     0.65576266   0.0023042464
            260     0.52914449    0.001779582     0.47258575   0.0015788773     0.59001545   0.0021804731
            270     0.47255919   0.0016883573     0.42098478   0.0014924707     0.52874179   0.0020762903
            280     0.42121927   0.0015873513     0.37460772   0.0013995478     0.47130546   0.0019486991
            290     0.37845581   0.0015011807     0.33484951   0.0013163881     0.42620365   0.0018446789
            300     0.33828793   0.0014191831     0.29939822   0.0012442377      0.3805314   0.0017501333
            310     0.30001187   0.0013372071     0.26456824   0.0011667618     0.33807399   0.0016500763
