# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.4680699    0.085384801      3.0665866    0.072866039      3.9810031     0.10999753
           -3.8      4.3723939    0.098732637      3.9217403    0.085346373       4.870272     0.12510168
           -3.6      5.8525888     0.11466412      5.2931573     0.09963415      6.4805589     0.14587527
           -3.4      7.9736251     0.13209421      7.2163531     0.11554082      8.8186618     0.16669801
           -3.2       10.34323     0.15255516      9.4263118      0.1349014      11.295236     0.19027602
             -3      13.237308     0.17287762      12.091447     0.15221764      14.471047     0.21867692
           -2.8      17.122745     0.19746499      15.791456     0.17575839      18.473304      0.2487497
           -2.6      21.949611     0.22279138      20.190745     0.19789077      23.793976     0.28096792
           -2.4      27.686246     0.25385489      25.626851     0.22869534      29.654473     0.31768256
           -2.2      35.652686     0.28771638      33.039593     0.26024956      38.135935     0.35760435
             -2      43.725702     0.32184477      40.608414     0.29109624      46.745609     0.40010081
           -1.8      53.452391     0.35594321      49.809798     0.32472569      56.894709     0.44313206
           -1.6      66.937237     0.39236233      62.431651     0.35891151      71.293083     0.48852405
           -1.4      79.620642     0.42915718      74.339978     0.39227289      84.564159     0.53680668
           -1.2      95.436902     0.47003601      89.285462      0.4316833      101.41505     0.59056331
             -1      110.10072     0.51191048       103.3956     0.47427844      116.09682     0.63291303
           -0.8      125.94866     0.54278231      118.18026     0.50219281      133.11939     0.67463833
           -0.6      139.49541     0.57367879      131.12798     0.53344694      146.80175     0.71220478
           -0.4      152.14833     0.59085124       142.9121     0.54830202      160.63882     0.73602871
           -0.2      156.93834     0.60021365      147.24894     0.55223363       166.0537     0.75309794
              0      157.31206     0.60987253      147.71594     0.56780296      165.81351     0.75827915
            0.2      151.33157     0.58834605      141.86384     0.54386745      160.62653     0.73609879
            0.4      140.50201      0.5669954      131.63403     0.52212547      149.01795     0.71401837
            0.6      127.52372      0.5468512      119.20609     0.50310492       135.3477      0.6806958
            0.8      111.53731      0.5181916      104.53905     0.48196523      117.51924     0.63792655
              1      93.857999     0.46770071      87.936291      0.4301544      99.237713     0.58387479
            1.2      80.499063     0.43551116      75.235148     0.40091477      85.447619     0.54029916
            1.4      66.474053     0.39437383      62.020394     0.36260365      70.668053     0.49072784
            1.6      54.373496     0.36011416      50.826144     0.33074245      57.718948     0.44549133
            1.8      44.147313     0.31791787      40.904945     0.28727942      47.495295      0.3983763
              2      35.229195     0.28503209      32.627056     0.25741046      37.800554      0.3543019
            2.2      28.123401      0.2537089      25.947088     0.22915403      30.352017     0.31663828
            2.4      22.346579     0.22747357      20.665312     0.20554835      23.984397     0.28340532
            2.6      17.554194     0.19824981      16.094081     0.17678104      19.084015     0.24888755
            2.8      13.624086     0.17416841      12.492598     0.15381789      14.858635     0.22024115
              3       10.51102     0.15341789      9.5882435      0.1352728      11.502912     0.19416081
            3.2      7.9390297     0.13443539      7.1923975     0.11841871      8.6938777     0.16866309
            3.4      6.2161106     0.11716192      5.6158446     0.10210326      6.8710493     0.14789367
            3.6       4.523874    0.099116534        4.06612    0.085495841       5.059562     0.12713529
            3.8      3.3806642    0.085389044      3.0234325    0.073811124      3.8015984     0.10949454
              4      3.3806642    0.085389044      3.0234325    0.073811124      3.8015984     0.10949454
