#       etatbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.7094955    0.093671766      3.3600193    0.080469481      4.1074668     0.12228882
           -3.8      5.3642747      0.1138796      4.9900561     0.10103661      5.8285281     0.14689416
           -3.6      8.0762392     0.13824492      7.3986074     0.12143142      8.9394703      0.1771553
           -3.4      11.690103     0.16668504      10.733002     0.14798149       12.78219     0.21374523
           -3.2      16.495645     0.19829584      15.207014     0.17774595      17.831833     0.25147324
             -3      21.686777     0.22682876       20.11924     0.20331848      23.407115     0.28942764
           -2.8      29.612454     0.26423176      27.385149     0.23689656      32.078687     0.33264339
           -2.6      38.570688      0.3052078       35.82885     0.27787736      41.357294     0.38153986
           -2.4      47.392712     0.33508645      43.995393     0.30461638      50.832956     0.42047444
           -2.2      58.667288     0.37093927      54.535278     0.33885592      62.941348      0.4630914
             -2      68.257891      0.4006436      63.865466     0.36829192      72.619693     0.49767085
           -1.8      78.244176     0.42482885       73.02583     0.38732688      83.269718      0.5296369
           -1.6      86.593356     0.44791377      80.885738     0.41172795      91.951821     0.55604323
           -1.4      93.440245     0.46274318      87.439377     0.42630803      98.859762     0.57330424
           -1.2      98.393403     0.47567618      92.038795     0.43915954      104.23016      0.5866273
             -1      101.49755     0.48627989      94.945623     0.44943194      107.37156     0.60098194
           -0.8      101.20799     0.47938752      94.770346     0.44271111      106.99695     0.59475789
           -0.6      101.66364      0.4808072      95.266012     0.44241363      107.23352     0.59726613
           -0.4      101.74729     0.48396453      95.145261     0.44402392      107.63949     0.59819242
           -0.2      101.27579     0.47946478      94.917913      0.4400865      106.86056     0.59547591
              0       100.9045     0.48486997       94.74057     0.44809064      106.10859     0.59695822
            0.2        101.995     0.48158953      95.610756     0.44335099      107.65926     0.59788898
            0.4      101.86172     0.47996723      95.512782     0.44165099      107.34617     0.59775153
            0.6      102.24854     0.48352674      95.767195     0.44344821      108.08825     0.60051003
            0.8      99.980203     0.48222966      93.704183     0.44200358      105.52813     0.59956944
              1      97.780644     0.47308775      91.280162     0.43173158      104.05955     0.59149103
            1.2      94.048534     0.46686905      87.937537     0.42982829      99.816993     0.58431673
            1.4      87.489962     0.45236874       81.60071     0.41446857      93.268095     0.56667632
            1.6      79.120692     0.43064514      73.855344     0.39284352      84.288349     0.54139871
            1.8      69.485305     0.40413203      64.782922     0.36663195      74.242419     0.50924165
              2      58.357197     0.37533854      54.364481      0.3441991      62.216744     0.46792102
            2.2      48.443112     0.33957108      44.957358     0.30864751      51.979976      0.4291508
            2.4      38.835017       0.303088      35.874656     0.27267504      42.044967     0.38655078
            2.6      29.717677     0.26865616      27.496319     0.24144936      31.864795     0.34406881
            2.8      22.094872     0.23383122      20.455655     0.21036045      23.837812     0.29806287
              3      16.700553     0.19894179       15.33607     0.17687976      18.161057       0.257628
            3.2      11.750684     0.16909452      10.845159     0.14915702      12.655111      0.2199652
            3.4      8.2751871     0.14221899      7.5803751     0.12303501      9.0023344     0.18488375
            3.6      5.5107755     0.11552637      4.9942541      0.0994795      6.1189224     0.15390787
            3.8      3.7824188    0.096334321      3.4007487    0.081827519      4.1861845     0.12630514
              4      3.7824188    0.096334321      3.4007487    0.081827519      4.1861845     0.12630514
