#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      4.0115448    0.095986395      3.6097091    0.083335139      4.5370839     0.12547796
           -3.8      5.8739851     0.11899021      5.3692053     0.10468975      6.4134212      0.1517187
           -3.6      8.3775317     0.14119229      7.6663489      0.1232524      9.2746892      0.1819198
           -3.4      12.352971     0.17087235      11.242217     0.15250064      13.596168     0.21787652
           -3.2      16.894935     0.20156495      15.485806     0.17927154      18.358948     0.25589037
             -3      22.946694     0.23457054      21.116628     0.21124544      24.876865     0.29693655
           -2.8      30.372961     0.26834247      28.052378     0.24125458      32.988422     0.33992567
           -2.6      40.049517     0.30830389      37.047091     0.27856389      43.352666     0.38564135
           -2.4      48.757202     0.34099258      45.130301     0.30904644      52.467972     0.42663188
           -2.2      58.906887     0.37138737      54.914259     0.34095291      62.802711     0.46295838
             -2      68.483004     0.39858543      63.863898     0.36368513      73.010869     0.49829781
           -1.8      77.854035     0.42675403      72.926954     0.39100091      82.438475     0.53073768
           -1.6      86.852783     0.44623727      80.942715     0.40824151      92.540294     0.55408801
           -1.4      92.218626     0.45962345      86.290248     0.42316545      97.731602     0.57109897
           -1.2      97.689329     0.47243055      91.614283     0.43437825      103.10236     0.58810802
             -1      99.801427     0.47948101      93.543882     0.44351452      105.27774     0.59269063
           -0.8      101.13551     0.48024285      94.807237     0.44246281      106.71595     0.59663966
           -0.6      100.68944     0.47707497      94.394122     0.43775048      106.17897     0.59262686
           -0.4      99.821731     0.47795437      93.814915     0.43946052      104.68139      0.5921599
           -0.2      99.557315     0.47879571      93.316272     0.43894198      105.06291     0.59129096
              0      99.646154      0.4785902      93.595454     0.44118675      104.56212     0.59151023
            0.2       100.4099     0.47696684      94.068123     0.43850994      106.25048     0.59107256
            0.4      101.38935     0.48064467       94.94325     0.44152516      107.20527     0.59748486
            0.6      101.17756     0.48133349      94.709456     0.44015623      107.07372     0.59938775
            0.8      100.21544     0.48048853       93.90454     0.44223071      105.82478     0.59631523
              1      97.680312     0.47165212      91.372321     0.43318472      103.71867     0.58835897
            1.2      93.577815     0.46269081      87.462109     0.42365449      99.435814     0.58051194
            1.4      87.108072      0.4505881      81.445013      0.4123615       92.61893      0.5652395
            1.6      78.836853     0.43240092      73.660078     0.39790097      83.777109     0.54120449
            1.8      69.206654     0.40237908      64.604946     0.36621136      73.607792     0.50690244
              2      59.276945     0.37110872      55.208771     0.33607927      63.493429     0.47308759
            2.2      49.248957     0.34452603       45.67582     0.31285619      53.107017     0.43478524
            2.4      39.444399     0.30711919      36.599756     0.27657485      42.429065     0.38949754
            2.6      30.350514     0.27041715      28.051499     0.24118378      32.838311     0.34639162
            2.8      22.988619     0.23691297      21.217996     0.21157397       24.85569     0.30530429
              3      16.642703     0.20215148      15.242606     0.17756999       18.22458     0.26147084
            3.2      11.987659     0.17431272      11.057517     0.15483627      12.987821      0.2227829
            3.4      8.4436204     0.14466782      7.6958171     0.12757436      9.2785826     0.18825533
            3.6      5.8612983     0.11938014      5.2767469     0.10296699      6.4805031     0.15647545
            3.8       3.944005     0.09837169      3.5121335    0.083388229      4.4147491      0.1300152
              4       3.944005     0.09837169      3.5121335    0.083388229      4.4147491      0.1300152
