#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   -0.037875927              0   -0.040486927              0   -0.035264927              0
            0.2     -0.1464712              0    -0.15030969              0    -0.14263271              0
            0.4    -0.28378876              0    -0.28825022              0     -0.2793273              0
            0.6     -0.4409501              0    -0.44580801              0    -0.43609219              0
            0.8    -0.63777319              0    -0.64240193              0    -0.63314445              0
              1    -0.85384222              0    -0.85860835              0    -0.84907609              0
            1.2     -1.0855763              0     -1.0905892              0     -1.0805634              0
            1.4     -1.3622774              0     -1.3674021              0     -1.3571527              0
            1.6     -1.6782852              0     -1.6837057              0     -1.6728647              0
            1.8     -2.0877573              0     -2.0935043              0     -2.0820103              0
              2     -2.6238977              0     -2.6309187              0     -2.6168767              0
            2.2     -3.3541778              0     -3.3610197              0     -3.3473359              0
            2.4      -4.450167              0     -4.4581453              0     -4.4421887              0
            2.6     -6.1218939              0     -6.1308967              0     -6.1128911              0
            2.8     -8.9336881              0     -8.9443129              0     -8.9230633              0
              3     -13.171837              0      -13.18503              0     -13.158644              0
            3.2     -7.1993349              0     -7.2126378              0      -7.186032              0
            3.4      -1.865867              0     -1.8718791              0     -1.8598549              0
            3.6    -0.80268746              0    -0.80651364              0    -0.79886128              0
            3.8     -0.4413638              0     -0.4442964              0     -0.4384312              0
              4    -0.27520474              0    -0.27750386              0    -0.27290562              0
            4.2     -0.1776271              0    -0.17950078              0    -0.17575342              0
            4.4      -0.119377              0    -0.12093244              0    -0.11782156              0
            4.6   -0.085343104              0    -0.08673322              0   -0.083952988              0
            4.8   -0.059399382              0   -0.060449778              0   -0.058348986              0
              5   -0.059399382              0   -0.060449778              0   -0.058348986              0
