#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     -3.7309038              0     -3.7425535              0     -3.7192541              0
            0.2     -3.4843066              0     -3.4910157              0     -3.4775975              0
            0.4      -3.332559              0     -3.3383306              0     -3.3267874              0
            0.6      -3.229796              0     -3.2355038              0     -3.2240882              0
            0.8     -3.1663744              0     -3.1722763              0     -3.1604725              0
              1     -3.1309558              0     -3.1365805              0     -3.1253311              0
            1.2     -3.1385936              0      -3.143854              0     -3.1333332              0
            1.4     -3.1926565              0     -3.1981711              0     -3.1871419              0
            1.6     -3.3126244              0     -3.3180412              0     -3.3072076              0
            1.8     -3.4845716              0     -3.4907377              0     -3.4784055              0
              2      -3.689738              0     -3.6960127              0     -3.6834633              0
            2.2     -3.9693945              0     -3.9756183              0     -3.9631707              0
            2.4      -4.252053              0     -4.2590519              0     -4.2450541              0
            2.6     -4.4439164              0     -4.4524012              0     -4.4354316              0
            2.8     -4.3531938              0     -4.3627946              0      -4.343593              0
              3     -3.2033384              0     -3.2151391              0     -3.1915377              0
            3.2    -0.37661334              0    -0.38441764              0    -0.36880904              0
            3.4    -0.20030195              0    -0.20587701              0    -0.19472689              0
            3.6    -0.17325648              0    -0.17757001              0    -0.16894295              0
            3.8    -0.14423064              0    -0.14760767              0    -0.14085361              0
              4    -0.10810869              0    -0.11089729              0    -0.10532009              0
            4.2   -0.081084659              0   -0.083386624              0   -0.078782694              0
            4.4   -0.063232278              0   -0.065088908              0   -0.061375648              0
            4.6   -0.046053423              0   -0.047637384              0   -0.044469462              0
            4.8   -0.036007071              0   -0.037392457              0   -0.034621685              0
              5   -0.036007071              0   -0.037392457              0   -0.034621685              0
