# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3     -55.397059              0      -55.42303              0     -55.371088              0
            3.2     -3.0809209              0     -3.0924121              0     -3.0694297              0
            3.4   -0.027656495              0   -0.031935199              0   -0.023377791              0
            3.6     0.03245196              0    0.030413403              0    0.034490517              0
            3.8    0.014426938              0    0.013422335              0    0.015431541              0
              4   0.0069792392              0   0.0064930488              0   0.0074654296              0
            4.2   0.0021657245              0   0.0019453892              0   0.0023860598              0
            4.4   0.0012004482              0   0.0010887974              0    0.001312099              0
            4.6  0.00034245304              0  0.00028922082              0  0.00039568526              0
            4.8  0.00010856382              0  8.4401847e-05              0  0.00013272579              0
              5  0.00010856382              0  8.4401847e-05              0  0.00013272579              0
