# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    -0.74760103              0    -0.75356442              0    -0.74163764              0
            0.2    -0.78429917              0    -0.78984133              0    -0.77875701              0
            0.4    -0.85710781              0    -0.86258983              0    -0.85162579              0
            0.6    -0.93488484              0    -0.93998011              0    -0.92978957              0
            0.8     -1.0595673              0      -1.064571              0     -1.0545636              0
              1     -1.2006307              0      -1.205762              0     -1.1954994              0
            1.2     -1.3765474              0     -1.3816769              0     -1.3714179              0
            1.4     -1.6255825              0     -1.6308918              0     -1.6202732              0
            1.6     -1.9457629              0     -1.9514142              0     -1.9401116              0
            1.8     -2.3854071              0     -2.3914999              0     -2.3793143              0
              2     -2.9974496              0     -3.0048371              0     -2.9900621              0
            2.2     -3.8808388              0     -3.8881053              0     -3.8735723              0
            2.4     -5.2407185              0       -5.24916              0      -5.232277              0
            2.6     -7.4350195              0     -7.4451877              0     -7.4248513              0
            2.8     -11.454775              0     -11.466546              0     -11.443004              0
              3     -14.521677              0     -14.538482              0     -14.504872              0
            3.2     -14.521677              0     -14.538482              0     -14.504872              0
