#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4  0.00017280672              0  -7.407829e-05              0  0.00041969173              0
           -3.8  -0.0061108238              0  -0.0066996484              0  -0.0055219992              0
           -3.6   -0.099488955              0    -0.10074637              0   -0.098231538              0
           -3.4     -0.9723402              0    -0.97572744              0    -0.96895296              0
           -3.2     -1.7497142              0     -1.7542022              0     -1.7452262              0
             -3     -1.8884053              0     -1.8932793              0     -1.8835313              0
           -2.8     -1.8832335              0     -1.8880996              0     -1.8783674              0
           -2.6      -1.855419              0     -1.8617836              0     -1.8490544              0
           -2.4     -1.8144863              0     -1.8202102              0     -1.8087624              0
           -2.2     -1.7875948              0     -1.7929529              0     -1.7822367              0
             -2     -1.7402516              0     -1.7455268              0     -1.7349764              0
           -1.8     -1.7413021              0     -1.7470953              0     -1.7355089              0
           -1.6     -1.7211925              0     -1.7266663              0     -1.7157187              0
           -1.4     -1.7160772              0     -1.7220385              0     -1.7101159              0
           -1.2     -1.7149726              0     -1.7205716              0     -1.7093736              0
             -1      -1.704243              0     -1.7100099              0     -1.6984761              0
           -0.8     -1.6945622              0     -1.7001012              0     -1.6890232              0
           -0.6     -1.6984038              0     -1.7038889              0     -1.6929187              0
           -0.4     -1.6973484              0     -1.7032217              0     -1.6914751              0
           -0.2     -1.7093064              0     -1.7149053              0     -1.7037075              0
              0      -1.705967              0     -1.7116915              0     -1.7002425              0
            0.2     -1.7011837              0     -1.7067268              0     -1.6956406              0
            0.4     -1.6911259              0     -1.6967497              0     -1.6855021              0
            0.6     -1.6992132              0     -1.7052577              0     -1.6931687              0
            0.8     -1.7146131              0      -1.720561              0     -1.7086652              0
              1     -1.7161267              0     -1.7219578              0     -1.7102956              0
            1.2     -1.7196042              0     -1.7252276              0     -1.7139808              0
            1.4     -1.7311682              0     -1.7371216              0     -1.7252148              0
            1.6      -1.750375              0     -1.7559785              0     -1.7447715              0
            1.8     -1.7589457              0     -1.7644132              0     -1.7534782              0
              2     -1.7930285              0     -1.7984262              0     -1.7876308              0
            2.2     -1.8200156              0      -1.825679              0     -1.8143522              0
            2.4     -1.8555676              0     -1.8612775              0     -1.8498577              0
            2.6       -1.88576              0      -1.890855              0      -1.880665              0
            2.8     -1.8855658              0     -1.8916357              0     -1.8794959              0
              3     -1.7574512              0      -1.762394              0     -1.7525084              0
            3.2    -0.96453037              0    -0.96775913              0    -0.96130161              0
            3.4   -0.099173046              0    -0.10046155              0   -0.097884547              0
            3.6  -0.0055045841              0  -0.0060719566              0  -0.0049372116              0
            3.8   0.0011487466              0  0.00079154187              0   0.0015059513              0
              4   0.0011487466              0  0.00079154187              0   0.0015059513              0
