#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       12590256              0        1821731              0       23358781              0
            0.2      2977717.8              0      1028155.9              0      4927279.7              0
            0.4      301294.18              0      198568.04              0      404020.32              0
            0.6       71345568              0         932630              0  1.4175851e+08              0
            0.8      7179441.2              0      3563628.8              0       10795254              0
              1  8.9918359e+08              0        1351760              0  1.7970154e+09              0
            1.2       43845551              0       11513699              0       76177403              0
            1.4       22991861              0        6438886              0       39544836              0
            1.6  1.4320323e+09              0        6071000              0  2.8579936e+09              0
            1.8       17664420              0        6166256              0       29162584              0
              2  2.1850718e+08              0       54775250              0  3.8223911e+08              0
            2.2       12084784              0      6979361.5              0       17190206              0
            2.4  6.7690187e+08              0  1.7335951e+08              0  1.1804442e+09              0
            2.6       84525666              0       47987053              0  1.2106428e+08              0
            2.8  3.4655512e+08              0  1.6979342e+08              0  5.2331682e+08              0
              3  1.4053421e+10              0    3.74718e+08              0  2.7732124e+10              0
            3.2  1.4053421e+10              0    3.74718e+08              0  2.7732124e+10              0
