#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    -0.74527175              0    -0.75110043              0    -0.73944307              0
            0.2    -0.78651262              0    -0.79220238              0    -0.78082286              0
            0.4    -0.84782514              0    -0.85314242              0    -0.84250786              0
            0.6    -0.94727432              0     -0.9524059              0    -0.94214274              0
            0.8     -1.0860979              0     -1.0911573              0     -1.0810385              0
              1     -1.2676906              0     -1.2727636              0     -1.2626176              0
            1.2     -1.4798843              0     -1.4849814              0     -1.4747872              0
            1.4     -1.7938997              0     -1.8003374              0      -1.787462              0
            1.6     -2.1921831              0     -2.1977986              0     -2.1865676              0
            1.8      -2.743807              0     -2.7502435              0     -2.7373705              0
              2     -3.4972896              0     -3.5042427              0     -3.4903365              0
            2.2     -4.5431158              0     -4.5505729              0     -4.5356587              0
            2.4     -6.0844094              0     -6.0929924              0     -6.0758264              0
            2.6     -8.4735067              0      -8.483662              0     -8.4633514              0
            2.8     -12.754213              0     -12.766295              0     -12.742131              0
              3     -16.258435              0      -16.27528              0      -16.24159              0
            3.2     -16.258435              0      -16.27528              0      -16.24159              0
