#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4    -0.02662117              0   -0.027324917              0   -0.025917423              0
           -3.8   -0.036617253              0   -0.037409434              0   -0.035825072              0
           -3.6   -0.049589986              0    -0.05056635              0   -0.048613622              0
           -3.4   -0.067917969              0   -0.069051613              0   -0.066784325              0
           -3.2   -0.091542804              0   -0.092811722              0   -0.090273886              0
             -3    -0.12853584              0    -0.13000312              0    -0.12706856              0
           -2.8    -0.17693924              0    -0.17871766              0    -0.17516082              0
           -2.6    -0.25208768              0    -0.25414348              0    -0.25003188              0
           -2.4    -0.35765132              0    -0.36011492              0    -0.35518772              0
           -2.2    -0.52097878              0     -0.5237746              0    -0.51818296              0
             -2    -0.76363094              0    -0.76703482              0    -0.76022706              0
           -1.8     -1.1180276              0      -1.121967              0     -1.1140882              0
           -1.6     -1.6672315              0     -1.6722834              0     -1.6621796              0
           -1.4     -2.4710829              0     -2.4766565              0     -2.4655093              0
           -1.2     -3.6965573              0     -3.7054906              0      -3.687624              0
             -1     -4.3709434              0     -4.3789982              0     -4.3628886              0
           -0.8     -4.3874669              0     -4.3951125              0     -4.3798213              0
           -0.6     -4.3559941              0     -4.3643212              0      -4.347667              0
           -0.4     -4.3414848              0     -4.3492459              0     -4.3337237              0
           -0.2     -4.3016894              0     -4.3096675              0     -4.2937113              0
              0     -4.3139023              0     -4.3220016              0      -4.305803              0
            0.2     -4.3455692              0     -4.3533276              0     -4.3378108              0
            0.4      -4.375118              0     -4.3831084              0     -4.3671276              0
            0.6     -4.4002874              0     -4.4085476              0     -4.3920272              0
            0.8     -4.3771911              0     -4.3853518              0     -4.3690304              0
              1     -3.7120362              0     -3.7205512              0     -3.7035212              0
            1.2     -2.4739514              0     -2.4800329              0     -2.4678699              0
            1.4     -1.6589844              0     -1.6642207              0     -1.6537481              0
            1.6     -1.1157297              0     -1.1197265              0     -1.1117329              0
            1.8    -0.76017017              0    -0.76373611              0    -0.75660423              0
              2    -0.51876789              0    -0.52172024              0    -0.51581554              0
            2.2    -0.36125914              0    -0.36373455              0    -0.35878373              0
            2.4     -0.2525166              0    -0.25459295              0    -0.25044025              0
            2.6    -0.18053584              0    -0.18234384              0    -0.17872784              0
            2.8    -0.12775251              0    -0.12927242              0     -0.1262326              0
              3   -0.092796011              0   -0.094112425              0   -0.091479597              0
            3.2   -0.068253541              0   -0.069358543              0   -0.067148539              0
            3.4    -0.04735796              0   -0.048392074              0   -0.046323846              0
            3.6   -0.035053626              0   -0.035876708              0   -0.034230544              0
            3.8   -0.025972557              0   -0.026729692              0   -0.025215422              0
              4   -0.025972557              0   -0.026729692              0   -0.025215422              0
