#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   -0.011843122              0   -0.012461958              0   -0.011224286              0
           -3.8   -0.015424273              0   -0.016201688              0   -0.014646858              0
           -3.6   -0.023817885              0   -0.024688167              0   -0.022947603              0
           -3.4   -0.034468581              0   -0.035415736              0   -0.033521426              0
           -3.2    -0.04575723              0   -0.046975149              0   -0.044539311              0
             -3   -0.066887909              0   -0.068254113              0   -0.065521705              0
           -2.8   -0.097507657              0   -0.099175588              0   -0.095839726              0
           -2.6    -0.13989379              0    -0.14180912              0    -0.13797846              0
           -2.4    -0.20146563              0    -0.20368985              0    -0.19924141              0
           -2.2     -0.2822561              0    -0.28496542              0    -0.27954678              0
             -2    -0.41795854              0    -0.42107169              0    -0.41484539              0
           -1.8    -0.59489281              0      -0.598942              0    -0.59084362              0
           -1.6    -0.88077469              0    -0.88484866              0    -0.87670072              0
           -1.4     -1.2598716              0     -1.2648089              0     -1.2549343              0
           -1.2     -1.8133778              0     -1.8187936              0      -1.807962              0
             -1     -2.5859713              0     -2.5924494              0     -2.5794932              0
           -0.8     -3.6138651              0     -3.6211327              0     -3.6065975              0
           -0.6     -4.9369168              0     -4.9446656              0      -4.929168              0
           -0.4     -6.6115644              0     -6.6204019              0     -6.6027269              0
           -0.2      -9.634725              0     -9.6468104              0     -9.6226396              0
              0      -9.631663              0     -9.6445626              0     -9.6187634              0
            0.2     -6.6255511              0     -6.6345713              0     -6.6165309              0
            0.4     -4.9387234              0     -4.9466267              0     -4.9308201              0
            0.6      -3.609663              0     -3.6168221              0     -3.6025039              0
            0.8     -2.5771674              0     -2.5834743              0     -2.5708605              0
              1     -1.8095327              0     -1.8148858              0     -1.8041796              0
            1.2     -1.2643593              0     -1.2690995              0     -1.2596191              0
            1.4    -0.87768736              0    -0.88196298              0    -0.87341174              0
            1.6     -0.6006143              0    -0.60428264              0    -0.59694596              0
            1.8    -0.41519338              0    -0.41830829              0    -0.41207847              0
              2    -0.28766922              0    -0.29040814              0     -0.2849303              0
            2.2    -0.19491145              0    -0.19719043              0    -0.19263247              0
            2.4    -0.13767395              0     -0.1396879              0       -0.13566              0
            2.6   -0.097504587              0   -0.099075971              0   -0.095933203              0
            2.8    -0.06479365              0   -0.066278272              0   -0.063309028              0
              3   -0.047641894              0   -0.048881163              0   -0.046402625              0
            3.2   -0.032780523              0   -0.033824882              0   -0.031736164              0
            3.4    -0.02362103              0   -0.024477526              0   -0.022764534              0
            3.6   -0.015794029              0   -0.016544755              0   -0.015043303              0
            3.8    -0.01130716              0   -0.011936279              0   -0.010678041              0
              4    -0.01130716              0   -0.011936279              0   -0.010678041              0
