# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    -0.13840118              0    -0.14325188              0    -0.13355048              0
            0.2    -0.14577902              0    -0.15041986              0    -0.14113818              0
            0.4    -0.17492971              0    -0.17939572              0     -0.1704637              0
            0.6    -0.18472222              0      -0.189074              0    -0.18037044              0
            0.8    -0.19323155              0    -0.19750172              0    -0.18896138              0
              1     -0.1773826              0    -0.18163251              0    -0.17313269              0
            1.2    -0.15333163              0    -0.15755607              0    -0.14910719              0
            1.4    -0.12434281              0    -0.12861917              0    -0.12006645              0
            1.6   -0.092525516              0   -0.096890691              0   -0.088160341              0
            1.8   -0.070278627              0   -0.074792051              0   -0.065765203              0
              2   -0.079680125              0   -0.084329802              0   -0.075030448              0
            2.2    -0.21621888              0    -0.22107841              0    -0.21135935              0
            2.4    -0.61996365              0    -0.62513774              0    -0.61478956              0
            2.6     -1.6443606              0     -1.6502412              0       -1.63848              0
            2.8     -3.8866573              0     -3.8944182              0     -3.8788964              0
              3     -5.1724512              0     -5.1836591              0     -5.1612433              0
            3.2     -5.1724512              0     -5.1836591              0     -5.1612433              0
