#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    -0.13210559              0    -0.13688422              0    -0.12732696              0
            0.2    -0.15772425              0    -0.16241279              0    -0.15303571              0
            0.4    -0.16843432              0    -0.17291323              0    -0.16395541              0
            0.6    -0.17994309              0    -0.18429827              0    -0.17558791              0
            0.8    -0.17407682              0    -0.17835345              0    -0.16980019              0
              1    -0.17905752              0    -0.18329297              0    -0.17482207              0
            1.2    -0.15245926              0    -0.15671451              0    -0.14820401              0
            1.4    -0.12537092              0    -0.12965252              0    -0.12108932              0
            1.6   -0.098162822              0    -0.10253727              0    -0.09378837              0
            1.8   -0.063043309              0   -0.067524121              0   -0.058562497              0
              2    -0.07764965              0   -0.082285772              0   -0.073013528              0
            2.2    -0.21839716              0    -0.22324298              0    -0.21355133              0
            2.4    -0.62058525              0    -0.62574856              0    -0.61542194              0
            2.6     -1.6566764              0     -1.6625426              0     -1.6508102              0
            2.8     -3.9042958              0     -3.9120588              0     -3.8965328              0
              3     -5.1662746              0     -5.1775082              0      -5.155041              0
            3.2     -5.1662746              0     -5.1775082              0      -5.155041              0
