#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   -0.031099844              0   -0.031704024              0   -0.030495664              0
           -3.8   -0.089973888              0   -0.091030976              0     -0.0889168              0
           -3.6    -0.19659071              0    -0.19816606              0    -0.19501536              0
           -3.4    -0.35794859              0    -0.36018816              0    -0.35570902              0
           -3.2    -0.45985157              0    -0.46265721              0    -0.45704593              0
             -3    -0.47227235              0    -0.47546318              0    -0.46908152              0
           -2.8    -0.46014062              0    -0.46363089              0    -0.45665035              0
           -2.6    -0.42699825              0    -0.43065855              0    -0.42333795              0
           -2.4    -0.40239492              0    -0.40619485              0    -0.39859499              0
           -2.2    -0.37873008              0    -0.38259536              0     -0.3748648              0
             -2    -0.36695253              0    -0.37090401              0    -0.36300105              0
           -1.8    -0.33888288              0     -0.3428757              0    -0.33489006              0
           -1.6    -0.33662079              0    -0.34064753              0    -0.33259405              0
           -1.4    -0.31776114              0    -0.32180281              0    -0.31371947              0
           -1.2    -0.32638384              0    -0.33044037              0    -0.32232731              0
             -1    -0.31727404              0    -0.32132314              0    -0.31322494              0
           -0.8    -0.31658337              0    -0.32068183              0    -0.31248491              0
           -0.6    -0.31026149              0    -0.31432538              0     -0.3061976              0
           -0.4    -0.31434355              0    -0.31839871              0    -0.31028839              0
           -0.2    -0.30628932              0    -0.31042534              0     -0.3021533              0
              0    -0.30877275              0     -0.3128535              0      -0.304692              0
            0.2    -0.30995589              0    -0.31402805              0    -0.30588373              0
            0.4    -0.31100468              0    -0.31510364              0    -0.30690572              0
            0.6    -0.31531361              0    -0.31940651              0    -0.31122071              0
            0.8    -0.30371557              0     -0.3077808              0    -0.29965034              0
              1    -0.32232595              0    -0.32637109              0    -0.31828081              0
            1.2    -0.32264865              0    -0.32667243              0    -0.31862487              0
            1.4    -0.33862436              0    -0.34263249              0    -0.33461623              0
            1.6    -0.34795229              0     -0.3519401              0    -0.34396448              0
            1.8    -0.35617733              0    -0.36012492              0    -0.35222974              0
              2    -0.37760603              0      -0.381451              0    -0.37376106              0
            2.2    -0.40195368              0    -0.40573404              0    -0.39817332              0
            2.4    -0.42906063              0    -0.43272691              0    -0.42539435              0
            2.6    -0.46251498              0    -0.46598371              0    -0.45904625              0
            2.8    -0.47962737              0    -0.48280993              0    -0.47644481              0
              3    -0.46045755              0    -0.46323875              0    -0.45767635              0
            3.2    -0.36451308              0    -0.36673964              0    -0.36228652              0
            3.4    -0.19907285              0    -0.20069461              0    -0.19745109              0
            3.6   -0.089632776              0   -0.090680145              0   -0.088585407              0
            3.8   -0.030088736              0   -0.030703098              0   -0.029474374              0
              4   -0.030088736              0   -0.030703098              0   -0.029474374              0
