# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      88.695059              0      88.646842              0      88.743276              0
            3.2      96.672551              0      96.611171              0      96.733931              0
            3.4      48.384398              0      48.346476              0       48.42232              0
            3.6      27.384914              0      27.350831              0      27.418997              0
            3.8      16.240488              0      16.215527              0      16.265449              0
              4      10.152174              0      10.129922              0      10.174426              0
            4.2      6.5353666              0      6.5183568              0      6.5523764              0
            4.4       4.422956              0      4.4075852              0      4.4383268              0
            4.6      3.0841557              0      3.0717952              0      3.0965162              0
            4.8      2.1909423              0      2.1781657              0      2.2037189              0
              5      2.1909423              0      2.1781657              0      2.2037189              0
