#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      0.2460319              0     0.23929886              0     0.25276494              0
           -3.8     0.37935319              0      0.3676495              0     0.39105688              0
           -3.6     0.50845053              0     0.50134805              0     0.51555301              0
           -3.4     0.75325175              0     0.74369891              0     0.76280459              0
           -3.2      1.0193463              0      1.0098104              0      1.0288822              0
             -3      1.3969371              0      1.3864278              0      1.4074464              0
           -2.8      1.8981628              0      1.8864729              0      1.9098527              0
           -2.6      2.5159088              0      2.5039163              0      2.5279013              0
           -2.4      3.3028955              0       3.290165              0       3.315626              0
           -2.2      4.3109909              0      4.2971162              0      4.3248656              0
             -2      5.5637905              0      5.5493279              0      5.5782531              0
           -1.8      7.0531102              0      7.0373086              0      7.0689118              0
           -1.6      8.8584232              0      8.8414067              0      8.8754397              0
           -1.4      10.787235              0      10.769462              0      10.805008              0
           -1.2       12.97856              0      12.959512              0      12.997608              0
             -1      15.171096              0      15.150998              0      15.191194              0
           -0.8      17.299836              0      17.278837              0      17.320835              0
           -0.6      19.180655              0      19.158807              0      19.202503              0
           -0.4      20.586836              0       20.56437              0      20.609302              0
           -0.2      21.325852              0        21.3031              0      21.348604              0
              0      21.363322              0      21.340537              0      21.386107              0
            0.2       20.58626              0      20.563767              0      20.608753              0
            0.4      19.178495              0      19.156589              0      19.200401              0
            0.6      17.294303              0      17.273253              0      17.315353              0
            0.8       15.15134              0      15.131425              0      15.171255              0
              1      12.930904              0      12.911906              0      12.949902              0
            1.2      10.772572              0      10.754705              0      10.790439              0
            1.4      8.8446494              0      8.8280011              0      8.8612977              0
            1.6      7.0560271              0      7.0403838              0      7.0716704              0
            1.8      5.5526203              0      5.5375879              0      5.5676527              0
              2       4.307066              0      4.2925473              0      4.3215847              0
            2.2      3.3156378              0      3.3024778              0      3.3287978              0
            2.4      2.5069505              0      2.4950001              0      2.5189009              0
            2.6      1.8989926              0      1.8870356              0      1.9109496              0
            2.8      1.4091281              0      1.3979375              0      1.4203187              0
              3      1.0359619              0       1.025343              0      1.0465808              0
            3.2     0.74408074              0     0.73422532              0     0.75393616              0
            3.4     0.55513514              0     0.54550571              0     0.56476457              0
            3.6     0.37565527              0     0.36760016              0     0.38371038              0
            3.8     0.24172599              0     0.23572075              0     0.24773123              0
              4     0.24172599              0     0.23572075              0     0.24773123              0
