#    dyHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0063665119              0   0.0048587121              0   0.0078743117              0
           -3.8    0.011256454              0   0.0068776289              0    0.015635279              0
           -3.6    0.024513353              0     0.02131926              0    0.027707446              0
           -3.4    0.056369317              0    0.050485479              0    0.062253155              0
           -3.2    0.090274599              0    0.083752406              0    0.096796792              0
             -3     0.15596174              0     0.14795781              0     0.16396567              0
           -2.8     0.28746685              0     0.27923697              0     0.29569673              0
           -2.6     0.49929663              0     0.49144458              0     0.50714868              0
           -2.4      0.8514102              0     0.84209034              0     0.86073006              0
           -2.2       1.351895              0      1.3402969              0      1.3634931              0
             -2      2.1599411              0      2.1452612              0       2.174621              0
           -1.8      3.4224117              0      3.4100865              0      3.4347369              0
           -1.6      5.2064655              0      5.1924128              0      5.2205182              0
           -1.4      7.6751468              0      7.6590693              0      7.6912243              0
           -1.2      10.982102              0      10.963973              0      11.000231              0
             -1      15.174306              0      15.153539              0      15.195073              0
           -0.8      20.076126              0      20.052682              0       20.09957              0
           -0.6      25.090575              0      25.064543              0      25.116607              0
           -0.4      29.449891              0      29.420975              0      29.478807              0
           -0.2       32.09975              0       32.06811              0       32.13139              0
              0      32.135065              0      32.102198              0      32.167932              0
            0.2      29.553427              0      29.524317              0      29.582537              0
            0.4      25.210613              0      25.184102              0      25.237124              0
            0.6      20.180168              0      20.156893              0      20.203443              0
            0.8      15.337427              0        15.3164              0      15.358454              0
              1      11.091765              0      11.073599              0      11.109931              0
            1.2      7.7544253              0       7.738778              0      7.7700726              0
            1.4      5.2879429              0      5.2737043              0      5.3021815              0
            1.6      3.5221122              0      3.5090077              0      3.5352167              0
            1.8      2.2817945              0      2.2691831              0      2.2944059              0
              2      1.4043026              0      1.3670924              0      1.4415128              0
            2.2     0.87071966              0     0.85212452              0      0.8893148              0
            2.4     0.54574615              0     0.53477511              0     0.55671719              0
            2.6     0.32954342              0     0.32138272              0     0.33770412              0
            2.8     0.18030894              0     0.17445098              0      0.1861669              0
              3    0.097274062              0    0.087851795              0     0.10669633              0
            3.2    0.053553669              0    0.047681302              0    0.059426036              0
            3.4    0.033569093              0    0.029558399              0    0.037579787              0
            3.6    0.012803175              0    0.010802417              0    0.014803933              0
            3.8   0.0078631059              0   0.0061402926              0   0.0095859192              0
              4   0.0078631059              0   0.0061402926              0   0.0095859192              0
