#    masst+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             20              0              0              0              0              0              0
             40              0              0              0              0              0              0
             60              0              0              0              0              0              0
             80              0              0              0              0              0              0
            100              0              0              0              0              0              0
            120              0              0              0              0              0              0
            140              0              0              0              0              0              0
            160              0              0              0              0              0              0
            180              0              0              0              0              0              0
            200              0              0              0              0              0              0
            220              0              0              0              0              0              0
            240              0              0              0              0              0              0
            260              0              0              0              0              0              0
            280              0              0              0              0              0              0
            300              0              0              0              0              0              0
            320              0              0              0              0              0              0
            340    0.081164899              0    0.081007702              0    0.081322096              0
            360     0.16663809              0     0.16644785              0     0.16682833              0
            380     0.18544122              0     0.18525289              0     0.18562955              0
            400     0.19031922              0     0.19012765              0     0.19051079              0
            420     0.18808403              0     0.18789042              0     0.18827764              0
            440     0.18179254              0     0.18159851              0     0.18198657              0
            460     0.17244806              0     0.17225573              0     0.17264039              0
            480     0.16181322              0     0.16162363              0     0.16200281              0
            500     0.15050668              0     0.15032081              0     0.15069255              0
            520     0.13942445              0     0.13924293              0     0.13960597              0
            540     0.12839395              0     0.12821724              0     0.12857066              0
            560     0.11786579              0     0.11769418              0      0.1180374              0
            580      0.1074291              0     0.10726309              0     0.10759511              0
            600    0.098589892              0    0.098428802              0    0.098750982              0
            620     0.08966912              0     0.08951365              0     0.08982459              0
            640    0.081905674              0    0.081755247              0    0.082056101              0
            660    0.074545361              0    0.074399917              0    0.074690805              0
            680     0.06768361              0    0.067542577              0    0.067824643              0
            700    0.061754444              0    0.061618724              0    0.061890164              0
            720    0.056053437              0    0.055922424              0     0.05618445              0
            740    0.051046624              0     0.05091955              0    0.051173698              0
            760    0.046391033              0    0.046268975              0    0.046513091              0
            780    0.042340815              0    0.042222465              0    0.042459165              0
            800    0.038660567              0     0.03854586              0    0.038775274              0
            820    0.035148525              0    0.035037868              0    0.035259182              0
            840       0.032101              0    0.031993451              0    0.032208549              0
            860    0.029182425              0    0.029077376              0    0.029287474              0
            880    0.026576934              0    0.026476677              0    0.026677191              0
            900    0.024262024              0    0.024164377              0    0.024359671              0
            920    0.022260613              0    0.022163575              0    0.022357651              0
            940    0.020278004              0     0.02018409              0    0.020371918              0
            960    0.018648283              0     0.01855494              0    0.018741626              0
            980    0.017204713              0    0.017112993              0    0.017296433              0
           1000    0.017204713              0    0.017112993              0    0.017296433              0
