#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.1427828              0      3.1270635              0      3.1585021              0
            0.2      8.7980659              0      8.7746233              0      8.8215085              0
            0.4      13.070014              0      13.042938              0       13.09709              0
            0.6      15.849959              0      15.823431              0      15.876487              0
            0.8      17.539941              0      17.513917              0      17.565965              0
              1      18.577563              0      18.552192              0      18.602934              0
            1.2      19.400211              0      19.375601              0      19.424821              0
            1.4      20.253004              0      20.228264              0      20.277744              0
            1.6      21.298006              0      21.272206              0      21.323806              0
            1.8      22.804162              0      22.778617              0      22.829707              0
              2      24.856707              0      24.830283              0      24.883131              0
            2.2       27.74692              0      27.718993              0      27.774847              0
            2.4      31.551387              0      31.520218              0      31.582556              0
            2.6      36.274399              0      36.239631              0      36.309167              0
            2.8      41.969859              0      41.932042              0      42.007676              0
              3      42.051743              0      42.009787              0      42.093699              0
            3.2      13.436901              0      13.404973              0      13.468829              0
            3.4       4.863086              0      4.8392687              0      4.8869033              0
            3.6      2.0028078              0      1.9847033              0      2.0209123              0
            3.8     0.88728938              0     0.87064171              0     0.90393705              0
              4       0.389198              0     0.37817011              0     0.40022589              0
            4.2     0.17315903              0     0.16539213              0     0.18092593              0
            4.4    0.087582009              0    0.079855426              0    0.095308592              0
            4.6    0.039120991              0    0.033713411              0    0.044528571              0
            4.8    0.012583379              0    0.010146205              0    0.015020553              0
              5    0.012583379              0    0.010146205              0    0.015020553              0
