#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.44746629              0     0.44040089              0     0.45453169              0
           -3.8      0.6091233              0     0.59971873              0     0.61852787              0
           -3.6     0.83461219              0     0.82618222              0     0.84304216              0
           -3.4      1.1009947              0      1.0926074              0       1.109382              0
           -3.2      1.5155439              0      1.5049288              0       1.526159              0
             -3       1.985092              0      1.9722239              0      1.9979601              0
           -2.8      2.5964146              0      2.5839146              0      2.6089146              0
           -2.6      3.3785585              0      3.3644343              0      3.3926827              0
           -2.4      4.3706982              0      4.3553464              0        4.38605              0
           -2.2      5.5350389              0      5.5184722              0      5.5516056              0
             -2       6.993891              0      6.9766359              0      7.0111461              0
           -1.8       8.751032              0      8.7323326              0      8.7697314              0
           -1.6      10.804934              0       10.78467              0      10.825198              0
           -1.4      13.106619              0      13.084583              0      13.128655              0
           -1.2      15.632558              0      15.609611              0      15.655505              0
             -1      18.430192              0       18.40491              0      18.455474              0
           -0.8      21.041097              0      21.014578              0      21.067616              0
           -0.6      23.510552              0      23.482273              0      23.538831              0
           -0.4      25.305223              0      25.275633              0      25.334813              0
           -0.2      26.398895              0      26.367447              0      26.430343              0
              0      26.363224              0      26.331745              0      26.394703              0
            0.2      25.378239              0        25.3481              0      25.408378              0
            0.4      23.493391              0      23.464781              0      23.522001              0
            0.6      21.099464              0      21.072743              0      21.126185              0
            0.8      18.407911              0      18.383129              0      18.432693              0
              1      15.680044              0       15.65675              0      15.703338              0
            1.2      13.133903              0      13.112015              0      13.155791              0
            1.4      10.762108              0       10.74203              0      10.782186              0
            1.6      8.7369718              0      8.7186617              0      8.7552819              0
            1.8      7.0300655              0        7.01255              0       7.047581              0
              2      5.5522166              0      5.5360392              0       5.568394              0
            2.2      4.3881513              0      4.3719336              0       4.404369              0
            2.4      3.3800566              0      3.3644494              0      3.3956638              0
            2.6      2.5937066              0      2.5806363              0      2.6067769              0
            2.8      1.9991879              0      1.9847951              0      2.0135807              0
              3      1.4930047              0      1.4816051              0      1.5044043              0
            3.2      1.1219412              0      1.1096128              0      1.1342696              0
            3.4     0.83167294              0     0.82331761              0     0.84002827              0
            3.6      0.6148265              0     0.60669787              0     0.62295513              0
            3.8     0.46233627              0     0.45369236              0     0.47098018              0
              4     0.46233627              0     0.45369236              0     0.47098018              0
