#         pttop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    0.022547594              0    0.022419127              0    0.022676061              0
             10    0.067061406              0    0.066796988              0    0.067325824              0
             20     0.10903539              0     0.10875103              0     0.10931975              0
             30     0.14861848              0     0.14827698              0     0.14895998              0
             40     0.18439045              0     0.18400239              0     0.18477851              0
             50     0.21697985              0     0.21658946              0     0.21737024              0
             60     0.24697519              0     0.24654184              0     0.24740854              0
             70     0.26973477              0     0.26932654              0       0.270143              0
             80     0.29103519              0     0.29055337              0     0.29151701              0
             90     0.30456728              0     0.30412222              0     0.30501234              0
            100     0.31447608              0     0.31401979              0     0.31493237              0
            110     0.32140495              0     0.32093709              0     0.32187281              0
            120     0.32133698              0     0.32088032              0     0.32179364              0
            130     0.31971048              0     0.31925125              0     0.32016971              0
            140     0.31326173              0     0.31281459              0     0.31370887              0
            150     0.30484251              0     0.30439197              0     0.30529305              0
            160     0.29357175              0     0.29311838              0     0.29402512              0
            170     0.28029497              0      0.2798508              0     0.28073914              0
            180      0.2662258              0     0.26579119              0     0.26666041              0
            190     0.25083609              0     0.25039286              0     0.25127932              0
            200     0.23581472              0      0.2353886              0     0.23624084              0
            210     0.22053046              0     0.22010206              0     0.22095886              0
            220     0.20455189              0     0.20415238              0      0.2049514              0
            230     0.18919975              0     0.18881453              0     0.18958497              0
            240     0.17399634              0     0.17361198              0      0.1743807              0
            250      0.1608512              0     0.16047461              0     0.16122779              0
            260     0.14820781              0     0.14784803              0     0.14856759              0
            270     0.13616981              0     0.13582109              0     0.13651853              0
            280     0.12436958              0     0.12403336              0      0.1247058              0
            290     0.11350608              0     0.11318793              0     0.11382423              0
            300     0.10377272              0     0.10345755              0     0.10408789              0
            310    0.095192213              0    0.094887467              0    0.095496959              0
            320    0.086493072              0    0.086190889              0    0.086795255              0
            330    0.078770538              0    0.078485353              0    0.079055723              0
            340     0.07156092              0    0.071291402              0    0.071830438              0
            350    0.065362459              0    0.065102219              0    0.065622699              0
            360    0.059583467              0    0.059334986              0    0.059831948              0
            370    0.054376021              0     0.05413554              0    0.054616502              0
            380    0.049385933              0    0.049157504              0    0.049614362              0
            390    0.045265822              0    0.045036555              0    0.045495089              0
            400    0.040258525              0    0.040055003              0    0.040462047              0
            410    0.036669612              0    0.036464648              0    0.036874576              0
            420    0.033827956              0    0.033623274              0    0.034032638              0
            430    0.030968168              0    0.030765524              0    0.031170812              0
            440    0.027895272              0     0.02771578              0    0.028074764              0
            450    0.025334453              0    0.025152977              0    0.025515929              0
            460     0.02342773              0    0.023220645              0    0.023634815              0
            470    0.020949893              0    0.020777605              0    0.021122181              0
            480    0.019342893              0    0.019180272              0    0.019505514              0
            490    0.017549204              0    0.017380302              0    0.017718106              0
            500    0.016400684              0    0.016244571              0    0.016556797              0
            510    0.014682922              0    0.014528208              0    0.014837636              0
            520     0.01327716              0    0.013141992              0    0.013412328              0
            530    0.012118469              0    0.011992717              0    0.012244221              0
            540    0.011356019              0    0.011224129              0    0.011487909              0
            550     0.01039166              0    0.010257608              0    0.010525712              0
            560   0.0093952953              0   0.0092685695              0   0.0095220211              0
            570   0.0086954005              0   0.0085784941              0   0.0088123069              0
            580   0.0078615989              0   0.0077468146              0   0.0079763832              0
            590   0.0072897754              0   0.0071729012              0   0.0074066496              0
            600   0.0067467373              0    0.006627643              0   0.0068658316              0
            610   0.0064861121              0   0.0063707612              0    0.006601463              0
            620   0.0056360647              0   0.0055392966              0   0.0057328328              0
            630    0.005104308              0   0.0050039627              0   0.0052046533              0
            640   0.0047569726              0   0.0046635522              0    0.004850393              0
            650    0.004357251              0   0.0042601662              0   0.0044543358              0
            660   0.0042224846              0    0.004123837              0   0.0043211322              0
            670   0.0036934355              0   0.0036046157              0   0.0037822553              0
            680   0.0034753041              0   0.0033913065              0   0.0035593017              0
            690    0.003228782              0   0.0031387651              0   0.0033187989              0
            700   0.0029853444              0   0.0029016977              0   0.0030689911              0
            710   0.0028739753              0   0.0027818772              0   0.0029660734              0
            720   0.0026798314              0   0.0025908521              0   0.0027688107              0
            730   0.0023557866              0   0.0022717949              0   0.0024397783              0
            740   0.0020776908              0   0.0020064087              0   0.0021489729              0
            750    0.001936281              0   0.0018652323              0   0.0020073297              0
            760    0.001833777              0   0.0017513705              0   0.0019161835              0
            770   0.0018364916              0    0.001753872              0   0.0019191112              0
            780   0.0015865428              0   0.0015117812              0   0.0016613044              0
            790   0.0014122915              0   0.0013441114              0   0.0014804716              0
            800   0.0014122915              0   0.0013441114              0   0.0014804716              0
