# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.5736814              0      2.5570351              0      2.5903277              0
            0.2       7.239012              0      7.2142514              0      7.2637726              0
            0.4      11.002413              0       10.97454              0      11.030286              0
            0.6      13.907116              0      13.876838              0      13.937394              0
            0.8      16.158046              0      16.129349              0      16.186743              0
              1      17.852006              0      17.824742              0       17.87927              0
            1.2      19.309375              0      19.282582              0      19.336168              0
            1.4       20.89422              0      20.867202              0      20.921238              0
            1.6      22.489727              0      22.462813              0      22.516641              0
            1.8      24.511409              0      24.484013              0      24.538805              0
              2      27.030621              0      27.002154              0      27.059088              0
            2.2      30.150665              0      30.120798              0      30.180532              0
            2.4      34.011321              0      33.979473              0      34.043169              0
            2.6      38.692067              0      38.657239              0      38.726895              0
            2.8       43.28924              0      43.250602              0      43.327878              0
              3      41.885071              0      41.842735              0      41.927407              0
            3.2      19.321112              0      19.288173              0      19.354051              0
            3.4      10.338518              0      10.312018              0      10.365018              0
            3.6       6.022047              0        5.99991              0       6.044184              0
            3.8      3.7641925              0      3.7434754              0      3.7849096              0
              4      2.3095452              0      2.2883434              0       2.330747              0
            4.2      1.4387561              0      1.4126305              0      1.4648817              0
            4.4     0.94264978              0     0.92726554              0     0.95803402              0
            4.6     0.56698357              0     0.53054574              0      0.6034214              0
            4.8     0.39256392              0     0.38337175              0     0.40175609              0
              5     0.39256392              0     0.38337175              0     0.40175609              0
