# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.37101853              0     0.36439311              0     0.37764395              0
           -3.8     0.52790195              0     0.51769624              0     0.53810766              0
           -3.6     0.73309424              0     0.72467374              0     0.74151474              0
           -3.4      1.0011039              0     0.99138021              0      1.0108276              0
           -3.2       1.316893              0       1.292877              0       1.340909              0
             -3      1.7780608              0      1.7422746              0       1.813847              0
           -2.8      2.4447906              0      2.4291277              0      2.4604535              0
           -2.6      3.2429554              0       3.229008              0      3.2569028              0
           -2.4      4.2399506              0      4.2226277              0      4.2572735              0
           -2.2      5.5058857              0      5.4897917              0      5.5219797              0
             -2      7.0737563              0       7.055891              0      7.0916216              0
           -1.8       8.963991              0      8.9446918              0      8.9832902              0
           -1.6      11.234322              0      11.213222              0      11.255422              0
           -1.4      13.855568              0      13.832054              0      13.879082              0
           -1.2      16.754639              0      16.729488              0       16.77979              0
             -1      19.955579              0       19.92818              0      19.982978              0
           -0.8      23.121258              0      23.090942              0      23.151574              0
           -0.6      25.900269              0      25.867989              0      25.932549              0
           -0.4      28.236903              0       28.20216              0      28.271646              0
           -0.2      29.509231              0      29.473398              0      29.545064              0
              0      29.459449              0        29.4234              0      29.495498              0
            0.2      28.251832              0      28.217189              0      28.286475              0
            0.4       26.04372              0      26.011291              0      26.076149              0
            0.6      23.197007              0      23.167033              0      23.226981              0
            0.8      20.067698              0      20.040317              0      20.095079              0
              1       16.98457              0      16.959448              0      17.009692              0
            1.2      14.064933              0      14.041201              0      14.088665              0
            1.4      11.443153              0      11.421891              0      11.464415              0
            1.6      9.2108457              0      9.1918316              0      9.2298598              0
            1.8      7.3095142              0      7.2919082              0      7.3271202              0
              2      5.7291346              0      5.7129837              0      5.7452855              0
            2.2      4.4793435              0      4.4634657              0      4.4952213              0
            2.4      3.4423752              0      3.4290184              0       3.455732              0
            2.6      2.6377649              0      2.6232982              0      2.6522316              0
            2.8      2.0123035              0      1.9968361              0      2.0277709              0
              3      1.5493891              0       1.538304              0      1.5604742              0
            3.2      1.1433846              0       1.134348              0      1.1524212              0
            3.4     0.85216197              0     0.84277175              0     0.86155219              0
            3.6     0.63676636              0     0.62877289              0     0.64475983              0
            3.8      0.4509356              0     0.44470129              0     0.45716991              0
              4      0.4509356              0     0.44470129              0     0.45716991              0
