#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.52630892              0     0.51719676              0     0.53542108              0
           -3.8     0.74099391              0     0.73028758              0     0.75170024              0
           -3.6     0.99876701              0     0.98723608              0      1.0102979              0
           -3.4      1.3582961              0       1.346034              0      1.3705582              0
           -3.2      1.7894802              0      1.7755026              0      1.8034578              0
             -3      2.3660316              0      2.3520278              0      2.3800354              0
           -2.8      3.0650427              0      3.0498984              0       3.080187              0
           -2.6      3.9392234              0      3.9233735              0      3.9550733              0
           -2.4      5.0428916              0      5.0255511              0      5.0602321              0
           -2.2      6.4280879              0       6.409973              0      6.4462028              0
             -2      8.0478647              0      8.0281101              0      8.0676193              0
           -1.8      10.013035              0      9.9918378              0      10.034232              0
           -1.6      12.157111              0      12.135036              0      12.179186              0
           -1.4      14.633896              0      14.610085              0      14.657707              0
           -1.2      17.249339              0      17.224227              0      17.274451              0
             -1      19.846547              0      19.820094              0         19.873              0
           -0.8      22.253641              0      22.226014              0      22.281268              0
           -0.6      24.399714              0      24.371015              0      24.428413              0
           -0.4      25.928968              0      25.899461              0      25.958475              0
           -0.2      26.706199              0      26.676403              0      26.735995              0
              0      26.751808              0       26.72198              0      26.781636              0
            0.2      25.940904              0      25.911351              0      25.970457              0
            0.4      24.367205              0      24.338386              0      24.396024              0
            0.6      22.267008              0      22.239353              0      22.294663              0
            0.8      19.792721              0      19.766408              0      19.819034              0
              1       17.18606              0       17.16102              0        17.2111              0
            1.2      14.609073              0      14.585522              0      14.632624              0
            1.4       12.19072              0      12.168416              0      12.213024              0
            1.6      9.9926537              0      9.9720265              0      10.013281              0
            1.8      8.0329164              0      8.0132309              0      8.0526019              0
              2      6.4075009              0      6.3888983              0      6.4261035              0
            2.2      5.0463842              0      5.0282859              0      5.0644825              0
            2.4      3.9381086              0      3.9220439              0      3.9541733              0
            2.6      3.0659989              0      3.0509825              0      3.0810153              0
            2.8       2.352557              0      2.3386232              0      2.3664908              0
              3      1.8170068              0      1.8023388              0      1.8316748              0
            3.2      1.3653938              0      1.3525263              0      1.3782613              0
            3.4     0.99710452              0     0.98607321              0      1.0081358              0
            3.6     0.76071663              0     0.74836116              0      0.7730721              0
            3.8     0.55896126              0     0.54667398              0     0.57124854              0
              4     0.55896126              0     0.54667398              0     0.57124854              0
