#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.8512112              0      1.8049291              0      1.8974933              0
            0.2      2.2213268              0      2.2041631              0      2.2384905              0
            0.4      2.5403823              0      2.5279838              0      2.5527808              0
            0.6      2.9126051              0      2.9008055              0      2.9244047              0
            0.8      3.4270991              0      3.4133207              0      3.4408775              0
              1      4.1767608              0      4.1640297              0      4.1894919              0
            1.2      5.2240923              0      5.2101428              0      5.2380418              0
            1.4      6.8233508              0      6.8075891              0      6.8391125              0
            1.6      9.2494733              0      9.2315094              0      9.2674372              0
            1.8      12.985211              0      12.964451              0      13.005971              0
              2      19.010208              0      18.985533              0      19.034883              0
            2.2      28.861629              0       28.83064              0      28.892618              0
            2.4      44.832342              0      44.793802              0      44.870882              0
            2.6      70.309567              0      70.259917              0      70.359217              0
            2.8      106.50191              0      106.43604              0      106.56778              0
              3      95.885096              0      95.816321              0      95.953871              0
            3.2      95.885096              0      95.816321              0      95.953871              0
