#        pttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0  -0.0057708644              0  -0.0059283615              0  -0.0056133673              0
             10    0.025172004              0    0.024986881              0    0.025357127              0
             20    0.070556897              0    0.070302359              0    0.070811435              0
             30     0.11988067              0     0.11955043              0     0.12021091              0
             40      0.1698017              0     0.16944701              0     0.17015639              0
             50     0.21588131              0     0.21545343              0     0.21630919              0
             60     0.25686213              0     0.25643854              0     0.25728572              0
             70     0.29467714              0     0.29423005              0     0.29512423              0
             80     0.32175169              0     0.32109719              0     0.32240619              0
             90      0.3447309              0     0.34424941              0     0.34521239              0
            100     0.35928339              0     0.35842587              0     0.36014091              0
            110     0.36911764              0     0.36861991              0     0.36961537              0
            120     0.37020075              0      0.3696876              0      0.3707139              0
            130     0.36777078              0     0.36726054              0     0.36828102              0
            140     0.36062273              0     0.36005996              0      0.3611855              0
            150     0.34867128              0     0.34815577              0     0.34918679              0
            160     0.33469571              0     0.33417564              0     0.33521578              0
            170     0.31847296              0     0.31797555              0     0.31897037              0
            180      0.3004519              0     0.29994722              0     0.30095658              0
            190     0.28284844              0     0.28235923              0     0.28333765              0
            200     0.26343408              0     0.26291814              0     0.26395002              0
            210     0.24515572              0     0.24469546              0     0.24561598              0
            220     0.22656993              0     0.22611758              0     0.22702228              0
            230     0.20808909              0     0.20766289              0     0.20851529              0
            240     0.19153676              0     0.19111018              0     0.19196334              0
            250      0.1757352              0     0.17533389              0     0.17613651              0
            260     0.16042859              0     0.16002843              0     0.16082875              0
            270     0.14668888              0     0.14629665              0     0.14708111              0
            280     0.13340437              0      0.1330429              0     0.13376584              0
            290     0.12118344              0     0.12083483              0     0.12153205              0
            300     0.11154205              0     0.11118516              0     0.11189894              0
            310     0.10103413              0     0.10070925              0     0.10135901              0
            320    0.092177294              0     0.09185495              0    0.092499638              0
            330    0.083480895              0    0.083165462              0    0.083796328              0
            340    0.075563574              0     0.07526652              0    0.075860628              0
            350    0.068052798              0    0.067780588              0    0.068325008              0
            360     0.06152063              0    0.061263348              0    0.061777912              0
            370    0.056326648              0    0.056070633              0    0.056582663              0
            380     0.05090135              0     0.05064517              0     0.05115753              0
            390    0.046332201              0    0.046102975              0    0.046561427              0
            400    0.042615198              0    0.042382506              0     0.04284789              0
            410    0.039015201              0    0.038779697              0    0.039250705              0
            420    0.034651933              0    0.034443421              0    0.034860445              0
            430    0.031592504              0    0.031395006              0    0.031790002              0
            440    0.028652703              0    0.028470901              0    0.028834505              0
            450     0.02648004              0    0.026267834              0    0.026692246              0
            460    0.023754867              0    0.023561237              0    0.023948497              0
            470    0.021558769              0    0.021383183              0    0.021734355              0
            480      0.0198021              0    0.019633821              0    0.019970379              0
            490    0.018299663              0    0.018114849              0    0.018484477              0
            500    0.016864896              0    0.016703379              0    0.017026413              0
            510    0.015090205              0    0.014931287              0    0.015249123              0
            520    0.013943719              0    0.013792171              0    0.014095267              0
            530    0.012585481              0    0.012440619              0    0.012730343              0
            540    0.011453247              0    0.011318034              0     0.01158846              0
            550    0.010616261              0    0.010474489              0    0.010758033              0
            560   0.0096485997              0   0.0095197334              0    0.009777466              0
            570   0.0087789076              0   0.0086533346              0   0.0089044806              0
            580   0.0080721465              0   0.0079445329              0   0.0081997601              0
            590   0.0073099971              0   0.0071910598              0   0.0074289344              0
            600   0.0068749869              0   0.0067500344              0   0.0069999394              0
            610   0.0060720033              0   0.0059610086              0    0.006182998              0
            620    0.005943506              0   0.0058143665              0   0.0060726455              0
            630   0.0052862797              0   0.0051716699              0   0.0054008895              0
            640   0.0049375597              0   0.0048289805              0   0.0050461389              0
            650   0.0044993933              0   0.0043912525              0   0.0046075341              0
            660   0.0041614584              0   0.0040625756              0   0.0042603412              0
            670   0.0038873008              0   0.0037704997              0   0.0040041019              0
            680   0.0037534096              0   0.0036452432              0    0.003861576              0
            690   0.0033082792              0   0.0032042487              0   0.0034123097              0
            700   0.0029522213              0    0.002859972              0   0.0030444706              0
            710   0.0026704462              0   0.0025813103              0   0.0027595821              0
            720   0.0025918816              0   0.0024996105              0   0.0026841527              0
            730    0.002355194              0   0.0022676551              0   0.0024427329              0
            740   0.0020999032              0   0.0020130486              0   0.0021867578              0
            750   0.0019346636              0   0.0018445278              0   0.0020247994              0
            760   0.0018518832              0   0.0017649017              0   0.0019388647              0
            770   0.0018153478              0   0.0017222494              0   0.0019084462              0
            780   0.0016710834              0   0.0015781653              0   0.0017640015              0
            790    0.001372514              0   0.0012965698              0   0.0014484582              0
            800    0.001372514              0   0.0012965698              0   0.0014484582              0
