# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.8071009              0      1.7943576              0      1.8198442              0
            0.2       5.088321              0       5.070532              0        5.10611              0
            0.4      7.6730441              0       7.653118              0      7.6929702              0
            0.6      9.6941635              0      9.6722298              0      9.7160972              0
            0.8      11.157086              0      11.137453              0      11.176719              0
              1      12.264126              0      12.245004              0      12.283248              0
            1.2      13.129983              0      13.111796              0       13.14817              0
            1.4      14.071259              0      14.052983              0      14.089535              0
            1.6      14.973413              0      14.955249              0      14.991577              0
            1.8      16.109446              0      16.091506              0      16.127386              0
              2      17.512072              0      17.493674              0       17.53047              0
            2.2      19.315298              0      19.295951              0      19.334645              0
            2.4      21.642077              0      21.621466              0      21.662688              0
            2.6      24.740704              0      24.717695              0      24.763713              0
            2.8      28.425044              0      28.398667              0      28.451421              0
              3       29.21328              0      29.183811              0      29.242749              0
            3.2      13.126583              0      13.104239              0      13.148927              0
            3.4       6.766658              0      6.7471097              0      6.7862063              0
            3.6      3.9156315              0      3.8994177              0      3.9318453              0
            3.8      2.3600284              0      2.3441691              0      2.3758877              0
              4      1.4293937              0      1.4168206              0      1.4419668              0
            4.2     0.89417159              0     0.88037632              0     0.90796686              0
            4.4      0.5796707              0     0.56840294              0     0.59093846              0
            4.6     0.35624769              0     0.34876708              0      0.3637283              0
            4.8     0.23118716              0     0.22000794              0     0.24236638              0
              5     0.23118716              0     0.22000794              0     0.24236638              0
