# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      75.815611              0      75.772495              0      75.858727              0
            3.2      85.023021              0      84.977098              0      85.068944              0
            3.4      43.777152              0      43.742535              0      43.811769              0
            3.6      25.228366              0      25.199065              0      25.257667              0
            3.8      15.153247              0      15.130475              0      15.176019              0
              4       9.559195              0      9.5395226              0      9.5788674              0
            4.2      6.2430059              0      6.2272279              0      6.2587839              0
            4.4       4.240164              0      4.2264826              0      4.2538454              0
            4.6      2.9895244              0      2.9773533              0      3.0016955              0
            4.8      2.1476444              0      2.1367523              0      2.1585365              0
              5      2.1476444              0      2.1367523              0      2.1585365              0
