# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      0.2320153   0.0042893691     0.16897757   0.0058758727     0.29495556   0.0038838049
           -3.8     0.34099585   0.0042329544     0.25873006   0.0055091593     0.42730729   0.0043816678
           -3.6     0.48073858   0.0046482339     0.37674398   0.0056361213     0.59483691   0.0048593253
           -3.4     0.65729924   0.0063681425      0.5224637   0.0081028472     0.80943887   0.0061566326
           -3.2     0.93208338   0.0068964367     0.76124392   0.0079884105      1.1315418   0.0079587174
             -3      1.2527315    0.011127748      1.0301079    0.017131959      1.5167654   0.0097527287
           -2.8      1.7188087   0.0095165636      1.4537185    0.010122837      2.0485397   0.0094121538
           -2.6      2.3128588   0.0095440151      1.9736043   0.0093008443      2.7311206    0.010549617
           -2.4      3.0885334    0.011407676      2.6559806    0.011793003      3.6209737    0.011583501
           -2.2      4.0160026    0.012426971      3.4730015    0.012348207      4.6817635    0.013881248
             -2      5.2091843    0.015403021      4.5341831    0.015486458       6.034932    0.015789067
           -1.8      6.6382631    0.016137266       5.816773    0.016522602      7.6348448     0.01709389
           -1.6      8.3808851    0.017317281        7.38197    0.016867486      9.5904926    0.019125837
           -1.4      10.337027     0.02278024      9.1347846    0.023136914      11.802336    0.022385589
           -1.2      12.639541    0.022272106      11.231243    0.021841999      14.344237    0.024038096
             -1      15.032754    0.023825483      13.412583    0.023208656        17.0019    0.026221203
           -0.8      17.452518     0.02483955      15.624303    0.023816352      19.671059     0.02749425
           -0.6      19.674486    0.027844106      17.648252    0.026846811      22.145569     0.03239541
           -0.4      21.357957    0.029507654      19.202586    0.029278233      23.991778    0.031390316
           -0.2      22.413462    0.028951293      20.178032    0.027896634      25.142327    0.034467821
              0      22.349357    0.029910492      20.115034    0.030163324      25.081912    0.031465456
            0.2      21.357649    0.033029027      19.189011    0.035652908      24.007026    0.032611254
            0.4      19.592865    0.029623397      17.567641    0.030135606      22.062773    0.030790751
            0.6      17.490699    0.026302456       15.63205     0.02528958      19.756835    0.030109437
            0.8      15.017356    0.023991288      13.371814    0.023290143      17.022445    0.026378135
              1      12.642975      0.0215087      11.213113    0.022465755      14.377492    0.024680369
            1.2      10.409996    0.021236312      9.1941928    0.020822429       11.88406    0.023346456
            1.4      8.4496491    0.018160323      7.4290186    0.017506171       9.683641    0.020613731
            1.6      6.6933919    0.016354819      5.8638307    0.016018825      7.6933513    0.017477696
            1.8      5.2545493    0.014134986      4.5905971    0.013804667      6.0522631    0.015139466
              2      4.0940539    0.012547104      3.5584732    0.012192751      4.7380107    0.013356647
            2.2      3.1409149    0.011096138       2.712188    0.011370578      3.6566256    0.012244469
            2.4      2.4025253    0.009620102      2.0673135   0.0092934299      2.8058125    0.010559613
            2.6       1.815575   0.0094821889      1.5557819   0.0091076058      2.1269176    0.010637229
            2.8      1.3371679   0.0077479091       1.137807   0.0077924328      1.5769294   0.0081597345
              3      1.0019051   0.0063697583     0.84978858    0.006312852      1.1837485   0.0068328876
            3.2      0.7331641   0.0058151761     0.61848874   0.0059169807      0.8704859   0.0060144863
            3.4      0.5203125   0.0050385583     0.43561923   0.0049179251      0.6225655   0.0053148267
            3.6      0.3793026   0.0046598218     0.31615234   0.0045891103     0.45542434   0.0047391622
            3.8     0.27431827   0.0034912973     0.22692718   0.0034692774     0.33128703   0.0038983493
              4     0.27431827   0.0034912973     0.22692718   0.0034692774     0.33128703   0.0038983493
