# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      14.810885    0.022675806      13.857185    0.021775457      15.965105    0.023855202
            0.2      14.567667    0.022976106      13.607098    0.022200085      15.735704    0.023921665
            0.4      14.283225    0.022500054      13.306139    0.021702374      15.468405    0.023475092
            0.6      14.071213    0.023502041      13.059293    0.022805935      15.296934     0.02411554
            0.8      13.977624    0.023981883      12.900574    0.023776477      15.279914    0.024000668
              1      14.179419      0.0237525      13.005333    0.023896743      15.591731    0.024221226
            1.2      14.580554    0.023478839      13.287944    0.022856939      16.127266    0.024962346
            1.4       15.28541    0.028007727      13.820646    0.030647653      17.037193    0.026402073
            1.6      16.343359    0.023515034      14.658739    0.022576096      18.349153    0.026477917
            1.8      17.861641    0.024306944      15.882563    0.023331584      20.216529    0.027564196
              2      19.933701    0.026393887       17.57338    0.025617153      22.735983    0.029994481
            2.2      22.654649    0.028209453       19.78398    0.026399326      26.084873    0.033933568
            2.4      26.265092    0.030184626      22.728318    0.029270668      30.508471    0.040628936
            2.6      30.712617    0.032699584      26.406547    0.032221308        35.9502    0.037988037
            2.8      35.037031    0.036091736      29.914767    0.036399563      41.410968     0.03980332
              3      25.669113    0.047196032      21.464294    0.069156629      30.867764    0.043174873
            3.2      25.669113    0.047196032      21.464294    0.069156629      30.867764    0.043174873
