#       ptHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    0.047461212  0.00017870183    0.045319414  0.00017224689    0.049603105  0.00018669018
             10     0.13836563   0.0002967292     0.13206119  0.00028473262     0.14467585  0.00031211604
             20     0.21908185  0.00037023848     0.20881122    0.000355447     0.22941021  0.00038947381
             30     0.28478748  0.00042128984      0.2708476  0.00040306275     0.29899784  0.00044686642
             40     0.33272303  0.00045365257     0.31528349  0.00043691932     0.35099517  0.00047694129
             50     0.36151067  0.00046866879     0.34110239  0.00045090709     0.38386408  0.00049530205
             60     0.37485909  0.00047550482     0.35158168  0.00045727348     0.40189272  0.00050392949
             70      0.3742878  0.00047701274     0.34827123  0.00045864187     0.40650816  0.00050910269
             80     0.36447696  0.00047240986     0.33552469  0.00048273651     0.40265117  0.00053343398
             90     0.34660211  0.00046189322     0.31537472  0.00044372786     0.39002367  0.00050964239
            100     0.32442676  0.00045359979     0.29100943  0.00043218694     0.37239695  0.00051243394
            110     0.30199105  0.00044412567     0.26674618  0.00042366534     0.35326498  0.00050323979
            120     0.27613325  0.00044121456     0.23978394  0.00041929675     0.32892465  0.00050697747
            130     0.25174033    0.000413867      0.2150617  0.00039082396     0.30402282   0.0004802247
            140     0.22821687  0.00043517393      0.1920103  0.00042953902     0.27854512  0.00048122131
            150     0.20691501  0.00045178002     0.17197978  0.00044831672     0.25368621  0.00047483144
            160      0.1859269  0.00040438321     0.15249754  0.00038010586     0.22894221  0.00049553438
            170     0.16653013  0.00040566955     0.13551502  0.00038066145       0.204787  0.00052800407
            180     0.14907873  0.00041699463     0.12019736  0.00041892389     0.18348391   0.0004506199
            190     0.13279361  0.00041375067     0.10669709  0.00041281748     0.16274355  0.00044059298
            200     0.11905928  0.00038071965    0.095653729  0.00037285301     0.14498611  0.00046970795
            210     0.10506258  0.00039791558    0.084571418  0.00039380248     0.12714702  0.00042277093
            220    0.093957149  0.00037239071    0.075807669  0.00038751737     0.11300426  0.00038331889
            230    0.083025971  0.00036605305    0.067213397  0.00040501158    0.099329593   0.0003532212
            240    0.074423839  0.00032335022    0.060531893  0.00033582609    0.088425987  0.00033346164
            250    0.066350906  0.00031565609     0.05403991  0.00033866593    0.078635863  0.00032040715
            260    0.058907864   0.0002429886    0.048657541  0.00024677019    0.068953618  0.00026617424
            270    0.052384911  0.00028201127    0.043233847  0.00030808965    0.061324308   0.0002866748
            280     0.04651243  0.00045393282    0.038530182  0.00055586566    0.054286338  0.00034197814
            290    0.042234613  0.00024649101     0.03526452  0.00025483262     0.04894821  0.00028862925
            300    0.037717987  0.00020166827    0.031860127  0.00021610365    0.043316882  0.00021173103
            310    0.033892244  0.00018564042    0.028867317  0.00018473311    0.038669382  0.00019959204
            320    0.030236013  0.00024045323    0.025804114  0.00027038128     0.03445551  0.00021687764
            330    0.027159392  0.00018306292    0.023386665  0.00018907462    0.030734823  0.00018403347
            340     0.02448073  0.00015543457    0.021189118  0.00014845429    0.027587497  0.00016741588
            350    0.022010119  0.00016458888     0.01918285  0.00015742821    0.024675485  0.00017495591
            360    0.019669429  0.00016726535    0.017136392  0.00018833163    0.022076885  0.00015354685
            370    0.017621021  0.00013704888    0.015478242  0.00014235114    0.019654593  0.00013602268
            380    0.016028341   0.0001216634    0.014149231   0.0001199462    0.017806141  0.00012659717
            390    0.014529766  0.00011262993    0.012879335  0.00011048479     0.01609331  0.00011769355
            400    0.013152728  0.00010977775     0.01174766  0.00010762723    0.014481417  0.00011404244
            410    0.011771633  0.00010472567    0.010546225  0.00010549227    0.012934728  0.00010644367
            420    0.010940695  9.7300866e-05   0.0098761003  9.4711943e-05     0.01194661  0.00010144275
            430   0.0096917999  9.2112341e-05   0.0087472329  9.1301682e-05    0.010589433  9.4638065e-05
            440   0.0089009661  8.5166011e-05    0.008056094  8.3442182e-05   0.0097062617  8.8494836e-05
            450   0.0082356897  8.3601212e-05    0.007495386  8.1386932e-05    0.008939594  8.6887895e-05
            460   0.0072394727  7.5119852e-05   0.0066252882  7.2864813e-05   0.0078237807  7.8385903e-05
            470    0.006584873  7.2403613e-05   0.0060301358    7.05519e-05   0.0071137179  7.5247665e-05
            480   0.0062530395  7.1698875e-05   0.0057534167  7.0447091e-05   0.0067298598  7.3932739e-05
            490   0.0057315243  6.7999945e-05   0.0052846371  6.6798975e-05   0.0061582356  7.0106351e-05
            500   0.0051173388  6.2474224e-05   0.0047396415  6.0538402e-05   0.0054785239  6.5021691e-05
