# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.9755733   0.0083801163      1.4057363   0.0059660747      2.8555699    0.012121095
            0.2      5.5048161    0.014441777      3.9192576    0.010366255      7.9517601    0.020719899
            0.4      8.3567413    0.017025593      5.9536392    0.012167079      12.062645    0.024527573
            0.6      10.399123    0.018610367      7.4109721    0.013308917      15.005201    0.026789334
            0.8      11.969242    0.019802589      8.5332007    0.014181639         17.263    0.028461276
              1      13.132755    0.020550356      9.3635434    0.014724085      18.938628    0.029519217
            1.2      14.177719    0.021716133      10.110241    0.015607777      20.441402    0.031093483
            1.4      15.163267     0.02238395      10.814319    0.016129738      21.859131    0.031966489
            1.6      16.311234    0.024039146       11.63346    0.017400571      23.512613    0.034171987
            1.8      17.614971    0.024067751      12.563459    0.017354992      25.391076    0.034342063
              2      19.434688    0.026227997      13.862047    0.019009145      28.012326    0.037230818
            2.2      21.767752    0.027177722      15.527381    0.019692372      31.372181    0.038595614
            2.4       24.90716    0.029055868      17.766272    0.021028977      35.897884    0.041302192
            2.6       28.81011    0.032448843      20.539318    0.023513544      41.546295    0.046065459
            2.8      33.295393    0.034175748      23.707574    0.024799576      48.076722    0.048467641
              3       33.54106     0.04430057      23.811384    0.032667735      48.582866    0.061760354
            3.2      15.017564    0.030118362      10.623052    0.022315451      21.842358     0.04184261
            3.4      7.7104854    0.022376924       5.438774    0.016417898      11.251668    0.031384629
            3.6      4.3967888    0.016522705      3.0937974    0.012051928      6.4341662    0.023326978
            3.8      2.6108466    0.014140174      1.8338643     0.01028319      3.8285232    0.020021107
              4      1.5948957    0.014165394      1.1184149    0.010369684      2.3430635    0.019903736
            4.2     0.97238446   0.0090852368     0.68121426   0.0066024957       1.430049    0.012900496
            4.4     0.60532588   0.0065149833     0.42391681   0.0047255589     0.89054975   0.0092734171
            4.6     0.37152755   0.0057021991     0.26036129   0.0041378124     0.54610393   0.0081106008
            4.8     0.21189399    0.010603401     0.14777537   0.0079394435     0.31284444    0.014536439
              5     0.21189399    0.010603401     0.14777537   0.0079394435     0.31284444    0.014536439
