# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      88.558036    0.060763062      63.070401    0.044562696      127.84026    0.085190137
            3.2      96.670757    0.058516087       68.89119    0.042816429      139.45358    0.082273172
            3.4      48.233605    0.040364664      34.351465    0.029171698      69.635163     0.05748227
            3.6      27.331329    0.032400901      19.439015    0.023628965      39.522474    0.045789581
            3.8      16.245887    0.024438266       11.53962    0.017583693      23.529594      0.0349775
              4      10.090646    0.019319332      7.1580392    0.013897586      14.637754    0.027667604
            4.2      6.5707645    0.014666847      4.6576626    0.010473935      9.5406063    0.021170334
            4.4      4.4185277     0.01204509      3.1296249    0.008598905      6.4215145    0.017393454
            4.6      3.0776243    0.010198702      2.1789643   0.0072748337       4.475182    0.014744097
            4.8      2.2066451   0.0081912367      1.5619232   0.0058329022      3.2097026    0.011859792
              5      2.2066451   0.0081912367      1.5619232   0.0058329022      3.2097026    0.011859792
