#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.9103821    0.010503967      2.0721427   0.0075130308      4.2033829    0.015119089
            0.2      7.9481808    0.018167585      5.6617527    0.013131289       11.47299    0.025877061
            0.4      11.504899    0.020636414      8.1981063    0.014878956      16.600683    0.029467655
            0.6      13.671112    0.023683494      9.7441588    0.017162366      19.720891    0.033633875
            0.8      14.787453    0.022510319       10.54009    0.016191182      21.330749    0.032206513
              1      15.426583    0.023563252      10.995139    0.017003497      22.253901    0.033600398
            1.2      15.854462    0.023522223      11.299441    0.016968667      22.872735    0.033552705
            1.4      16.286363    0.024660127       11.60806    0.017804467      23.494113     0.03513714
            1.6      16.970677    0.025351293      12.096179    0.018373301       24.48033    0.035984481
            1.8      18.103137    0.024957543      12.904756    0.018039307      26.110538    0.035527115
              2      19.673887    0.028332794       14.02594     0.02068147      28.372511    0.039923171
            2.2       21.95054    0.028264011      15.650411    0.020540635       31.65239    0.040015066
            2.4      25.012653    0.031174191      17.833357    0.022623324      36.068114    0.044186227
            2.6      28.959916    0.030873105      20.639194    0.022354956      41.777863    0.043882308
            2.8      33.430989    0.034272741      23.793316    0.024801203      48.296086    0.048734165
              3      32.419231    0.045269707      22.995958    0.033415036      46.999576    0.063042298
            3.2      9.7987489    0.025913971      6.9011474    0.019246053      14.323879    0.035950221
            3.4      3.3494154     0.01437142      2.3440205    0.010361616      4.9333344    0.020567415
            3.6      1.2941453   0.0096734062     0.90011252   0.0069125008      1.9199527    0.013991669
            3.8     0.52477241   0.0080882554     0.36270404   0.0058034921     0.78417167    0.011650556
              4     0.21389126   0.0038055388     0.14746734   0.0026341593     0.32067335   0.0057075641
            4.2    0.088833273   0.0027370015    0.060766205   0.0018816376     0.13439551   0.0041377284
            4.4    0.034118188   0.0015810171    0.023370285    0.001075419    0.051574895   0.0024164409
            4.6    0.013527742   0.0010805148   0.0092788572  0.00072354713    0.020414155   0.0016813114
            4.8   0.0036258129   0.0010892507   0.0024986023  0.00075188494   0.0054380749   0.0016472157
              5   0.0036258129   0.0010892507   0.0024986023  0.00075188494   0.0054380749   0.0016472157
