# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      0.2320153   0.0042893691     0.16308845    0.003106171     0.33990618   0.0061082247
           -3.8     0.34099585   0.0042329544     0.23999316   0.0030452183     0.49899602    0.006072019
           -3.6     0.48073858   0.0046482339     0.33846181   0.0033381121     0.70318611   0.0066816323
           -3.4     0.65729924   0.0063681425     0.46238827   0.0046360053     0.96223977   0.0090138705
           -3.2     0.93208338   0.0068964367     0.65661346   0.0049551939      1.3624749   0.0099020066
             -3      1.2527315    0.011127748     0.88148592    0.008729683      1.8331397    0.014563575
           -2.8      1.7188087   0.0095165636      1.2133393   0.0069393958      2.5066884    0.013439299
           -2.6      2.3128588   0.0095440151      1.6343726   0.0068775987      3.3691392    0.013651026
           -2.4      3.0885334    0.011407676       2.185458   0.0082618294       4.492254    0.016223659
           -2.2      4.0160026    0.012426971       2.844002   0.0089800788      5.8356837    0.017711966
             -2      5.2091843    0.015403021      3.6930029    0.011388129      7.5599152    0.021482111
           -1.8      6.6382631    0.016137266      4.7121796    0.011671538      9.6199807     0.02296832
           -1.6      8.3808851    0.017317281      5.9560646     0.01249571      12.129277    0.024704767
           -1.4      10.337027     0.02278024       7.352891    0.016591043      14.944648    0.032169432
           -1.2      12.639541    0.022272106      8.9996434     0.01616109      18.252972    0.031584424
             -1      15.032754    0.023825483      10.710331    0.017236177      21.693516    0.033885083
           -0.8      17.452518     0.02483955      12.442083    0.017932257      25.167541    0.035403221
           -0.6      19.674486    0.027844106      14.031895    0.020265214      28.358497    0.039370269
           -0.4      21.357957    0.029507654      15.234379    0.021435408      30.780582    0.041782355
           -0.2      22.413462    0.028951293      15.989603    0.020987585      32.296278    0.041093354
              0      22.349357    0.029910492      15.941646    0.021727508      32.208629    0.042358974
            0.2      21.357649    0.033029027       15.23343    0.024164725      30.781475    0.046405419
            0.4      19.592865    0.029623397      13.971697    0.021581482      28.245126    0.041822807
            0.6      17.490699    0.026302456      12.468719    0.019089045       25.22354    0.037282914
            0.8      15.017356    0.023991288      10.698872    0.017378552      21.671935    0.034079539
              1      12.642975      0.0215087      9.0020304    0.015541928       18.25778    0.030632641
            1.2      10.409996    0.021236312      7.4054184    0.015452808      15.048602    0.030028607
            1.4      8.4496491    0.018160323      6.0055487    0.013120817      12.227296    0.025873511
            1.6      6.6933919    0.016354819      4.7516779    0.011862289      9.6987963    0.023221505
            1.8      5.2545493    0.014134986      3.7269464    0.010200119      7.6218417    0.020174611
              2      4.0940539    0.012547104      2.8998887   0.0090452366      5.9476548    0.017928803
            2.2      3.1409149    0.011096138      2.2214795   0.0079966538      4.5706559     0.01586205
            2.4      2.4025253    0.009620102      1.6972972   0.0069242142      3.5006879    0.013779638
            2.6       1.815575   0.0094821889      1.2814061   0.0068586984      2.6485051    0.013504319
            2.8      1.3371679   0.0077479091     0.94200266   0.0056077669       1.954597    0.011035785
              3      1.0019051   0.0063697583     0.70515643   0.0045753464      1.4661697   0.0091564629
            3.2      0.7331641   0.0058151761     0.51550557    0.004207224      1.0740719   0.0082875457
            3.4      0.5203125   0.0050385583     0.36514293   0.0036465987     0.76387043   0.0071838341
            3.6      0.3793026   0.0046598218     0.26612317   0.0033746618     0.55699976   0.0066347704
            3.8     0.27431827   0.0034912973     0.19223976   0.0025136309     0.40339003   0.0050074216
              4     0.27431827   0.0034912973     0.19223976   0.0025136309     0.40339003   0.0050074216
