# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       2.112561   0.0087618362       2.112561   0.0087618362       2.112561   0.0087618362
            0.2      5.9600782    0.014634994      5.9600782    0.014634994      5.9600782    0.014634994
            0.4      9.1897422     0.01807695      9.1897422     0.01807695      9.1897422     0.01807695
            0.6      11.656004    0.020311212      11.656004    0.020311212      11.656004    0.020311212
            0.8      13.669329    0.021957229      13.669329    0.021957229      13.669329    0.021957229
              1      15.272965    0.023204798      15.272965    0.023204798      15.272965    0.023204798
            1.2      16.782299    0.024316738      16.782299    0.024316738      16.782299    0.024316738
            1.4      18.217032    0.025335148      18.217032    0.025335148      18.217032    0.025335148
            1.6      19.888199    0.026479299      19.888199    0.026479299      19.888199    0.026479299
            1.8      21.731334    0.027687925      21.731334    0.027687925      21.731334    0.027687925
              2      24.149806    0.029183594      24.149806    0.029183594      24.149806    0.029183594
            2.2      27.146691    0.030911332      27.146691    0.030911332      27.146691    0.030911332
            2.4      31.033942    0.033009331      31.033942    0.033009331      31.033942    0.033009331
            2.6       35.88641    0.035424857       35.88641    0.035424857       35.88641    0.035424857
            2.8      41.631875    0.038051496      41.631875    0.038051496      41.631875    0.038051496
              3       43.12775     0.03882207       43.12775     0.03882207       43.12775     0.03882207
            3.2      20.228731    0.027398014      20.228731    0.027398014      20.228731    0.027398014
            3.4      10.914263     0.02040167      10.914263     0.02040167      10.914263     0.02040167
            3.6      6.5379484    0.015929397      6.5379484    0.015929397      6.5379484    0.015929397
            3.8      4.0753433    0.012703761      4.0753433    0.012703761      4.0753433    0.012703761
              4      2.6297751    0.010289476      2.6297751    0.010289476      2.6297751    0.010289476
            4.2       1.685971   0.0083554436       1.685971   0.0083554436       1.685971   0.0083554436
            4.4      1.0951183   0.0068554664      1.0951183   0.0068554664      1.0951183   0.0068554664
            4.6     0.71924556   0.0056585425     0.71924556   0.0056585425     0.71924556   0.0056585425
            4.8     0.47525121   0.0046709724     0.47525121   0.0046709724     0.47525121   0.0046709724
              5     0.47525121   0.0046709724     0.47525121   0.0046709724     0.47525121   0.0046709724
